Date,Open,High,Low,Close,Volume
2014-09-01,4.7,4.7,4.51,4.56,28150.0
2014-09-02,4.69,4.7,4.6,4.65,1660.0
2014-09-03,4.78,4.78,4.58,4.72,6000.0
2014-09-04,4.79,4.79,4.57,4.57,17310.0
2014-09-05,4.8,4.8,4.57,4.57,1900.0
2014-09-08,4.76,4.76,4.65,4.7,2170.0
2014-09-09,4.69,4.69,4.45,4.56,8700.0
2014-09-10,4.57,4.57,4.47,4.55,870.0
2014-09-11,4.56,4.56,4.5,4.54,5640.0
2014-09-12,4.58,4.58,4.5,4.5,3570.0
2014-09-15,4.63,4.63,4.42,4.5,3650.0
2014-09-16,4.48,4.5,4.46,4.5,1390.0
2014-09-17,4.5,4.5,4.45,4.5,3170.0
2014-09-18,4.5,4.5,4.49,4.5,4550.0
2014-09-19,4.5,4.69,4.5,4.66,14490.0
2014-09-22,4.69,4.74,4.51,4.74,47000.0
2014-09-23,4.73,4.73,4.6,4.66,9070.0
2014-09-24,4.73,4.73,4.56,4.6,3180.0
2014-09-25,4.72,4.72,4.54,4.6,2820.0
2014-09-26,4.69,4.69,4.54,4.57,2330.0
2014-09-29,4.69,4.69,4.5,4.6,810.0
2014-09-30,4.6,4.6,4.55,4.55,440.0
2014-10-01,4.55,4.55,4.45,4.45,5990.0
2014-10-02,4.55,4.55,4.45,4.45,2810.0
2014-10-03,4.46,4.46,4.42,4.42,9640.0
2014-10-06,4.41,4.42,4.36,4.42,8630.0
2014-10-07,4.42,4.45,4.39,4.39,1090.0
2014-10-08,4.43,4.49,4.4,4.44,3590.0
2014-10-09,4.44,4.44,4.4,4.44,1110.0
2014-10-10,4.45,4.45,4.36,4.45,2660.0
2014-10-13,4.36,4.44,4.36,4.42,800.0
2014-10-14,4.44,4.44,4.4,4.4,10.0
2014-10-15,4.4,4.4,4.26,4.35,6720.0
2014-10-16,4.37,4.37,4.28,4.3,8290.0
2014-10-17,4.3,4.38,4.3,4.33,850.0
2014-10-20,4.3,4.3,4.26,4.27,370.0
2014-10-21,4.3,4.38,4.29,4.38,1240.0
2014-10-22,4.38,4.38,4.35,4.35,20.0
2014-10-23,4.38,4.38,4.11,4.33,7040.0
2014-10-24,4.29,4.34,4.21,4.34,3160.0
2014-10-27,4.34,4.34,4.21,4.21,5410.0
2014-10-28,4.25,4.25,4.2,4.25,2610.0
2014-10-29,4.25,4.25,4.24,4.25,610.0
2014-10-30,4.25,4.25,4.25,4.25,10.0
2014-10-31,4.25,4.25,4.2,4.2,410.0
2014-11-03,4.17,4.25,4.17,4.24,4700.0
