Date,Open,High,Low,Close,Volume
2014-09-01,1.33,1.35,1.33,1.34,54750.0
2014-09-02,1.35,1.35,1.31,1.33,73500.0
2014-09-03,1.32,1.33,1.27,1.31,90940.0
2014-09-04,1.33,1.33,1.27,1.27,72010.0
2014-09-05,1.27,1.3,1.25,1.27,93690.0
2014-09-08,1.27,1.27,1.15,1.18,204390.0
2014-09-09,1.2,1.2,1.16,1.18,93880.0
2014-09-10,1.19,1.2,1.17,1.18,77800.0
2014-09-11,1.18,1.19,1.15,1.17,74010.0
2014-09-12,1.15,1.19,1.15,1.19,72630.0
2014-09-15,1.18,1.19,1.15,1.18,61720.0
2014-09-16,1.17,1.25,1.17,1.24,123400.0
2014-09-17,1.22,1.25,1.2,1.22,81720.0
2014-09-18,1.23,1.27,1.19,1.27,139310.0
2014-09-19,1.25,1.34,1.24,1.34,167080.0
2014-09-22,1.34,1.38,1.34,1.36,93610.0
2014-09-23,1.33,1.36,1.3,1.32,78350.0
2014-09-24,1.3,1.33,1.18,1.27,132380.0
2014-09-25,1.26,1.31,1.25,1.3,43710.0
2014-09-26,1.28,1.29,1.25,1.27,50530.0
2014-09-29,1.3,1.34,1.26,1.31,133530.0
2014-09-30,1.3,1.32,1.25,1.28,65200.0
2014-10-01,1.28,1.29,1.26,1.28,41330.0
2014-10-02,1.25,1.28,1.24,1.26,56070.0
2014-10-03,1.25,1.27,1.23,1.26,78860.0
2014-10-06,1.24,1.27,1.2,1.2,82610.0
2014-10-07,1.2,1.24,1.19,1.2,76360.0
2014-10-08,1.2,1.2,1.18,1.18,50210.0
2014-10-09,1.18,1.22,1.17,1.2,63460.0
2014-10-10,1.22,1.22,1.19,1.21,63010.0
2014-10-13,1.18,1.19,1.17,1.19,39770.0
2014-10-14,1.19,1.19,1.17,1.19,51390.0
2014-10-15,1.18,1.21,1.18,1.19,67610.0
2014-10-16,1.28,1.28,1.2,1.24,77290.0
2014-10-17,1.22,1.23,1.2,1.23,62910.0
2014-10-20,1.23,1.23,1.22,1.22,52820.0
2014-10-21,1.21,1.23,1.19,1.23,53940.0
2014-10-22,1.22,1.22,1.18,1.19,51320.0
2014-10-23,1.18,1.2,1.16,1.2,69570.0
2014-10-24,1.2,1.2,1.17,1.2,43200.0
2014-10-27,1.2,1.21,1.19,1.21,93220.0
2014-10-28,1.21,1.22,1.2,1.2,54710.0
2014-10-29,1.2,1.21,1.17,1.18,71060.0
2014-10-30,1.19,1.19,1.15,1.18,158440.0
2014-10-31,1.19,1.25,1.18,1.24,123850.0
2014-11-03,1.23,1.25,1.2,1.22,61950.0
2014-11-04,1.22,1.27,1.22,1.26,78170.0
2014-11-05,1.26,1.27,1.24,1.26,47170.0
2014-11-06,1.26,1.26,1.24,1.24,51450.0
2014-11-07,1.24,1.24,1.19,1.19,72820.0
2014-11-10,1.19,1.23,1.18,1.2,63340.0
2014-11-12,1.19,1.19,1.18,1.19,48190.0
2014-11-13,1.18,1.2,1.18,1.2,43290.0
2014-11-14,1.2,1.23,1.18,1.18,130750.0
2014-11-17,1.18,1.21,1.15,1.18,48560.0
2014-11-18,1.18,1.2,1.17,1.19,43970.0
2014-11-19,1.21,1.21,1.17,1.19,54450.0
2014-11-20,1.18,1.2,1.17,1.2,42640.0
2014-11-21,1.19,1.19,1.17,1.18,48450.0
2014-11-24,1.18,1.18,1.17,1.17,65269.99999999999
2014-11-25,1.17,1.18,1.17,1.17,233170.0
2014-11-26,1.17,1.25,1.15,1.21,152790.0
2014-11-27,1.21,1.21,1.18,1.18,42060.0
2014-11-28,1.19,1.19,1.17,1.18,15250.0
2014-12-01,1.17,1.21,1.16,1.19,117300.0
2014-12-02,1.19,1.28,1.19,1.2,489690.0
2014-12-03,1.19,1.2,1.18,1.19,86590.0
2014-12-04,1.19,1.19,1.18,1.18,22520.0
2014-12-05,1.18,1.2,1.18,1.19,63610.0
2014-12-08,1.18,1.19,1.16,1.16,85940.0
2014-12-09,1.17,1.17,1.13,1.16,78290.0
2014-12-10,1.16,1.16,1.15,1.15,24900.0
2014-12-11,1.14,1.16,1.12,1.16,53620.0
2014-12-12,1.16,1.16,1.13,1.14,55820.0
2014-12-15,1.13,1.14,1.09,1.11,89740.0
2014-12-16,1.08,1.1,0.98,1.08,98320.0
2014-12-17,1.07,1.09,1.02,1.07,71410.0
2014-12-18,1.07,1.1,1.05,1.07,39190.0
2014-12-19,1.05,1.07,1.02,1.03,34170.0
2014-12-22,1.02,1.03,0.92,0.92,297530.0
2014-12-23,0.92,0.92,0.84,0.84,190110.0
2014-12-29,0.84,0.87,0.84,0.86,25640.0
2014-12-30,0.85,0.85,0.83,0.84,19560.0
2015-01-02,0.82,0.88,0.82,0.87,23550.0
2015-01-05,0.89,0.89,0.86,0.89,29780.0
2015-01-07,0.86,0.86,0.84,0.86,32860.0
2015-01-08,0.86,0.95,0.86,0.95,90740.0
2015-01-09,0.95,0.96,0.9,0.93,348840.0
2015-01-12,0.9,0.9,0.86,0.89,272060.0
2015-01-13,0.88,0.91,0.84,0.89,243460.0
2015-01-14,0.89,0.91,0.87,0.91,214820.0
2015-01-15,0.9,0.94,0.88,0.93,77030.0
2015-01-16,0.93,0.93,0.9,0.93,10620.0
2015-01-19,0.93,0.95,0.92,0.94,67210.0
2015-01-20,0.94,0.95,0.88,0.91,44610.0
2015-01-21,0.89,0.93,0.88,0.92,219420.0
2015-01-22,0.92,0.95,0.91,0.95,179030.0
2015-01-23,0.95,1.04,0.94,1.04,108650.0
2015-01-26,1.04,1.09,1.03,1.08,103970.0
2015-01-27,1.07,1.08,1.0,1.02,83170.0
2015-01-28,0.99,1.0,0.95,0.96,63950.0
2015-01-29,0.98,0.99,0.95,0.98,86640.0
2015-01-30,0.99,1.03,0.99,1.01,92490.0
2015-02-02,1.01,1.01,0.99,1.01,28540.0
2015-02-03,0.97,1.01,0.97,1.01,27810.0
2015-02-04,1.0,1.02,1.0,1.02,49490.0
2015-02-05,1.02,1.02,1.0,1.02,21830.0
2015-02-06,1.02,1.02,1.0,1.0,22360.0
2015-02-09,1.01,1.01,0.99,1.0,7160.0
2015-02-10,0.99,1.02,0.99,1.02,23950.0
2015-02-11,1.01,1.01,0.98,1.0,31020.0
2015-02-12,0.99,0.99,0.99,0.99,6900.0
2015-02-13,0.98,0.98,0.94,0.97,70570.0
2015-02-16,0.98,0.99,0.94,0.94,70540.0
2015-02-17,0.96,0.99,0.95,0.98,54330.0
2015-02-18,0.98,0.98,0.95,0.97,49390.0
2015-02-19,0.95,0.96,0.94,0.95,27440.0
2015-02-20,0.95,0.95,0.9,0.91,160070.0
2015-02-23,0.92,0.93,0.92,0.93,9940.0
2015-02-24,0.92,0.92,0.89,0.89,57980.0
2015-02-25,0.89,0.93,0.88,0.92,76820.0
2015-02-26,0.92,0.92,0.88,0.89,75050.0
2015-02-27,0.89,0.89,0.87,0.89,12540.0
2015-03-02,0.88,0.9,0.84,0.84,57600.0
2015-03-03,0.83,0.85,0.8,0.8,111890.0
2015-03-04,0.8,0.83,0.77,0.78,92140.0
2015-03-05,0.8,0.87,0.77,0.8,999170.0
2015-03-06,0.8,0.81,0.79,0.79,58990.0
2015-03-09,0.79,0.79,0.77,0.79,70000.0
2015-03-10,0.79,0.82,0.77,0.77,1520000.0
2015-03-11,0.75,0.78,0.69,0.72,1950000.0
2015-03-12,0.72,0.75,0.72,0.73,22970.0
2015-03-13,0.75,0.9,0.73,0.9,439290.0
2015-03-16,0.89,0.93,0.87,0.89,186340.0
2015-03-17,0.87,0.95,0.87,0.95,100920.0
2015-03-18,0.94,0.96,0.89,0.92,398410.0
2015-03-19,0.92,0.93,0.88,0.9,51830.0
2015-03-20,0.9,0.92,0.9,0.92,26030.0
2015-03-23,0.91,0.91,0.86,0.87,35780.0
2015-03-24,0.81,0.89,0.8,0.88,84940.0
2015-03-25,0.86,0.86,0.84,0.84,18230.0
2015-03-26,0.83,0.83,0.83,0.83,10880.0
2015-03-27,0.81,0.84,0.8,0.84,16340.0
2015-03-30,0.83,0.85,0.81,0.83,10080.0
2015-03-31,0.85,0.88,0.84,0.86,81890.0
2015-04-01,0.85,0.86,0.83,0.85,4880.0
2015-04-02,0.84,0.86,0.83,0.86,14470.0
2015-04-07,0.86,0.89,0.84,0.84,70560.0
2015-04-08,0.84,0.84,0.76,0.76,309740.0
2015-04-09,0.77,0.79,0.77,0.79,42590.0
2015-04-10,0.79,0.79,0.73,0.75,203130.0
2015-04-13,0.77,0.77,0.74,0.76,20950.0
2015-04-14,0.74,0.77,0.74,0.77,20270.0
2015-04-15,0.77,0.78,0.75,0.78,25040.0
2015-04-16,0.77,0.79,0.77,0.78,57750.0
2015-04-17,0.78,0.79,0.77,0.77,25280.0
2015-04-20,0.77,0.77,0.74,0.74,32650.0
2015-04-21,0.74,0.76,0.71,0.71,96850.0
2015-04-22,0.71,0.72,0.65,0.68,298640.0
2015-04-23,0.68,0.71,0.68,0.7,151640.0
2015-04-24,0.7,0.71,0.69,0.7,37330.0
2015-04-27,0.69,0.7,0.69,0.7,8620.0
2015-04-28,0.69,0.7,0.69,0.7,5630.0
2015-04-29,0.69,0.69,0.68,0.68,14150.0
2015-04-30,0.69,0.69,0.68,0.68,14910.0
2015-05-04,0.69,0.69,0.68,0.68,12650.0
2015-05-05,0.69,0.69,0.68,0.69,16590.0
2015-05-06,0.68,0.69,0.68,0.69,9580.0
2015-05-07,0.68,0.69,0.68,0.69,3360.0
2015-05-08,0.69,0.71,0.69,0.69,33450.0
2015-05-11,0.69,0.71,0.69,0.71,3170.0
2015-05-12,0.71,0.74,0.71,0.74,31790.0
2015-05-13,0.73,0.73,0.72,0.72,21460.0
2015-05-14,0.74,0.74,0.7,0.71,68850.0
2015-05-15,0.71,0.72,0.69,0.71,46630.0
2015-05-18,0.73,0.78,0.73,0.74,287850.0
2015-05-19,0.76,0.77,0.7,0.73,189670.0
2015-05-20,0.73,0.73,0.71,0.73,10470.0
2015-05-21,0.71,0.71,0.67,0.71,133810.0
2015-05-22,0.72,0.72,0.69,0.7,7720.0
2015-05-25,0.7,0.71,0.68,0.69,34670.0
2015-05-26,0.68,0.7,0.68,0.7,5100.0
2015-05-27,0.7,0.7,0.68,0.7,6810.0
2015-05-28,0.69,0.7,0.66,0.67,98590.0
2015-05-29,0.67,0.68,0.65,0.67,43790.0
2015-06-01,0.67,0.67,0.61,0.62,157710.0
2015-06-02,0.6,0.62,0.55,0.59,371510.0
2015-06-03,0.6,0.64,0.6,0.62,116640.0
2015-06-05,0.63,0.75,0.62,0.75,312770.0
2015-06-08,0.75,0.86,0.75,0.81,1140000.0
2015-06-09,0.78,0.83,0.72,0.77,1460000.0
2015-06-10,0.76,0.76,0.71,0.76,79910.0
2015-06-11,0.76,0.86,0.73,0.85,252820.0
2015-06-12,0.85,0.9,0.8,0.86,304630.0
2015-06-15,0.87,0.88,0.82,0.85,47610.0
2015-06-16,0.85,0.85,0.77,0.78,109060.0
2015-06-17,0.78,0.78,0.74,0.77,40840.0
2015-06-18,0.77,0.77,0.72,0.73,25390.0
2015-06-19,0.76,0.77,0.74,0.74,36030.0
2015-06-22,0.73,0.79,0.72,0.79,41560.0
2015-06-23,0.79,0.79,0.77,0.78,15900.0
2015-06-24,0.76,0.76,0.74,0.76,24170.0
2015-06-25,0.75,0.76,0.72,0.76,5770.0
2015-06-26,0.74,0.74,0.69,0.72,52980.0
2015-06-29,0.7,0.72,0.63,0.72,50970.0
2015-06-30,0.72,0.72,0.71,0.72,3900.0
2015-07-01,0.72,0.73,0.68,0.68,36800.0
2015-07-02,0.68,0.71,0.68,0.71,6910.0
2015-07-03,0.71,0.71,0.71,0.71,120.0
2015-07-07,0.68,0.7,0.65,0.67,52770.0
2015-07-08,0.69,0.69,0.64,0.67,26880.0
2015-07-09,0.67,0.67,0.64,0.64,36440.0
2015-07-10,0.61,0.73,0.58,0.72,225750.0
2015-07-13,0.73,0.73,0.69,0.71,40390.0
2015-07-14,0.7,0.72,0.69,0.72,5020.0
2015-07-15,0.71,0.71,0.69,0.71,22490.0
2015-07-16,0.72,0.74,0.72,0.72,11260.0
2015-07-17,0.72,0.73,0.71,0.73,6640.0
2015-07-20,0.73,0.73,0.69,0.7,51170.0
2015-07-21,0.69,0.71,0.69,0.71,2380.0
2015-07-22,0.73,0.73,0.68,0.7,8230.0
2015-07-23,0.71,0.71,0.64,0.67,41610.0
2015-07-24,0.7,0.7,0.63,0.7,15230.0
2015-07-27,0.64,0.69,0.62,0.69,125010.0
