Date,Open,High,Low,Close,Volume
2014-09-01,16.78,16.98,16.56,16.91,3280.0
2014-09-02,16.9,16.94,16.67,16.94,1600.0
2014-09-03,16.7,17.24,16.7,17.23,7270.0
2014-09-04,16.91,17.24,16.74,17.24,2480.0
2014-09-05,17.05,17.24,17.05,17.19,6370.0
2014-09-08,17.1,17.99,17.1,17.8,14720.0
2014-09-09,18.1,18.1,17.81,17.81,16210.0
2014-09-10,17.81,17.99,17.75,17.9,5080.0
2014-09-11,17.89,17.9,17.8,17.9,22840.0
2014-09-12,17.9,17.95,17.85,17.85,5570.0
2014-09-15,17.88,18.37,17.82,18.33,8930.0
2014-09-16,18.34,18.34,18.04,18.3,4310.0
2014-09-17,18.3,18.44,18.2,18.44,6260.0
2014-09-18,18.26,18.37,18.0,18.15,7390.0
2014-09-19,18.24,18.24,17.95,18.14,1600.0
2014-09-22,18.14,18.14,17.81,17.88,3880.0
2014-09-23,17.88,17.88,17.6,17.6,13450.0
2014-09-24,17.6,17.88,17.57,17.57,7340.0
2014-09-25,17.85,18.07,17.75,17.75,10270.0
2014-09-26,17.85,17.85,17.55,17.6,3560.0
2014-09-29,18.1,18.1,17.9,17.9,510.0
2014-09-30,17.72,17.9,17.71,17.71,2080.0
2014-10-01,17.7,17.8,17.7,17.75,560.0
2014-10-02,17.6,17.6,17.25,17.54,3420.0
2014-10-03,17.28,17.6,17.28,17.59,960.0
2014-10-06,17.59,17.59,17.5,17.59,1500.0
2014-10-07,17.58,17.59,17.2,17.2,6370.0
2014-10-08,17.11,17.48,17.0,17.0,2150.0
2014-10-09,16.99,17.19,16.74,17.19,8830.0
2014-10-10,16.99,16.99,16.5,16.88,3730.0
2014-10-13,16.61,16.61,16.03,16.05,29540.0
2014-10-14,16.2,16.3,15.61,15.95,12930.0
2014-10-15,16.11,16.16,16.06,16.08,5350.0
2014-10-16,16.09,16.28,16.05,16.06,8070.0
2014-10-17,16.06,16.18,16.06,16.15,880.0
2014-10-20,16.24,16.24,16.05,16.2,1750.0
2014-10-21,16.18,16.45,16.18,16.45,4430.0
2014-10-22,16.45,16.91,16.45,16.8,2340.0
2014-10-23,16.7,16.9,16.53,16.9,1800.0
2014-10-24,16.55,16.85,16.55,16.84,960.0
2014-10-27,16.75,16.75,16.2,16.2,700.0
2014-10-28,16.21,16.7,16.21,16.41,2590.0
2014-10-29,16.42,16.43,16.42,16.43,3650.0
2014-10-30,16.44,16.44,16.43,16.43,2630.0
2014-10-31,16.55,16.75,16.4,16.54,8400.0
2014-11-03,16.5,16.7,16.5,16.7,3390.0
2014-11-04,16.69,16.69,16.44,16.68,2710.0
2014-11-05,16.69,16.75,16.68,16.73,2650.0
2014-11-06,16.65,16.75,16.65,16.65,4450.0
2014-11-07,16.51,16.79,16.2,16.2,7130.0
2014-11-10,16.38,16.39,16.2,16.2,3490.0
2014-11-12,16.26,16.26,16.22,16.22,560.0
2014-11-13,16.23,16.72,16.23,16.27,1250.0
2014-11-14,16.27,16.29,16.0,16.13,6920.0
2014-11-17,16.15,16.2,15.92,15.92,2390.0
2014-11-18,15.96,16.05,15.9,16.05,6590.0
2014-11-19,15.97,16.05,15.93,15.93,58500.0
2014-11-20,15.91,15.93,15.71,15.73,8860.0
2014-11-21,15.71,16.13,15.71,16.12,7770.0
2014-11-24,16.13,16.54,16.12,16.15,26610.0
2014-11-25,16.4,16.4,16.21,16.26,21750.0
2014-11-26,16.4,16.49,16.35,16.47,4190.0
2014-11-27,16.49,16.94,16.49,16.5,15970.0
2014-11-28,16.69,16.69,16.3,16.41,10920.0
2014-12-01,16.42,16.9,16.42,16.5,2140.0
2014-12-02,16.59,16.6,16.47,16.47,2360.0
2014-12-03,16.59,16.59,16.3,16.3,7030.0
2014-12-04,16.28,16.44,16.28,16.39,5190.0
2014-12-05,16.4,16.44,16.09,16.1,5330.0
2014-12-08,16.35,16.35,16.09,16.09,3200.0
2014-12-09,16.03,16.34,15.9,15.9,11760.0
2014-12-10,15.9,16.18,15.8,15.99,21130.0
2014-12-11,15.9,15.9,15.85,15.89,850.0
2014-12-12,15.85,15.85,15.65,15.65,44540.0
2014-12-15,15.6,15.86,15.5,15.65,32940.0
2014-12-16,15.45,15.45,15.13,15.13,29420.0
2014-12-17,14.95,15.25,14.24,14.24,36970.0
2014-12-18,14.27,14.53,13.1,13.3,113980.0
2014-12-19,13.14,13.9,13.14,13.74,18650.0
2014-12-22,13.9,13.9,13.15,13.51,25220.0
2014-12-23,13.2,13.49,13.14,13.3,102120.0
2014-12-29,13.43,13.62,13.4,13.51,6020.0
2014-12-30,13.5,13.8,13.43,13.65,62190.0
2015-01-02,13.65,13.68,13.2,13.65,3420.0
2015-01-05,13.65,13.74,13.46,13.46,3820.0
2015-01-07,13.44,13.44,13.14,13.24,6020.0
2015-01-08,13.33,13.87,13.3,13.7,19950.0
2015-01-09,14.0,14.08,13.63,13.83,7230.0
2015-01-12,13.83,13.93,13.21,13.31,16590.0
2015-01-13,13.41,13.48,13.31,13.38,2029.9999999999998
2015-01-14,13.4,13.47,13.37,13.45,6420.0
2015-01-15,13.44,13.46,13.12,13.21,4150.0
2015-01-16,13.1,13.1,12.72,12.9,6130.0
2015-01-19,12.99,13.0,12.8,12.94,2830.0
2015-01-20,12.9,13.0,12.32,13.0,7340.0
2015-01-21,13.0,13.19,13.0,13.19,3920.0
2015-01-22,13.17,13.2,13.1,13.2,2400.0
2015-01-23,13.2,13.79,13.2,13.6,10360.0
2015-01-26,13.5,13.55,13.4,13.5,860.0
2015-01-27,13.38,13.5,13.3,13.32,4120.0
2015-01-28,13.47,14.45,13.47,14.2,13120.0
2015-01-29,14.44,14.44,14.02,14.02,7230.0
2015-01-30,14.01,14.11,13.8,13.91,5840.0
2015-02-02,14.2,14.45,14.1,14.42,11160.0
2015-02-03,14.43,14.43,14.2,14.4,4660.0
2015-02-04,14.21,14.28,14.16,14.24,1650.0
2015-02-05,14.26,14.26,14.0,14.15,3770.0
2015-02-06,14.15,14.19,14.0,14.03,2500.0
2015-02-09,14.03,14.03,14.02,14.03,2050.0
2015-02-10,14.0,14.0,13.76,13.8,3020.0
2015-02-11,13.7,13.7,12.89,12.99,110800.0
2015-02-12,12.94,13.12,12.86,12.96,9910.0
2015-02-13,13.05,13.11,12.65,12.73,48490.0
2015-02-16,12.72,12.85,12.72,12.77,9880.0
2015-02-17,12.86,12.96,12.78,12.85,12010.0
2015-02-18,12.85,13.09,12.85,13.0,2190.0
2015-02-19,13.1,13.3,13.1,13.22,7280.0
2015-02-20,13.27,13.38,13.25,13.3,7810.0
2015-02-23,13.35,13.35,13.1,13.13,3030.0
2015-02-24,13.12,13.12,12.96,12.96,16820.0
2015-02-25,13.0,13.0,12.12,12.36,6590.0
2015-02-26,12.54,12.87,12.54,12.61,6240.0
2015-02-27,12.61,12.79,12.56,12.7,5900.0
2015-03-02,12.75,12.79,12.6,12.6,5960.0
2015-03-03,12.61,12.95,12.61,12.94,6640.0
2015-03-04,13.0,13.49,13.0,13.38,18420.0
2015-03-05,13.5,13.75,13.5,13.6,13720.0
2015-03-06,13.65,13.74,13.5,13.53,9990.0
2015-03-09,13.5,13.6,13.5,13.5,1760.0
2015-03-10,13.53,13.53,13.24,13.3,3760.0
2015-03-11,13.19,13.2,13.07,13.07,1790.0
2015-03-12,13.1,13.28,13.1,13.11,3490.0
2015-03-13,13.2,13.53,13.2,13.5,7080.0
2015-03-16,13.5,13.56,13.4,13.4,2560.0
2015-03-17,13.45,13.45,13.3,13.3,3830.0
2015-03-18,13.28,13.48,13.2,13.44,2830.0
2015-03-19,13.44,13.59,13.36,13.49,6330.0
2015-03-20,13.49,13.49,13.31,13.31,4360.0
2015-03-23,13.49,13.56,13.34,13.34,4500.0
2015-03-24,13.4,13.4,13.21,13.21,1710.0
2015-03-25,13.25,13.25,13.09,13.09,4030.0000000000005
