Date,Open,High,Low,Close,Volume
2021-04-21,50.0,50.49,48.5,49.66,5460.0
2021-04-22,49.63,50.79,49.0,50.79,4640.0
2021-04-23,52.88,56.38,51.2,52.99,5510.0
2021-04-26,52.99,59.2,52.99,59.1,5360.0
2021-04-27,60.0,70.0,60.0,63.4,4350.0
2021-04-28,66.38,66.38,63.25,65.48,1650.0
2021-04-29,65.48,65.48,62.5,63.98,1280.0
2021-04-30,63.99,63.99,62.5,63.5,650.0
2021-05-04,64.0,67.0,64.0,66.5,1410.0
2021-05-05,65.52,65.52,63.6,65.38,120.0
2021-05-06,65.38,66.0,62.5,62.5,990.0
2021-05-07,61.0,61.0,60.5,61.0,790.0
2021-05-10,63.0,64.5,62.0,64.4,1400.0
2021-05-11,67.0,69.0,62.5,65.0,3050.0
2021-05-12,66.8,68.0,64.52,66.0,1920.0
2021-05-13,66.8,75.0,66.0,72.0,4120.0
2021-05-14,74.15,74.15,69.8,71.8,990.0
2021-05-17,74.0,74.3,69.7,70.5,670.0
2021-05-18,70.9,71.0,69.0,69.5,810.0
2021-05-19,69.5,69.88,68.0,69.88,340.0
2021-05-20,69.88,69.88,69.88,69.88,50.0
2021-05-21,69.88,69.88,67.1,69.18,40.0
2021-05-24,69.17,70.5,69.0,70.25,890.0
2021-05-25,69.75,69.75,68.0,69.35,400.0
2021-05-26,68.1,68.1,66.2,68.0,150.0
2021-05-27,67.9,67.9,66.2,66.2,110.0
2021-05-28,66.18,66.18,60.2,65.5,460.0
2021-05-31,65.0,65.51,63.5,65.48,480.0
2021-06-01,65.48,68.0,65.47,66.5,500.0
2021-06-02,66.4,66.4,65.0,65.0,70.0
2021-06-04,64.7,70.0,64.7,70.0,1400.0
2021-06-07,68.99,68.99,65.65,68.75,550.0
2021-06-08,68.0,68.0,66.25,66.25,80.0
2021-06-09,65.1,66.4,63.3,63.9,560.0
2021-06-10,65.6,65.6,63.0,63.0,220.0
2021-06-11,64.78,64.78,63.02,63.2,260.0
2021-06-14,63.2,64.75,63.0,63.98,500.0
2021-06-15,64.35,64.4,62.0,63.0,470.0
2021-06-16,63.0,63.0,60.0,60.0,350.0
2021-06-17,60.0,60.5,60.0,60.5,180.0
2021-06-18,61.0,62.0,59.05,61.5,110.0
2021-06-21,59.05,60.0,59.05,60.0,70.0
2021-06-22,60.0,63.4,60.0,63.4,140.0
2021-06-23,63.3,63.3,60.4,62.4,20.0
2021-06-24,62.4,62.4,60.5,62.15,50.0
2021-06-25,62.15,62.5,60.42,62.42,580.0
2021-06-28,63.2,63.2,62.9,62.9,40.0
2021-06-29,62.9,63.0,62.9,63.0,460.0
2021-06-30,63.0,63.0,63.0,63.0,0.0
2021-07-01,62.75,65.9,62.75,64.5,1500.0
2021-07-02,63.16,64.8,63.0,63.5,360.0
2021-07-05,63.5,64.5,62.0,64.0,50.0
2021-07-06,63.5,64.4,63.5,64.4,100.0
2021-07-07,65.5,65.5,63.0,63.04,490.0
2021-07-08,63.5,63.9,61.0,63.5,210.0
2021-07-09,63.5,63.5,60.5,62.9,120.0
2021-07-12,62.89,62.89,60.11,62.5,20.0
2021-07-13,60.25,63.0,60.25,62.5,540.0
2021-07-14,62.9,62.9,60.8,62.0,600.0
2021-07-15,62.0,63.0,62.0,63.0,230.0
2021-07-16,63.0,63.0,62.9,62.9,370.0
2021-07-19,64.79,64.79,61.6,62.9,250.0
2021-07-20,62.84,62.84,62.7,62.7,230.0
2021-07-21,62.89,63.0,62.8,62.8,420.0
2021-07-22,62.8,62.8,62.8,62.8,170.0
2021-07-23,62.8,62.8,56.01,60.49,480.0
2021-07-26,59.99,60.0,57.0,58.9,1110.0
2021-07-27,58.5,58.5,57.0,57.7,450.0
2021-07-28,57.99,58.0,55.0,57.38,520.0
2021-07-29,57.0,58.0,57.0,57.3,120.0
2021-07-30,57.8,57.85,56.3,57.85,60.0
2021-08-02,55.5,56.5,53.0,56.5,190.0
2021-08-03,56.4,57.85,56.4,57.85,690.0
2021-08-04,58.0,60.3,56.6,60.2,1540.0
2021-08-05,60.2,61.3,59.5,61.2,560.0
2021-08-06,61.3,64.5,60.0,64.3,560.0
2021-08-09,64.0,64.29,62.0,64.0,950.0
2021-08-10,63.99,63.99,63.0,63.0,380.0
2021-08-11,63.0,66.99,63.0,65.5,1530.0
2021-08-12,66.0,66.0,60.0,60.5,1790.0
2021-08-13,60.0,61.3,57.4,59.5,1150.0
2021-08-16,57.2,59.5,57.0,58.0,690.0
2021-08-17,59.4,59.4,57.9,58.5,510.0
2021-08-18,58.0,58.5,58.0,58.5,140.0
2021-08-19,56.6,59.1,56.6,58.0,490.0
2021-08-20,58.9,59.0,58.9,59.0,110.0
2021-08-23,58.1,61.0,57.0,61.0,540.0
2021-08-24,61.0,61.0,57.0,59.0,900.0
2021-08-25,60.8,61.0,60.8,61.0,510.0
2021-08-26,61.0,61.0,60.98,60.98,210.0
2021-08-27,61.0,61.0,60.89,60.9,270.0
2021-08-30,61.0,61.0,60.9,60.98,290.0
2021-08-31,60.98,61.0,60.9,60.9,410.0
2021-09-01,60.1,62.0,60.1,61.1,450.0
2021-09-02,61.1,63.0,61.1,63.0,630.0
2021-09-03,63.0,63.0,63.0,63.0,10.0
2021-09-06,63.0,63.0,58.1,60.0,490.0
2021-09-07,60.0,62.0,55.1,62.0,500.0
2021-09-08,62.5,62.5,59.5,59.5,10.0
2021-09-09,60.0,62.0,57.1,57.1,420.0
2021-09-10,57.0,58.0,55.12,58.0,290.0
2021-09-13,57.3,59.8,57.3,59.8,170.0
2021-09-14,59.8,59.8,57.3,57.3,170.0
2021-09-15,57.2,59.45,57.2,59.4,830.0
2021-09-16,61.5,64.0,57.6,62.41,1730.0
2021-09-17,62.41,62.7,55.6,59.0,930.0
2021-09-20,58.99,58.99,56.0,58.0,900.0
2021-09-21,57.9,58.0,57.0,57.6,310.0
2021-09-22,57.6,57.6,55.6,56.0,400.0
2021-09-23,56.0,56.0,55.0,55.0,430.0
2021-09-24,55.81,56.7,55.1,56.7,280.0
2021-09-27,56.69,61.0,56.65,59.5,530.0
2021-09-28,59.84,59.84,58.2,58.5,160.0
2021-09-29,58.0,58.0,58.0,58.0,150.0
2021-09-30,58.0,58.0,57.5,57.5,60.0
2021-10-01,56.8,56.8,52.01,55.0,930.0
2021-10-04,54.0,54.0,53.0,53.99,120.0
2021-10-05,53.89,53.89,53.1,53.1,350.0
