Date,Open,High,Low,Close,Volume
2014-09-01,4.11,4.29,4.11,4.25,8520.0
2014-09-02,4.25,4.25,4.12,4.12,4690.0
2014-09-03,4.13,4.17,3.96,3.96,13410.0
2014-09-04,3.94,4.05,3.94,4.04,4750.0
2014-09-05,4.08,4.15,3.99,4.15,29250.0
2014-09-08,4.18,4.18,4.08,4.15,4770.0
2014-09-09,4.06,4.1,4.05,4.09,12120.0
2014-09-10,4.09,4.17,4.05,4.1,19980.0
2014-09-11,4.14,4.18,4.11,4.17,135630.0
2014-09-12,4.18,4.25,4.18,4.18,16780.0
2014-09-15,4.09,4.18,4.05,4.16,7040.0
2014-09-16,4.18,4.19,4.08,4.19,6330.0
2014-09-17,4.19,4.2,4.11,4.12,7830.0
2014-09-18,4.18,4.23,4.15,4.18,25810.0
2014-09-19,4.23,4.27,4.21,4.21,22050.0
2014-09-22,4.12,4.27,4.12,4.24,4070.0000000000005
2014-09-23,4.27,4.27,4.17,4.17,47900.0
2014-09-24,4.23,4.23,4.11,4.2,8770.0
2014-09-25,4.23,4.23,4.23,4.23,10.0
2014-09-26,4.23,4.23,4.15,4.2,1900.0
2014-09-29,4.2,4.2,4.14,4.14,5550.0
2014-09-30,4.14,4.2,4.11,4.14,8850.0
2014-10-01,4.19,4.19,4.0,4.02,4680.0
2014-10-02,4.02,4.11,4.02,4.05,5920.0
2014-10-03,4.05,4.08,4.05,4.05,8670.0
2014-10-06,4.05,4.08,4.05,4.05,2350.0
2014-10-07,4.06,4.09,4.05,4.05,7410.0
2014-10-08,4.05,4.09,4.05,4.09,1550.0
2014-10-09,4.09,4.09,4.05,4.05,1300.0
2014-10-10,4.06,4.06,4.03,4.03,38330.0
2014-10-13,4.05,4.06,4.02,4.02,3610.0
2014-10-14,4.01,4.05,4.01,4.05,6610.0
2014-10-15,4.05,4.08,4.05,4.08,1260.0
2014-10-16,4.08,4.08,4.02,4.02,260.0
2014-10-17,4.02,4.06,4.02,4.05,4000.0
2014-10-20,4.07,4.07,4.05,4.05,2420.0
2014-10-21,4.05,4.07,4.05,4.06,4500.0
2014-10-22,4.06,4.2,4.06,4.19,12350.0
2014-10-23,4.21,4.45,4.21,4.37,19720.0
2014-10-24,4.49,4.5,4.32,4.32,13270.0
2014-10-27,4.49,4.49,4.4,4.47,730.0
2014-10-28,4.47,4.49,4.4,4.4,8119.999999999999
2014-10-29,4.32,4.46,4.32,4.4,6010.0
2014-10-30,4.44,4.44,4.3,4.3,5980.0
2014-10-31,4.38,4.43,4.24,4.42,3890.0
2014-11-03,4.41,4.54,4.41,4.51,7500.0
2014-11-04,4.52,4.7,4.45,4.69,9370.0
2014-11-05,4.68,4.68,4.33,4.48,28010.0
2014-11-06,4.47,4.47,4.34,4.47,6770.0
2014-11-07,4.4,4.4,4.31,4.31,4150.0
2014-11-10,4.3,4.3,4.29,4.29,2150.0
2014-11-12,4.29,4.29,4.29,4.29,670.0
2014-11-13,4.3,4.3,4.16,4.18,5170.0
2014-11-14,4.22,4.22,4.07,4.07,5020.0
2014-11-17,4.07,4.07,4.05,4.05,6700.0
2014-11-18,4.05,4.13,4.05,4.08,4890.0
2014-11-19,4.14,4.2,4.1,4.2,5930.0
2014-11-20,4.3,4.3,4.25,4.25,10.0
2014-11-21,4.24,4.24,4.15,4.15,1260.0
