Date,Open,High,Low,Close,Volume
2021-10-28,99.03,99.97,98.0,98.0,610.0
2021-10-29,98.0,98.0,94.0,97.0,130.0
2021-11-02,94.1,94.1,93.5,94.0,760.0
2021-11-03,92.0,110.0,91.0,99.6,3600.0
2021-11-04,99.6,100.98,94.0,99.2,260.0
2021-11-05,94.1,99.0,94.0,98.0,300.0
2021-11-08,94.1,96.0,94.0,96.0,140.0
2021-11-09,96.0,98.0,96.0,97.0,530.0
2021-11-10,97.0,97.0,97.0,97.0,10.0
2021-11-12,99.0,100.0,99.0,100.0,20.0
2021-11-15,100.46,100.46,100.46,100.46,0.0
2021-11-16,97.0,99.5,96.0,98.0,390.0
2021-11-17,97.5,97.5,97.5,97.5,0.0
2021-11-18,94.02,96.0,94.02,96.0,120.0
2021-11-19,94.02,96.0,94.02,96.0,520.0
2021-11-22,96.0,96.0,96.0,96.0,250.0
2021-11-23,92.02,96.0,92.02,96.0,340.0
2021-11-25,95.98,95.98,95.98,95.98,0.0
2021-11-30,95.89,95.89,94.0,94.0,20.0
2021-12-01,95.88,95.88,90.0,90.0,40.0
2021-12-02,89.7,95.88,89.7,90.0,110.0
2021-12-03,88.9,88.9,88.9,88.9,10.0
2021-12-06,87.2,87.2,85.0,85.0,80.0
2021-12-07,85.0,95.9,85.0,93.5,640.0
2021-12-08,94.0,95.9,94.0,95.78,150.0
2021-12-09,95.8,95.9,92.0,95.88,130.0
2021-12-10,95.88,95.9,95.88,95.9,310.0
2021-12-13,95.9,95.9,95.9,95.9,10.0
2021-12-14,95.9,95.9,93.0,95.89,40.0
2021-12-15,93.0,94.0,90.21,94.0,30.0
2021-12-16,94.0,94.0,93.89,93.89,10.0
2021-12-17,90.5,94.0,85.01,94.0,350.0
2021-12-20,93.98,94.0,93.98,94.0,40.0
2021-12-21,93.0,95.9,93.0,94.01,470.0
2021-12-22,95.0,95.0,95.0,95.0,0.0
2021-12-23,95.0,95.0,93.0,93.0,10.0
2021-12-27,95.9,95.9,95.9,95.9,0.0
2021-12-28,95.4,95.8,95.4,95.8,20.0
2021-12-29,95.8,95.9,95.8,95.9,40.0
2021-12-30,95.9,95.9,95.9,95.9,0.0
2022-01-03,95.9,104.9,95.9,104.9,60.0
2022-01-04,99.99,102.0,96.0,100.0,420.0
2022-01-05,100.88,100.88,97.0,100.0,110.0
2022-01-10,100.0,100.0,98.0,100.0,40.0
2022-01-11,100.0,102.9,98.0,99.0,340.0
2022-01-12,97.5,99.98,97.5,99.98,30.0
2022-01-13,99.98,99.98,99.98,99.98,0.0
2022-01-14,99.98,99.98,99.98,99.98,20.0
2022-01-17,97.68,100.0,96.31,100.0,120.0
2022-01-18,99.0,100.0,99.0,100.0,30.0
2022-01-19,100.0,100.0,100.0,100.0,40.0
2022-01-20,97.51,100.0,97.51,100.0,30.0
2022-01-21,98.0,98.0,97.51,97.51,40.0
2022-01-24,100.98,100.98,96.0,97.0,140.0
2022-01-25,98.99,98.99,98.99,98.99,10.0
2022-01-26,98.99,99.0,98.99,99.0,20.0
2022-01-27,99.0,100.0,98.0,100.0,30.0
2022-01-28,100.0,100.0,99.0,99.0,10.0
2022-01-31,99.0,99.66,98.0,99.66,140.0
2022-02-01,99.0,99.0,99.0,99.0,90.0
2022-02-02,99.0,99.0,99.0,99.0,30.0
2022-02-04,99.0,99.0,90.0,99.0,140.0
2022-02-08,97.0,99.0,97.0,99.0,10.0
2022-02-09,98.0,98.0,96.0,96.0,110.0
2022-02-10,96.0,96.0,96.0,96.0,40.0
2022-02-11,94.0,94.0,94.0,94.0,20.0
2022-02-14,97.0,97.0,93.0,95.0,50.0
