k,coef,std_err,ci_lower,ci_upper,p_value,n_obs
-9,-0.05196442488797415,0.04627762130942643,-0.14266689594463328,0.03873804616868498,0.2614865400633233,15
-8,-0.024670752993331168,0.045610814059827025,-0.11406630585614527,0.06472479986948293,0.5885785712465064,15
-7,-0.03469141408957299,0.04264990361183407,-0.11828368911287254,0.04890086093372656,0.4159889946262333,16
-6,-0.04396248713766465,0.04210879471022721,-0.12649420820210072,0.03856923392677142,0.296475441188359,16
-5,-0.052635772360070804,0.027801739692122077,-0.10712618086418776,0.0018546361440461567,0.05832401571473653,16
-4,-0.022878168411274748,0.04777446184592491,-0.11651439301007052,0.07075805618752101,0.632024980872373,17
-3,0.04900629601525018,0.06167538436452557,-0.0718752360718847,0.16988782810238506,0.4268553171468965,16
-2,-0.020857751039339734,0.03887465745717182,-0.09705067956672794,0.055335177488048476,0.5915864237764477,14
-1,0.0,0.0,0.0,0.0,,14
0,-0.032302392361038754,0.03880413762997835,-0.10835710456693178,0.04375231984485427,0.405156618218684,17
1,-0.04766279079248545,0.045765557861343724,-0.13736163593310308,0.04203605434813219,0.2976642075476299,18
2,-0.03676635352487815,0.03962615016975961,-0.11443218070358274,0.040899473653826436,0.3534954635936953,18
3,-0.02445914027976815,0.03808300863193595,-0.0991004656212906,0.05018218506175431,0.5207052820840361,17
4,-0.05938175653723722,0.03809470289302451,-0.13404600220931906,0.015282489134844618,0.11904537947923798,16
5,-0.006186873286725902,0.035305971588185714,-0.07538530603876431,0.0630115594653125,0.860894285968828,17
6,-0.030754448572814355,0.03763977943920893,-0.1045270606596951,0.043018163514066385,0.4138866954703382,17
7,-0.020449321777397,0.043957188763354374,-0.10660382861520033,0.06570518506040633,0.6417811108818154,17
8,-0.04659768181354422,0.039739899217826724,-0.12448645302973606,0.03129108940264762,0.2409696165267201,16
9,-0.034510499784352514,0.046720677688100065,-0.1260813453863327,0.057060345817627686,0.4601160286350222,15
