ticker,pre,post,delta,measure
CAVP,9.393366099339849e-07,1.4634899134222347e-06,5.241533034882498e-07,amihud
CFIP,3.7499972576016964e-06,3.521175520855353e-07,-3.397879705516161e-06,amihud
CPLP,1.0655132139072598e-05,7.0706192735431874e-06,-3.5845128655294105e-06,amihud
CSRP,4.9451348591245924e-06,1.5348225122133997e-05,1.0403090263009405e-05,amihud
FSG,1.2925687353081784e-06,5.816377736101957e-07,-7.109309616979827e-07,amihud
KCH,1.742350711384975e-05,2.7898166978598806e-06,-1.4633690415989869e-05,amihud
MBR,1.9603463497944566e-05,4.584525996770971e-06,-1.5018937501173595e-05,amihud
MIR,1.0321086426473325e-06,1.5775381513138902e-06,5.454295086665578e-07,amihud
NVAP,1.127370616206242e-06,8.560575531591847e-07,-2.7131306304705734e-07,amihud
PBX,1.989021385112658e-06,9.376494597873033e-07,-1.0513719253253546e-06,amihud
PCE,1.562201948055097e-07,1.5344814043620242e-07,-2.772054369307269e-09,amihud
PGVP,2.398808922007131e-07,1.6078736947884299e-06,1.3679928025877168e-06,amihud
PRTE,5.286312860603741e-07,1.5702504113744394e-07,-3.7160624492293013e-07,amihud
QRS,9.910854702809733e-07,6.288031834801359e-07,-3.622822868008374e-07,amihud
SGN,2.6764016744584166e-06,1.7130806840667693e-06,-9.633209903916474e-07,amihud
SVRS,4.842404847883983e-06,4.12154438149072e-06,-7.208604663932627e-07,amihud
THGP,9.554315911048506e-06,9.709930816969636e-06,1.556149059211297e-07,amihud
TSGP,9.93716740518437e-07,9.176127210950621e-07,-7.610401942337488e-08,amihud
URT,8.215115362823295e-07,1.3934195328970784e-06,5.719079966147489e-07,amihud
ZRE,1.8416943057233262e-06,7.302342245633499e-06,5.460647939910173e-06,amihud
CAVP,0.1597214870423467,0.1318192208351287,-0.027902266207218,cs_spread
CFIP,0.3034413988963104,0.19422307736650504,-0.10921832152980535,cs_spread
CSRP,0.18574418000955562,0.2313638521454705,0.04561967213591489,cs_spread
FSG,0.1304966065704854,0.12524939437908275,-0.005247212191402645,cs_spread
MBR,0.1928690295704422,0.15575185368102695,-0.03711717588941524,cs_spread
MIR,0.24702601796265444,0.165083187683599,-0.08194283027905544,cs_spread
NVAP,0.10821645492592447,0.08928802514649678,-0.018928429779427686,cs_spread
PBX,0.2328597031159907,0.20671129626584375,-0.026148406850146938,cs_spread
PCE,0.07507792141803907,0.078385788113426,0.003307866695386935,cs_spread
PGVP,0.7380187027062226,0.25949984739423354,-0.47851885531198907,cs_spread
PRTE,0.36638763778377464,0.2639885480448267,-0.10239908973894796,cs_spread
QRS,0.17596012407112618,0.12214344278678173,-0.053816681284344456,cs_spread
SGN,0.16956037259726928,0.23298334225995787,0.0634229696626886,cs_spread
THGP,0.2976098313656867,0.15571368706705246,-0.14189614429863423,cs_spread
TSGP,0.15734648619113742,0.13400450684226323,-0.023341979348874192,cs_spread
URT,0.15762862947203715,0.1506060083470758,-0.0070226211249613535,cs_spread
