filename,company_from_filename,ticker_from_filename,matched_company,matched_ticker,status,message
Caspar (CSRP) Historical Data.csv,Caspar,CSRP,Caspar,CSRP,success,
Cavatina Holding (CAVP) Historical Data.csv,Cavatina Holding,CAVP,Cavatina Holding,CAVP,success,
CFI Holding SA (CFIP) Historical Data.csv,CFI Holding SA,CFIP,CFI Holding SA,CFIP,success,
Comperia (CPLP) Historical Data.csv,Comperia,CPLP,Comperia,CPLP,success,
FASING SA (FSG) Historical Data.csv,FASING SA,FSG,FASING SA,FSG,success,
Grupa Azoty Zaklady Chemiczne Police (PCE) Historical Data.csv,Grupa Azoty Zaklady Chemiczne Police,PCE,Grupa Azoty Zakłady Chemiczne Police,PCE,success,
Krakchemia SA (KCH) Historical Data.csv,Krakchemia SA,KCH,Krakchemia SA,KCH,success,
Miraculum SA (MIR) Historical Data.csv,Miraculum SA,MIR,Miraculum SA,MIR,success,
Mo-Bruk SA (MBR) Historical Data.csv,Mo-Bruk SA,MBR,Mo-Bruk SA,MBR,success,
P.A. Nova SA (NVAP) Historical Data.csv,P.A. Nova SA,NVAP,P.A. Nova SA,NVAP,success,
PGF Polska Grupa Fotowoltaiczna (PGVP) Historical Data.csv,PGF Polska Grupa Fotowoltaiczna,PGVP,PGF Polska Grupa Fotowoltaiczna,PGVP,success,
Poznanska Korporacja Budowlana Peka (PBX) Historical Data.csv,Poznanska Korporacja Budowlana Peka,PBX,Poznańska Korporacja Budowlana Pekabex,PBX,success,
Protektor SA (PRTE) Historical Data.csv,Protektor SA,PRTE,Protektor SA,PRTE,success,
Quercus TFI SA (QRS) Historical Data.csv,Quercus TFI SA,QRS,Quercus TFI SA,QRS,success,
Silvair (SVRS) Historical Data.csv,Silvair,SVRS,Silvair,SVRS,success,
Sygnity SA (SGN) Historical Data.csv,Sygnity SA,SGN,Sygnity SA,SGN,success,
Tenderhut (THGP) Historical Data.csv,Tenderhut,THGP,Tenderhut,THGP,success,
Tesgas SA (TSGP) Historical Data.csv,Tesgas SA,TSGP,Tesgas SA,TSGP,success,
Urteste (URT) Historical Data.csv,Urteste,URT,Urteste,URT,success,
Zremb (ZRE) Historical Data.csv,Zremb,ZRE,Zremb,ZRE,success,
