Date,Open,High,Low,Close,Volume
2021-08-12,24.46,24.46,24.2,24.4,1040.0
2021-08-13,24.35,24.4,24.0,24.2,1030.0
2021-08-16,24.3,24.3,24.0,24.05,1460.0
2021-08-17,24.0,24.1,23.85,24.1,8870.0
2021-08-18,24.2,24.25,24.0,24.1,1810.0
2021-08-19,24.1,24.15,24.0,24.1,1140.0
2021-08-20,24.1,24.2,24.1,24.2,1340.0
2021-08-23,24.15,24.3,24.0,24.0,4870.0
2021-08-24,24.0,24.1,24.0,24.0,1060.0
2021-08-25,24.05,24.2,24.0,24.0,850.0
2021-08-26,24.2,24.3,24.1,24.3,580.0
2021-08-27,24.35,24.35,24.15,24.35,140.0
2021-08-30,24.45,24.45,24.15,24.15,1410.0
2021-08-31,24.15,24.62,24.15,24.59,7840.0
2021-09-01,24.59,24.69,24.25,24.25,750.0
2021-09-02,24.25,24.45,24.05,24.45,490.0
2021-09-03,24.15,24.45,24.15,24.15,160.0
2021-09-06,24.44,24.55,24.4,24.55,13790.0
2021-09-07,24.54,24.79,24.5,24.79,3790.0
2021-09-08,24.7,24.99,24.5,24.99,6010.0
2021-09-09,24.99,25.0,24.65,25.0,4510.0
2021-09-10,24.95,24.95,24.24,24.7,480.0
2021-09-13,24.54,24.6,24.4,24.6,510.0
2021-09-14,24.55,24.55,24.1,24.11,540.0
2021-09-15,24.12,24.5,24.1,24.1,1470.0
2021-09-16,24.1,24.44,24.0,24.0,800.0
2021-09-17,24.4,24.4,24.0,24.4,1400.0
2021-09-20,24.0,24.29,23.55,24.18,1170.0
2021-09-21,23.56,24.18,23.56,23.89,830.0
2021-09-22,23.6,24.0,23.6,23.7,3700.0
2021-09-23,23.96,24.01,23.95,24.01,1530.0
2021-09-24,24.0,24.25,23.7,24.0,660.0
2021-09-27,23.65,24.24,23.65,24.24,190.0
2021-09-28,23.65,24.24,23.65,24.24,1020.0
2021-09-29,23.55,24.2,23.55,24.2,140.0
2021-09-30,23.7,24.15,23.6,24.0,650.0
2021-10-01,23.85,23.85,23.6,23.6,900.0
2021-10-04,23.6,24.0,23.5,23.65,2200.0
2021-10-05,23.7,23.7,23.5,23.5,790.0
2021-10-06,23.5,23.5,23.1,23.5,2370.0
2021-10-07,23.45,24.0,23.1,24.0,3120.0
2021-10-08,23.0,24.2,23.0,24.2,3400.0
2021-10-11,24.25,24.3,23.65,24.1,2840.0
2021-10-12,24.2,24.7,24.0,24.7,13170.0
2021-10-13,24.8,25.55,24.75,25.0,56180.0
2021-10-14,25.19,25.19,24.5,25.1,6630.0
2021-10-15,25.0,25.17,24.6,24.95,1060.0
2021-10-18,24.95,25.0,24.0,25.0,4800.0
2021-10-19,24.8,24.8,24.2,24.2,790.0
2021-10-20,24.21,24.95,24.21,24.9,10.0
2021-10-21,24.9,24.9,24.2,24.2,580.0
2021-10-22,24.1,24.6,24.0,24.4,1430.0
2021-10-25,24.4,24.45,24.0,24.0,190.0
2021-10-26,24.11,25.0,24.11,24.7,3830.0
2021-10-27,24.71,24.71,24.7,24.7,300.0
2021-10-28,24.71,24.8,24.71,24.8,60.0
2021-10-29,24.31,25.1,24.31,25.0,12560.0
