Date,Open,High,Low,Close,Volume
2014-09-01,20.0,20.0,20.0,20.0,20.0
2014-09-02,20.0,20.0,20.0,20.0,
2014-09-03,20.0,20.0,20.0,20.0,
2014-09-04,20.0,20.0,20.0,20.0,
2014-09-05,20.0,20.0,20.0,20.0,
2014-09-08,20.0,20.0,20.0,20.0,
2014-09-09,20.0,20.0,20.0,20.0,0.0
2014-09-10,20.0,20.0,20.0,20.0,80.0
2014-09-11,20.0,20.0,20.0,20.0,
2014-09-12,20.0,20.0,20.0,20.0,30.0
2014-09-15,20.0,20.0,20.0,20.0,
2014-09-16,20.0,20.0,20.0,20.0,10.0
2014-09-17,20.0,20.0,20.0,20.0,30.0
2014-09-18,20.0,20.0,20.0,20.0,
2014-09-19,20.0,20.0,20.0,20.0,0.0
2014-09-22,20.0,20.0,20.0,20.0,
2014-09-23,20.0,20.0,20.0,20.0,
2014-09-24,20.0,20.0,20.0,20.0,10.0
2014-09-25,20.0,20.0,20.0,20.0,
2014-09-26,20.0,20.0,20.0,20.0,10.0
2014-09-29,20.0,20.0,20.0,20.0,
2014-09-30,20.0,20.0,20.0,20.0,
2014-10-01,20.0,20.0,20.0,20.0,10.0
2014-10-02,20.0,20.0,20.0,20.0,50.0
2014-10-03,20.0,20.0,20.0,20.0,0.0
2014-10-06,20.0,20.0,20.0,20.0,150.0
2014-10-07,20.0,20.0,20.0,20.0,70.0
2014-10-08,20.0,20.0,20.0,20.0,10.0
2014-10-09,20.0,20.0,20.0,20.0,20.0
2014-10-10,20.0,20.0,20.0,20.0,
2014-10-27,16.61,20.49,16.61,20.49,1300.0
2014-10-28,20.0,20.0,20.0,20.0,180.0
2014-10-29,19.95,19.95,17.84,17.84,140.0
2014-10-30,16.52,16.52,14.99,14.99,390.0
2014-10-31,13.55,13.55,13.54,13.54,480.0
2014-11-03,13.51,13.51,13.5,13.5,150.0
2014-11-04,12.51,12.51,12.51,12.51,150.0
2014-11-05,12.12,12.6,12.12,12.6,120.0
2014-11-06,14.0,15.0,14.0,15.0,30.0
2014-11-07,14.4,15.0,14.4,15.0,30.0
2014-11-12,13.1,13.1,13.1,13.1,70.0
2014-11-13,13.03,13.03,13.03,13.03,30.0
2014-11-14,13.03,13.03,13.03,13.03,50.0
2014-11-17,13.0,13.0,13.0,13.0,200.0
2014-11-18,13.0,13.0,12.6,12.6,60.0
2014-11-19,12.6,12.62,12.6,12.62,10.0
2014-11-20,12.55,12.55,12.55,12.55,80.0
2014-11-21,13.8,13.8,13.8,13.8,170.0
2014-11-24,13.75,13.75,13.75,13.75,10.0
2014-11-25,13.75,13.75,12.5,12.5,60.0
2014-11-26,13.0,13.0,12.5,12.5,150.0
2014-11-27,12.5,12.5,12.1,12.1,270.0
2014-11-28,11.51,12.1,11.51,12.1,100.0
2014-12-01,11.9,11.9,11.9,11.9,150.0
2014-12-02,11.4,11.4,11.2,11.2,60.0
2014-12-03,11.25,11.25,11.25,11.25,50.0
2014-12-04,11.25,12.0,11.25,12.0,100.0
2014-12-05,12.0,12.51,12.0,12.51,50.0
2014-12-08,12.51,12.51,12.51,12.51,10.0
2014-12-09,13.0,13.0,12.51,12.51,110.0
2014-12-10,12.5,12.5,12.5,12.5,120.0
2014-12-11,12.0,12.0,11.7,11.7,280.0
2014-12-12,12.0,12.16,12.0,12.16,370.0
2014-12-15,12.0,12.0,12.0,12.0,250.0
