Date,Open,High,Low,Close,Volume
2014-09-01,18.4,18.85,18.4,18.85,240.0
2014-09-02,19.39,19.39,18.1,18.25,7110.0
2014-09-03,18.6,18.61,17.67,17.67,4050.0
2014-09-04,17.7,17.93,17.67,17.67,1620.0
2014-09-05,17.87,17.87,17.5,17.5,970.0
2014-09-08,17.49,18.0,17.16,17.68,7180.0
2014-09-09,17.69,17.69,17.0,17.45,630.0
2014-09-10,17.46,17.46,17.06,17.1,33720.0
2014-09-11,17.68,17.69,17.0,17.0,8870.0
2014-09-12,17.0,17.5,17.0,17.0,1850.0
2014-09-15,16.6,17.5,16.6,17.25,7420.0
2014-09-16,17.3,17.67,16.9,17.0,1710.0
2014-09-17,17.49,17.49,16.91,17.39,12550.0
2014-09-18,17.4,18.1,17.39,18.1,1940.0
2014-09-19,18.1,18.22,17.5,18.22,2690.0
2014-09-22,18.22,18.22,17.41,17.86,1660.0
2014-09-23,17.9,18.22,17.9,18.22,2810.0
2014-09-24,18.28,18.5,18.0,18.5,2020.0
2014-09-25,18.54,18.54,18.05,18.45,450.0
2014-09-26,18.4,18.45,18.4,18.45,1500.0
2014-09-29,18.45,18.6,18.45,18.6,1510.0
2014-09-30,18.6,18.75,18.4,18.75,210.0
2014-10-01,18.75,18.75,18.5,18.5,500.0
2014-10-02,18.4,18.48,18.2,18.48,750.0
2014-10-03,18.45,18.74,18.45,18.74,950.0
2014-10-06,18.73,18.74,18.3,18.7,920.0
2014-10-07,18.4,18.7,18.3,18.7,300.0
2014-10-08,18.55,18.7,18.3,18.65,580.0
2014-10-09,18.65,19.0,18.65,18.65,8690.0
2014-10-10,18.57,18.7,18.3,18.7,530.0
2014-10-13,18.59,18.59,18.3,18.3,100.0
2014-10-14,18.3,18.5,18.3,18.3,1050.0
2014-10-15,18.5,18.5,18.5,18.5,50.0
2014-10-16,18.5,18.6,18.3,18.31,230.0
2014-10-17,18.28,18.8,18.28,18.79,1830.0
2014-10-20,18.8,18.8,18.75,18.78,3020.0
2014-10-21,18.7,18.72,18.3,18.3,1410.0
2014-10-22,18.3,18.64,18.3,18.64,200.0
2014-10-23,18.77,19.35,18.7,19.24,5990.0
2014-10-24,19.19,19.19,19.0,19.19,150.0
2014-10-27,19.01,19.3,19.01,19.3,260.0
2014-10-28,19.2,19.2,18.62,18.8,1230.0
2014-10-29,18.79,18.79,18.51,18.51,90.0
2014-10-30,18.37,18.82,18.3,18.6,1400.0
2014-10-31,18.6,18.9,18.5,18.89,270.0
2014-11-03,18.89,19.14,18.5,19.14,490.0
2014-11-04,19.05,19.05,18.7,19.0,130.0
2014-11-05,18.9,18.9,18.35,18.35,950.0
2014-11-06,18.3,18.63,18.3,18.63,150.0
2014-11-07,18.3,18.64,18.3,18.3,680.0
2014-11-10,18.3,18.62,18.3,18.62,60.0
2014-11-12,18.31,18.55,18.15,18.53,850.0
2014-11-13,18.14,18.39,18.14,18.39,180.0
2014-11-14,18.38,18.39,18.29,18.29,230.0
2014-11-17,18.28,18.54,18.01,18.3,2560.0
2014-11-18,18.55,19.1,18.5,19.1,5670.0
2014-11-19,19.1,19.48,19.1,19.48,1920.0
2014-11-20,19.48,20.77,19.44,20.5,8960.0
2014-11-21,20.2,21.0,19.65,20.25,3040.0
2014-11-24,20.19,20.2,19.75,20.01,650.0
2014-11-25,19.75,19.75,19.31,19.7,1270.0
2014-11-26,19.7,21.0,19.61,20.99,6370.0
2014-11-27,21.0,21.0,20.8,21.0,2390.0
2014-11-28,21.0,21.65,21.0,21.49,8100.0
2014-12-01,21.49,21.75,21.2,21.74,4360.0
2014-12-02,21.7,21.7,21.45,21.6,290.0
2014-12-03,21.4,21.53,21.0,21.5,1960.0
2014-12-04,21.5,21.8,21.3,21.7,4820.0
2014-12-05,21.7,21.7,21.0,21.29,12700.0
2014-12-08,21.27,21.7,21.0,21.6,1050.0
2014-12-09,21.19,21.3,21.0,21.29,1750.0
2014-12-10,21.33,21.6,21.33,21.49,3640.0
2014-12-11,21.25,21.78,21.25,21.78,4420.0
2014-12-12,21.7,21.9,21.7,21.9,3090.0
2014-12-15,21.94,22.9,21.94,22.9,2280.0
2014-12-16,22.8,23.0,21.85,23.0,4540.0
2014-12-17,22.7,22.85,22.0,22.85,1010.0
2014-12-18,22.7,22.7,22.3,22.5,340.0
2014-12-19,22.5,23.0,22.5,22.5,3360.0
2014-12-22,22.3,23.77,22.1,23.0,2500.0
2014-12-23,22.5,22.6,22.4,22.6,1670.0
2014-12-29,22.3,22.3,21.91,22.1,3000.0
2014-12-30,22.0,22.25,21.95,22.1,3820.0
2015-01-02,22.0,22.23,21.7,22.2,570.0
2015-01-07,21.7,22.0,21.2,21.9,4090.0
2015-01-08,21.2,21.79,20.15,21.79,6540.0
2015-01-09,21.25,21.75,20.58,21.75,4530.0
2015-01-12,21.73,22.0,20.65,22.0,2260.0
2015-01-13,21.66,22.2,21.66,22.0,1470.0
2015-01-14,22.0,22.49,21.9,21.99,1110.0
2015-01-15,21.76,22.0,21.47,22.0,1190.0
2015-01-16,21.69,21.8,21.69,21.8,20.0
2015-01-19,21.47,21.47,21.47,21.47,70.0
2015-01-20,21.32,21.32,20.51,20.52,2100.0
2015-01-22,20.85,20.9,20.85,20.9,40.0
2015-01-23,20.9,21.35,20.9,21.35,600.0
2015-01-26,21.35,21.35,21.35,21.35,10.0
2015-01-27,21.0,21.0,20.5,20.5,100.0
2015-01-28,21.0,21.0,20.75,21.0,200.0
2015-01-30,21.34,21.34,20.76,21.15,170.0
2015-02-02,21.16,21.16,20.75,20.75,250.0
2015-02-03,21.5,21.5,21.2,21.2,1250.0
