Date,Open,High,Low,Close,Volume
2014-09-01,7.55,7.55,7.55,7.55,190.0
2014-09-12,7.55,7.55,7.55,7.55,10.0
2014-09-17,7.58,7.64,7.58,7.64,20.0
2014-09-22,7.64,7.64,7.64,7.64,10.0
2014-09-23,7.64,7.64,7.64,7.64,10.0
2014-10-08,7.64,7.64,7.64,7.64,10.0
2014-10-14,7.64,7.64,7.64,7.64,20.0
2014-10-15,7.64,7.64,7.64,7.64,10.0
2014-10-27,7.64,7.64,7.64,7.64,10.0
2014-10-28,7.64,7.64,7.64,7.64,20.0
2015-01-08,7.52,7.6,7.52,7.6,20.0
2015-01-09,7.63,7.63,7.63,7.63,10.0
2015-01-21,7.1,7.1,7.1,7.1,10.0
2015-02-09,7.0,7.0,7.0,7.0,70.0
2015-02-10,7.0,7.0,7.0,7.0,20.0
2015-02-20,7.42,7.42,7.16,7.16,150.0
2015-03-18,6.98,6.98,6.9,6.9,290.0
2015-04-08,6.96,6.96,6.96,6.96,150.0
2015-04-10,6.7,6.7,5.36,5.6,730.0
2015-04-13,6.04,6.07,5.9,6.04,590.0
2015-04-14,6.1,6.1,6.1,6.1,170.0
2015-05-06,6.4,6.49,6.4,6.49,180.0
2015-06-29,5.96,6.12,5.96,6.12,180.0
2015-07-08,5.69,6.12,5.69,5.71,390.0
2015-07-23,5.6,5.6,5.6,5.6,40.0
2015-08-06,5.6,5.6,5.6,5.6,160.0
2015-08-17,5.21,5.21,5.21,5.21,50.0
2015-08-20,5.21,5.21,5.21,5.21,200.0
2015-08-26,5.16,5.16,5.16,5.16,500.0
2015-08-27,5.21,5.37,5.21,5.37,390.0
2015-09-01,5.08,5.08,5.08,5.08,570.0
2015-09-15,5.14,5.14,5.14,5.14,50.0
2015-11-18,4.76,4.76,4.76,4.76,110.0
2015-11-19,4.91,4.91,4.91,4.91,190.0
2015-12-22,4.65,4.65,4.65,4.65,50.0
2016-01-22,5.37,5.37,5.37,5.37,60.0
2016-02-11,5.0,5.0,5.0,5.0,200.0
2016-03-10,5.1,5.1,5.1,5.1,200.0
