Date,Open,High,Low,Close,Volume
2014-09-01,15.01,15.46,14.99,15.46,830.0
2014-09-02,15.46,15.46,15.46,15.46,100.0
2014-09-03,14.6,14.6,14.0,14.0,1550.0
2014-09-04,14.99,14.99,13.5,13.55,1420.0
2014-09-05,13.51,14.1,13.51,13.99,660.0
2014-09-08,14.0,14.0,13.3,13.3,2370.0
2014-09-09,13.6,13.6,12.15,12.15,4490.0
2014-09-10,12.74,13.4,12.0,12.79,3340.0
2014-09-11,12.8,12.8,12.3,12.3,1870.0
2014-09-12,12.9,12.9,12.88,12.9,600.0
2014-09-15,12.9,12.9,12.3,12.9,3050.0
2014-09-17,12.92,13.99,12.92,13.0,1230.0
2014-09-18,13.44,13.44,13.44,13.44,30.0
2014-09-19,13.42,14.6,13.42,14.2,1320.0
2014-09-22,14.3,15.52,14.28,15.52,2840.0
2014-09-23,15.1,16.0,15.1,15.92,4700.0
2014-09-24,15.92,15.92,15.3,15.3,560.0
2014-09-25,15.1,15.89,15.1,15.8,420.0
2014-09-26,15.8,15.8,15.8,15.8,590.0
2014-09-29,14.99,15.0,14.7,15.0,2220.0
2014-09-30,15.0,15.0,15.0,15.0,430.0
2014-10-01,15.2,15.59,15.2,15.59,110.0
2014-10-06,15.5,15.5,15.0,15.0,320.0
2014-10-07,14.71,15.38,14.71,15.38,60.0
2014-10-08,14.71,15.38,14.71,15.38,60.0
2014-10-09,14.71,15.38,14.71,15.38,370.0
2014-10-10,14.75,15.16,14.7,15.16,700.0
2014-10-13,14.71,14.71,14.51,14.51,1840.0
2014-10-14,14.52,14.52,14.52,14.52,340.0
2014-10-15,15.0,15.0,15.0,15.0,0.0
2014-10-17,14.15,14.15,14.0,14.0,420.0
2014-10-20,14.1,14.98,14.1,14.98,640.0
2014-10-21,14.98,14.98,14.3,14.3,150.0
2014-10-22,14.21,14.98,14.17,14.98,3540.0
2014-10-27,15.0,15.0,15.0,15.0,140.0
2014-10-28,15.0,15.5,15.0,15.5,210.0
2014-10-29,15.0,15.0,15.0,15.0,180.0
2014-10-30,14.56,14.56,14.56,14.56,300.0
2014-11-10,14.9,14.9,14.89,14.9,10.0
2014-11-12,14.73,14.73,14.73,14.73,100.0
2014-11-13,14.87,14.87,13.99,13.99,480.0
2014-11-17,13.0,13.0,13.0,13.0,260.0
2014-11-18,12.5,12.5,12.0,12.0,790.0
2014-11-19,12.9,12.9,12.9,12.9,0.0
2014-11-20,12.9,12.9,12.9,12.9,10.0
2014-11-21,12.11,12.9,12.01,12.41,250.0
2014-11-24,12.9,12.9,12.25,12.25,140.0
2014-11-25,11.0,12.23,10.8,12.23,3540.0
2014-11-26,12.24,12.24,12.24,12.24,30.0
2014-11-27,11.3,12.25,11.3,12.25,660.0
2014-12-01,12.0,12.85,12.0,12.85,1720.0
2014-12-02,13.0,14.11,12.9,13.99,3000.0
2014-12-03,13.99,13.99,13.99,13.99,70.0
2014-12-04,13.22,13.22,13.22,13.22,500.0
2014-12-05,13.22,13.22,12.9,12.9,650.0
2014-12-08,14.0,14.0,14.0,14.0,0.0
2014-12-09,14.0,14.0,12.8,12.8,1440.0
2014-12-10,12.8,12.8,12.15,12.15,1360.0
2014-12-11,12.0,12.0,12.0,12.0,300.0
2014-12-12,12.5,12.5,11.0,11.69,2310.0
2014-12-15,11.69,12.22,11.2,12.22,4470.0
2014-12-16,11.22,12.3,11.0,11.02,6530.0
2014-12-17,11.65,11.67,11.65,11.67,230.0
2014-12-18,10.6,10.6,10.01,10.5,2360.0
2014-12-19,10.22,10.22,10.01,10.01,490.0
2014-12-22,10.5,10.5,10.5,10.5,50.0
2014-12-23,10.5,10.5,9.5,9.6,3520.0
2014-12-29,9.5,9.5,9.5,9.5,70.0
2014-12-30,9.5,9.5,9.5,9.5,120.0
2015-01-05,10.4,10.4,9.45,9.45,1220.0
2015-01-07,9.0,9.0,9.0,9.0,2360.0
2015-01-08,9.0,9.39,9.0,9.35,1470.0
2015-01-09,9.39,9.4,8.7,8.7,420.0
2015-01-12,8.7,8.71,8.7,8.71,580.0
2015-01-13,8.8,8.8,8.71,8.71,50.0
2015-01-14,9.4,9.4,9.4,9.4,170.0
2015-01-15,10.3,10.35,9.3,10.2,640.0
2015-01-19,10.0,10.0,10.0,10.0,500.0
2015-01-23,9.4,9.75,9.4,9.75,630.0
2015-01-26,9.8,9.8,9.8,9.8,130.0
2015-01-27,9.8,9.8,9.5,9.5,590.0
2015-01-28,9.4,9.5,9.4,9.5,270.0
2015-02-02,9.0,9.8,9.0,9.8,450.0
2015-02-03,8.8,8.8,8.8,8.8,230.0
