Date,Open,High,Low,Close,Volume
2014-09-01,14.54,15.5,14.54,15.5,10.0
2014-09-03,14.8,15.49,14.8,15.49,170.0
2014-09-05,15.49,15.49,15.49,15.49,500.0
2014-09-08,15.49,15.49,15.0,15.01,150.0
2014-09-09,14.51,15.01,14.51,14.85,1250.0
2014-09-10,14.51,14.51,14.51,14.51,10.0
2014-09-12,14.53,15.49,14.53,15.49,1260.0
2014-09-15,15.0,15.0,15.0,15.0,0.0
2014-09-16,14.55,15.5,14.55,14.55,480.0
2014-09-17,15.5,16.98,14.7,14.7,210.0
2014-09-18,16.0,16.0,16.0,16.0,100.0
2014-09-19,15.0,16.6,15.0,15.15,400.0
2014-09-22,16.6,16.6,16.6,16.6,250.0
2014-09-23,16.55,16.69,15.5,15.5,160.0
2014-09-24,15.5,15.5,15.13,15.13,2000.0
2014-09-25,15.9,15.9,15.1,15.1,400.0
2014-09-26,15.99,15.99,15.44,15.88,70.0
2014-09-29,15.99,16.01,15.88,15.88,120.0
2014-09-30,15.4,16.49,15.4,16.48,460.0
2014-10-01,15.43,15.85,15.4,15.75,950.0
2014-10-03,15.5,15.5,15.1,15.25,50.0
2014-10-06,15.1,15.1,15.1,15.1,0.0
2014-10-07,15.0,16.2,14.54,16.2,320.0
2014-10-09,14.6,15.87,14.6,15.2,980.0
2014-10-10,15.39,15.39,14.69,14.69,2040.0
2014-10-14,14.52,14.52,14.5,14.5,220.0
2014-10-15,14.8,14.8,14.8,14.8,100.0
2014-10-17,15.3,15.3,14.8,14.8,300.0
2014-10-20,14.75,14.75,14.75,14.75,80.0
2014-10-21,14.8,15.27,14.8,15.27,80.0
2014-10-23,15.0,15.87,15.0,15.52,680.0
2014-10-24,15.7,15.71,15.45,15.45,4010.0
2014-10-27,15.83,15.83,15.3,15.77,3320.0
2014-10-28,15.7,15.7,15.31,15.32,2450.0
2014-10-29,15.41,15.41,15.41,15.41,0.0
2014-10-30,15.33,15.33,15.33,15.33,10.0
2014-10-31,15.69,15.84,15.69,15.8,7830.0
2014-11-03,15.72,15.87,15.72,15.72,10100.0
2014-11-04,15.65,15.72,15.65,15.72,125440.0
2014-11-05,15.74,15.83,15.72,15.72,9050.0
2014-11-06,15.85,16.5,15.85,16.5,2490.0
2014-11-07,16.11,16.7,16.0,16.69,3490.0
2014-11-10,16.6,16.69,16.6,16.69,460.0
2014-11-14,16.02,16.02,16.0,16.0,240.0
2014-11-17,16.05,16.05,16.01,16.01,250.0
2014-11-18,16.01,16.01,16.01,16.01,130.0
2014-11-19,16.01,16.01,16.01,16.01,140.0
2014-11-20,16.01,16.01,16.01,16.01,70.0
2014-11-21,16.0,16.0,16.0,16.0,40.0
2014-11-24,15.61,15.61,15.61,15.61,0.0
2014-11-25,15.61,15.61,15.61,15.61,70.0
2014-11-26,15.62,15.62,15.62,15.62,150.0
2014-11-27,15.8,15.8,15.8,15.8,50.0
2014-11-28,15.61,15.61,15.5,15.5,7060.0
2014-12-01,15.56,15.56,15.56,15.56,0.0
2014-12-02,15.56,15.57,15.56,15.57,300.0
2014-12-03,15.57,15.57,15.57,15.57,100.0
2014-12-05,15.57,16.01,15.56,16.01,60.0
2014-12-08,16.0,16.0,16.0,16.0,100.0
2014-12-10,15.56,15.56,15.56,15.56,10.0
2014-12-12,15.56,15.56,15.22,15.49,250.0
2014-12-15,15.31,15.31,15.22,15.22,560.0
2014-12-16,15.19,15.19,14.56,15.18,5700.0
2014-12-17,15.0,15.68,14.57,15.68,14000.0
2014-12-18,14.6,14.7,14.6,14.69,1640.0
2014-12-19,14.69,14.7,14.69,14.69,550.0
2014-12-22,14.7,14.7,14.7,14.7,100.0
2014-12-29,14.85,15.49,14.85,15.49,230.0
2014-12-30,15.45,15.55,15.45,15.54,990.0
2015-01-07,15.53,15.8,15.53,15.75,230.0
2015-01-08,15.5,15.51,15.5,15.51,100.0
2015-01-12,15.77,15.77,15.5,15.5,490.0
2015-01-13,15.5,15.5,15.5,15.5,90.0
2015-01-14,15.52,15.52,15.52,15.52,70.0
2015-01-16,14.83,14.83,14.83,14.83,180.0
2015-01-19,15.0,15.0,15.0,15.0,100.0
2015-01-20,15.0,15.0,15.0,15.0,330.0
2015-01-21,15.0,15.0,15.0,15.0,700.0
2015-01-22,15.0,15.0,15.0,15.0,800.0
2015-01-23,15.0,15.0,14.85,14.85,0.0
2015-01-26,15.0,15.0,15.0,15.0,150.0
2015-01-28,14.83,14.83,14.83,14.83,110.0
2015-01-29,14.83,14.83,14.83,14.83,10.0
2015-01-30,15.0,15.0,15.0,15.0,200.0
2015-02-09,15.0,15.7,14.72,14.72,360.0
2015-02-10,15.0,15.0,14.74,14.75,450.0
2015-02-12,15.0,15.0,15.0,15.0,450.0
2015-02-13,15.0,15.0,15.0,15.0,110.0
2015-02-16,15.01,15.7,15.01,15.7,2130.0
2015-02-17,15.6,15.6,15.6,15.6,10.0
2015-02-18,15.6,15.6,15.6,15.6,150.0
2015-02-19,15.6,15.8,15.6,15.8,7590.0
2015-02-20,15.41,15.78,15.41,15.78,970.0
2015-02-23,15.78,16.5,15.78,16.5,6430.0
2015-02-25,16.17,16.17,16.17,16.17,70.0
2015-02-26,16.17,16.6,16.17,16.6,950.0
2015-02-27,16.05,16.06,16.05,16.05,650.0
2015-03-02,16.05,16.1,16.05,16.1,140.0
2015-03-03,16.11,16.5,16.1,16.5,3750.0
2015-03-04,16.5,16.5,16.5,16.5,0.0
2015-03-05,16.5,16.68,16.5,16.68,1790.0
2015-03-06,16.5,16.75,16.5,16.65,1010.0
2015-03-09,16.65,16.76,16.65,16.65,440.0
2015-03-10,16.65,16.75,16.4,16.75,630.0
2015-03-11,16.58,16.79,16.58,16.79,330.0
2015-03-12,16.75,17.5,16.75,17.4,1360.0
2015-03-13,17.4,17.4,17.23,17.4,110.0
2015-03-16,17.4,18.0,16.75,18.0,3150.0
2015-03-17,18.5,19.5,18.0,19.25,5320.0
2015-03-18,19.41,19.77,18.17,19.0,1640.0
2015-03-19,19.0,19.0,18.01,19.0,1890.0
2015-03-20,18.9,18.9,18.1,18.8,610.0
2015-03-23,18.78,18.79,17.7,18.7,520.0
2015-03-24,18.75,18.75,17.61,18.55,70.0
2015-03-25,18.49,18.5,18.49,18.5,60.0
2015-03-26,18.3,18.3,17.8,17.8,330.0
2015-03-27,17.34,17.8,17.0,17.75,700.0
2015-03-30,18.79,18.79,18.1,18.1,150.0
2015-03-31,18.35,18.35,18.35,18.35,40.0
2015-04-08,18.0,18.0,17.0,17.96,1040.0
2015-04-09,17.73,17.73,17.02,17.1,520.0
2015-04-10,17.1,17.1,17.1,17.1,0.0
2015-04-13,17.1,17.1,17.1,17.1,100.0
2015-04-14,17.1,17.1,16.81,16.81,170.0
2015-04-15,16.81,17.09,16.81,17.09,390.0
2015-04-16,17.08,17.09,17.08,17.09,340.0
