Date,Open,High,Low,Close,Volume
2014-09-01,2.99,3.02,2.96,2.99,31660.0
2014-09-02,3.02,3.1,3.0,3.0,73530.0
2014-09-03,3.04,3.08,3.0,3.01,93890.0
2014-09-04,3.01,3.07,3.0,3.07,117410.0
2014-09-05,3.09,3.25,3.09,3.24,135750.0
2014-09-08,3.21,3.27,3.17,3.23,62410.0
2014-09-09,3.26,3.32,3.25,3.29,87700.0
2014-09-10,3.29,3.44,3.29,3.44,106280.0
2014-09-11,3.44,3.44,3.36,3.43,78740.0
2014-09-12,3.43,3.47,3.39,3.44,21060.0
2014-09-15,3.42,3.47,3.42,3.42,33400.0
2014-09-16,3.42,3.42,3.31,3.38,58400.0
2014-09-17,3.37,3.37,3.33,3.33,74000.0
2014-09-18,3.32,3.37,3.29,3.29,83520.0
2014-09-19,3.3,3.36,3.26,3.36,122560.0
2014-09-22,3.36,3.4,3.3,3.37,140900.0
2014-09-23,3.37,3.41,3.3,3.35,140080.0
2014-09-24,3.08,3.09,3.02,3.05,34980.0
2014-09-25,3.04,3.13,3.03,3.08,49230.0
2014-09-26,3.06,3.09,3.05,3.08,11120.0
2014-09-29,3.08,3.08,3.03,3.03,9630.0
2014-09-30,3.05,3.06,3.04,3.06,9340.0
2014-10-01,3.06,3.06,3.0,3.01,11370.0
2014-10-02,3.01,3.01,2.97,2.99,8070.0
2014-10-03,2.96,3.03,2.96,3.0,4500.0
2014-10-06,2.98,2.98,2.81,2.9,8600.0
2014-10-07,2.9,2.95,2.9,2.95,530.0
2014-10-08,2.94,2.95,2.94,2.94,16100.000000000002
2014-10-09,2.96,2.98,2.94,2.98,2070.0
2014-10-10,3.0,3.0,2.83,2.98,11940.0
2014-10-13,2.85,2.94,2.83,2.94,6900.0
2014-10-14,2.94,2.97,2.85,2.96,6990.0
2014-10-15,2.96,2.96,2.87,2.87,3950.0
2014-10-16,2.9,2.94,2.87,2.94,16510.0
2014-10-17,2.9,2.98,2.89,2.97,10830.0
2014-10-20,2.93,2.95,2.86,2.86,7870.0
2014-10-21,2.9,2.93,2.87,2.93,5330.0
2014-10-22,2.86,2.93,2.86,2.9,5030.0
2014-10-23,2.87,2.89,2.86,2.89,6460.0
2014-10-24,2.89,2.89,2.86,2.86,6180.0
2014-10-27,2.84,2.9,2.84,2.9,1300.0
2014-10-28,2.86,2.9,2.84,2.9,24350.0
2014-10-29,2.85,2.89,2.85,2.85,26080.0
2014-10-30,2.85,2.88,2.84,2.88,4470.0
2014-10-31,2.88,2.88,2.86,2.88,5950.0
2014-11-03,2.89,2.89,2.85,2.89,4220.0
2014-11-04,2.84,2.87,2.78,2.78,21600.0
2014-11-05,2.8,2.85,2.79,2.81,27140.0
2014-11-06,2.86,2.86,2.81,2.85,3630.0
2014-11-07,2.8,2.86,2.73,2.73,20240.0
2014-11-10,2.79,2.79,2.75,2.77,6510.0
2014-11-12,2.83,2.83,2.65,2.7,13290.0
2014-11-13,2.75,2.75,2.65,2.65,8990.0
2014-11-14,2.75,2.76,2.68,2.72,23470.0
2014-11-17,2.66,2.69,2.65,2.69,8480.0
2014-11-18,2.62,2.69,2.62,2.68,8560.0
2014-11-19,2.69,2.69,2.65,2.68,6990.0
2014-11-20,2.65,2.68,2.55,2.68,3980.0
2014-11-21,2.66,2.66,2.62,2.64,7550.0
2014-11-24,2.65,2.69,2.64,2.65,11860.0
2014-11-25,2.6,2.65,2.6,2.6,15850.0
2014-11-26,2.62,2.63,2.47,2.6,32450.000000000004
2014-11-27,2.6,2.67,2.6,2.65,26520.0
2014-11-28,2.65,2.75,2.6,2.6,59820.0
2014-12-01,2.68,2.68,2.6,2.67,10350.0
2014-12-02,2.65,2.65,2.6,2.65,14030.0
2014-12-03,2.65,2.65,2.6,2.65,7260.0
2014-12-04,2.65,2.65,2.6,2.65,6040.0
2014-12-05,2.63,2.66,2.6,2.66,11200.0
2014-12-08,2.6,2.64,2.59,2.64,9960.0
2014-12-09,2.57,2.62,2.45,2.6,6410.0
2014-12-10,2.6,2.62,2.5,2.58,25610.0
2014-12-11,2.51,2.58,2.51,2.58,5410.0
2014-12-12,2.51,2.68,2.51,2.67,109590.0
2014-12-15,2.69,2.76,2.62,2.68,9820.0
2014-12-16,2.62,2.64,2.57,2.6,10730.0
2014-12-17,2.58,2.69,2.58,2.65,5940.0
2014-12-18,2.68,2.75,2.65,2.75,26200.0
2014-12-19,2.7,2.74,2.7,2.7,5610.0
2014-12-22,2.7,2.88,2.68,2.77,22260.0
2014-12-23,2.76,2.77,2.66,2.67,49550.0
2014-12-29,2.68,2.76,2.68,2.76,3780.0
2014-12-30,2.73,2.75,2.68,2.75,2870.0
2015-01-02,2.82,2.82,2.72,2.72,5780.0
2015-01-05,2.75,2.75,2.72,2.72,610.0
2015-01-07,2.73,2.77,2.73,2.76,3500.0
2015-01-08,2.72,2.88,2.72,2.87,33270.0
2015-01-09,2.83,2.9,2.83,2.87,9320.0
2015-01-12,2.88,2.88,2.85,2.85,1150.0
2015-01-13,2.9,2.99,2.83,2.99,43420.0
2015-01-14,2.99,2.99,2.93,2.97,9170.0
2015-01-15,2.9,2.94,2.85,2.9,6540.0
2015-01-16,2.9,2.98,2.9,2.95,3590.0
2015-01-19,2.87,2.97,2.87,2.97,2190.0
2015-01-20,2.89,2.89,2.89,2.89,6940.0
2015-01-21,2.95,2.97,2.88,2.94,7770.0
2015-01-22,2.89,2.94,2.88,2.94,4520.0
2015-01-23,2.89,2.94,2.88,2.89,9040.0
2015-01-26,2.86,2.9,2.85,2.85,1030.0
2015-01-27,2.86,2.92,2.85,2.9,2020.0
2015-01-28,2.9,2.9,2.85,2.9,3770.0
2015-01-29,2.85,2.89,2.85,2.89,15430.0
2015-01-30,2.83,2.9,2.83,2.9,2780.0
2015-02-02,2.85,2.89,2.85,2.87,9390.0
2015-02-03,2.87,2.95,2.87,2.88,8640.0
2015-02-04,2.88,2.99,2.88,2.98,24830.0
2015-02-05,2.96,2.97,2.95,2.97,13280.0
2015-02-06,2.96,2.96,2.9,2.95,900.0
2015-02-09,2.95,2.95,2.95,2.95,100.0
2015-02-10,2.95,2.95,2.88,2.9,6850.0
2015-02-11,2.89,2.95,2.88,2.88,15200.0
2015-02-12,2.95,2.97,2.91,2.96,8330.0
2015-02-13,2.97,2.97,2.96,2.97,3460.0
2015-02-16,2.99,3.05,2.95,2.98,14170.0
2015-02-17,2.98,3.09,2.98,3.09,20220.0
2015-02-18,3.1,3.12,3.06,3.1,29540.0
2015-02-19,3.09,3.1,3.07,3.08,10580.0
2015-02-20,3.08,3.08,3.02,3.08,8980.0
2015-02-23,3.08,3.08,3.08,3.08,6170.0
2015-02-24,3.11,3.11,3.02,3.02,1540.0
2015-02-25,3.01,3.02,2.86,3.02,7890.0
2015-02-26,3.03,3.05,3.03,3.05,1360.0
2015-02-27,3.05,3.18,3.05,3.1,47480.0
2015-03-02,3.17,3.17,3.1,3.1,3200.0
2015-03-03,3.14,3.14,3.0,3.0,12530.0
2015-03-04,3.0,3.1,3.0,3.1,12380.0
2015-03-05,3.1,3.1,3.01,3.09,5700.0
2015-03-06,3.01,3.08,3.01,3.03,950.0
2015-03-09,3.08,3.1,3.08,3.1,5370.0
2015-03-10,3.1,3.16,3.1,3.15,46660.0
2015-03-11,3.13,3.13,3.07,3.13,2460.0
2015-03-13,3.1,3.14,3.1,3.11,4270.0
2015-03-16,3.11,3.25,3.1,3.23,25720.0
2015-03-17,3.24,3.29,3.24,3.28,13020.0
2015-03-18,3.28,3.3,3.22,3.25,9340.0
2015-03-19,3.29,3.3,3.23,3.26,35830.0
2015-03-20,3.24,3.26,3.22,3.25,3130.0
2015-03-23,3.11,3.29,3.1,3.27,8330.0
2015-03-24,3.27,3.27,3.12,3.12,13870.0
2015-03-25,3.25,3.25,3.12,3.13,3400.0
2015-03-26,3.08,3.14,3.08,3.14,640.0
2015-03-27,3.22,3.22,3.09,3.14,8630.0
2015-03-30,3.2,3.2,3.18,3.18,320.0
2015-03-31,3.18,3.18,3.06,3.1,4850.0
2015-04-01,3.06,3.22,3.06,3.19,15350.0
2015-04-02,3.12,3.18,3.07,3.18,1440.0
2015-04-07,3.19,3.19,3.16,3.16,1880.0
2015-04-08,3.19,3.19,3.08,3.18,3830.0
2015-04-09,3.13,3.18,3.09,3.15,2960.0
2015-04-10,3.15,3.15,3.09,3.14,3880.0
2015-04-13,3.14,3.2,3.11,3.18,21560.0
2015-04-14,3.19,3.25,3.19,3.25,34450.0
2015-04-15,3.25,3.35,3.25,3.32,88850.0
2015-04-16,3.35,3.36,3.31,3.33,22160.0
2015-04-17,3.33,3.34,3.26,3.33,2650.0
2015-04-20,3.33,3.33,3.22,3.32,2570.0
2015-04-21,3.32,3.34,3.32,3.34,7200.0
2015-04-22,3.34,3.35,3.32,3.34,15960.0
2015-04-23,3.32,3.32,3.32,3.32,16010.000000000002
2015-04-24,3.33,3.33,3.29,3.3,1310.0
2015-04-27,3.31,3.35,3.3,3.34,8640.0
2015-04-28,3.35,3.35,3.32,3.33,21180.0
2015-04-29,3.32,3.33,3.32,3.33,810.0
2015-04-30,3.31,3.33,3.17,3.31,13170.0
2015-05-04,3.35,3.35,3.25,3.31,4780.0
2015-05-05,3.25,3.28,3.11,3.25,11490.0
2015-05-06,3.2,3.28,3.16,3.25,2840.0
2015-05-08,3.25,3.25,3.12,3.24,8880.0
2015-05-11,3.18,3.18,3.0,3.14,13730.0
2015-05-12,3.24,3.24,3.24,3.24,10.0
2015-05-13,3.23,3.23,3.23,3.23,500.0
2015-05-14,3.1,3.22,3.1,3.22,8600.0
2015-05-15,3.22,3.33,3.15,3.25,144800.0
2015-05-18,3.29,3.3,3.21,3.27,30030.0
2015-05-19,3.22,3.27,3.22,3.26,10420.0
2015-05-20,3.23,3.28,3.22,3.28,11850.0
2015-05-21,3.21,3.27,3.2,3.27,5710.0
2015-05-22,3.23,3.26,3.11,3.25,20630.0
