Date,Open,High,Low,Close,Volume
2014-09-01,5.7,5.91,5.7,5.72,40350.0
2014-09-02,5.71,5.71,5.63,5.64,18940.0
2014-09-03,5.65,5.75,5.65,5.74,37910.0
2014-09-04,5.75,5.75,5.63,5.7,14880.0
2014-09-05,5.74,5.75,5.63,5.73,24300.0
2014-09-08,5.74,6.06,5.74,6.06,127850.0
2014-09-09,6.2,6.2,6.07,6.1,43890.0
2014-09-10,6.05,6.06,5.94,5.98,56960.0
2014-09-11,5.98,6.02,5.91,5.91,33420.0
2014-09-12,5.91,6.01,5.88,5.97,21320.0
2014-09-15,5.97,5.97,5.74,5.92,18030.0
2014-09-16,5.87,5.93,5.84,5.84,12950.0
2014-09-17,5.89,5.95,5.87,5.9,54740.0
2014-09-18,5.94,6.3,5.94,6.3,630480.0
2014-09-19,6.39,6.47,6.32,6.45,64030.0
2014-09-22,6.38,6.48,6.26,6.35,22070.0
2014-09-23,6.3,6.35,6.11,6.35,32900.0
2014-09-24,6.25,6.3,6.2,6.25,12760.0
2014-09-25,6.3,6.54,6.3,6.45,77750.0
2014-09-26,6.31,6.37,6.31,6.35,33750.0
2014-09-29,6.35,6.44,6.33,6.35,37930.0
2014-09-30,6.35,6.5,6.31,6.32,23800.0
2014-10-01,6.49,6.5,6.13,6.13,27990.0
2014-10-02,6.02,6.03,5.43,5.74,96810.0
2014-10-03,5.7,5.85,5.7,5.85,10620.0
2014-10-06,5.87,5.95,5.86,5.95,25320.0
2014-10-07,5.89,5.89,5.81,5.88,5810.0
2014-10-08,5.76,5.81,5.71,5.78,11200.0
2014-10-09,5.73,5.95,5.72,5.95,13570.0
2014-10-10,5.85,5.85,5.72,5.76,23680.0
2014-10-13,5.75,5.95,5.7,5.73,17310.0
2014-10-14,5.82,5.82,5.65,5.74,11030.0
2014-10-15,5.83,5.83,5.25,5.25,102270.0
2014-10-16,5.19,5.55,5.19,5.49,281860.0
2014-10-17,5.51,5.65,5.51,5.65,526380.0
2014-10-20,5.75,5.83,5.72,5.77,122900.0
2014-10-21,5.68,5.85,5.68,5.8,12580.0
2014-10-22,5.85,5.9,5.77,5.85,91970.0
2014-10-23,5.79,5.86,5.76,5.77,91780.0
2014-10-24,5.78,5.82,5.77,5.77,74840.0
2014-10-27,5.8,5.85,5.8,5.8,15570.0
2014-10-28,5.8,5.83,5.8,5.83,7790.0
2014-10-29,5.81,5.83,5.67,5.81,10210.0
2014-10-30,5.71,5.82,5.71,5.8,10120.0
2014-10-31,5.8,5.83,5.8,5.83,9020.0
2014-11-03,5.8,5.82,5.73,5.78,8960.0
2014-11-04,5.78,5.83,5.77,5.8,103410.0
2014-11-05,5.83,5.84,5.77,5.77,20890.0
2014-11-06,5.78,5.8,5.71,5.73,12470.0
2014-11-07,5.73,5.73,5.53,5.53,15830.0
2014-11-10,5.64,5.64,5.54,5.6,4520.0
2014-11-12,5.56,5.63,5.56,5.62,3750.0
2014-11-13,5.6,5.6,5.6,5.6,26170.0
2014-11-14,5.6,5.69,5.6,5.68,16410.0
2014-11-17,5.56,5.68,5.52,5.67,23830.0
2014-11-18,5.66,5.84,5.6,5.84,30630.0
2014-11-19,5.8,5.9,5.8,5.89,10990.0
2014-11-20,5.89,5.89,5.74,5.75,18240.0
2014-11-21,5.8,5.85,5.76,5.82,7690.0
2014-11-24,5.83,5.83,5.7,5.7,85810.0
2014-11-25,5.7,5.81,5.65,5.66,3910.0
2014-11-26,5.68,5.8,5.66,5.8,4170.0
2014-11-27,5.8,5.86,5.73,5.84,21510.0
2014-11-28,5.89,5.89,5.79,5.85,21710.0
2014-12-01,5.79,5.8,5.72,5.77,9500.0
2014-12-02,5.77,5.84,5.71,5.81,24290.0
2014-12-03,5.8,6.18,5.8,6.14,98320.0
2014-12-04,6.16,6.25,6.14,6.24,43750.0
2014-12-05,6.25,6.3,6.24,6.3,50050.0
2014-12-08,6.29,6.29,6.15,6.2,14530.0
2014-12-09,6.15,6.15,6.05,6.09,8290.0
2014-12-10,6.05,6.18,6.02,6.18,10980.0
2014-12-11,6.18,6.5,6.18,6.5,137790.0
2014-12-12,6.59,6.79,6.47,6.64,73520.0
2014-12-15,6.59,6.63,6.18,6.29,39240.0
2014-12-16,6.29,6.3,5.67,6.03,117240.0
2014-12-17,6.03,6.2,6.03,6.14,27090.0
2014-12-18,6.15,6.15,5.81,6.0,16260.000000000002
2014-12-19,6.01,6.01,5.9,5.95,6750.0
2014-12-22,6.09,6.09,5.81,5.81,14010.0
2014-12-23,5.82,5.9,5.65,5.7,41480.0
2014-12-29,5.69,6.0,5.69,5.89,15530.0
2014-12-30,5.85,5.96,5.85,5.92,347160.0
2015-01-02,5.82,6.09,5.82,6.0,5100.0
2015-01-05,6.0,6.05,5.8,6.05,24500.0
2015-01-07,6.04,6.15,6.03,6.13,14160.0
2015-01-08,6.16,6.22,6.1,6.17,24900.0
2015-01-09,6.19,6.19,6.0,6.0,8050.000000000001
2015-01-12,6.13,6.35,6.13,6.25,58590.0
2015-01-13,6.25,6.35,6.25,6.34,11860.0
2015-01-14,6.39,6.39,6.22,6.29,11350.0
2015-01-15,6.23,6.23,5.9,6.08,27470.0
2015-01-16,6.02,6.1,6.0,6.1,11510.0
2015-01-19,6.09,6.15,6.01,6.14,6300.0
2015-01-20,6.14,6.5,6.12,6.44,25300.0
2015-01-21,6.4,6.47,6.4,6.47,14990.0
2015-01-22,6.45,6.46,6.38,6.44,9710.0
2015-01-23,6.44,6.44,6.2,6.4,13430.0
2015-01-26,6.27,6.4,6.26,6.37,6360.0
2015-01-27,6.37,6.4,6.3,6.39,8370.0
2015-01-28,6.4,6.63,6.4,6.63,37320.0
2015-01-29,6.6,6.6,6.5,6.55,41040.0
2015-01-30,6.57,6.58,6.5,6.52,27300.0
2015-02-02,6.5,6.52,6.41,6.42,12370.0
2015-02-03,6.42,6.5,6.3,6.31,29060.0
2015-02-04,6.38,6.38,5.9,6.11,62200.0
2015-02-05,6.1,6.1,5.83,5.97,77430.0
2015-02-06,5.97,6.2,5.94,6.2,773400.0
2015-02-09,6.24,6.24,6.15,6.2,9960.0
2015-02-10,6.21,6.21,6.11,6.12,2680.0
2015-02-11,6.2,6.24,6.1,6.19,11800.0
2015-02-12,6.19,6.36,6.19,6.3,319200.0
2015-02-13,6.35,6.47,6.35,6.42,5860.0
2015-02-16,6.45,6.59,6.32,6.55,19640.0
2015-02-17,6.52,6.53,6.42,6.49,6930.0
2015-02-18,6.47,6.5,6.37,6.45,63710.0
2015-02-19,6.46,6.46,6.31,6.4,4830.0
2015-02-20,6.46,6.47,6.45,6.45,54430.0
2015-02-23,6.5,6.5,6.38,6.45,16880.0
2015-02-24,6.49,6.69,6.4,6.45,107570.0
2015-02-25,6.46,7.05,6.46,7.05,263180.0
2015-02-26,6.98,7.45,6.8,7.29,467680.0
2015-02-27,7.49,7.83,7.4,7.8,529110.0
2015-03-02,7.8,7.91,7.71,7.9,199290.0
2015-03-03,7.98,8.15,7.92,8.12,176870.0
2015-03-04,8.03,8.1,7.76,8.05,88090.0
2015-03-05,8.01,8.2,7.93,8.0,94100.0
2015-03-06,8.01,8.2,8.01,8.11,49850.0
2015-03-09,8.12,8.15,8.0,8.1,49880.0
2015-03-10,8.09,8.1,7.52,7.77,96150.0
2015-03-11,7.72,8.04,7.72,8.0,87670.0
2015-03-12,7.96,8.05,7.96,8.0,213620.0
2015-03-13,7.85,8.05,7.8,7.81,152080.0
