Date,Open,High,Low,Close,Volume
2018-07-27,17.5,17.5,16.68,17.47,170.0
2018-07-30,17.47,17.47,16.21,17.47,810.0
2018-07-31,16.98,16.98,16.2,16.2,1170.0
2018-08-01,16.9,16.97,16.9,16.97,8920.0
2018-08-02,17.0,17.0,17.0,17.0,20.0
2018-08-03,17.47,17.47,16.0,17.47,5400.0
2018-08-06,17.47,17.47,16.3,17.47,5050.0
2018-08-07,17.47,17.47,16.99,17.47,25640.0
2018-08-08,17.47,17.47,17.47,17.47,0.0
2018-08-09,17.47,17.47,17.47,17.47,0.0
2018-08-10,17.47,17.47,17.47,17.47,0.0
2018-08-13,17.47,17.47,17.47,17.47,0.0
2018-08-14,17.47,17.47,16.7,17.45,400.0
2018-08-16,17.44,17.44,17.44,17.44,0.0
2018-08-17,17.44,17.44,17.44,17.44,0.0
2018-08-20,17.44,17.44,16.3,17.0,20.0
2018-08-21,17.44,17.44,17.44,17.44,0.0
2018-08-22,17.44,17.44,17.44,17.44,0.0
2018-08-23,17.44,17.44,17.44,17.44,0.0
2018-08-24,17.44,17.44,16.0,17.3,620.0
2018-08-27,17.44,17.44,17.44,17.44,0.0
2018-08-28,17.44,17.44,17.44,17.44,0.0
2018-08-29,17.44,17.44,16.1,17.2,580.0
2018-08-30,17.4,17.4,16.6,16.6,380.0
2018-08-31,17.4,17.4,16.7,17.1,910.0
2018-09-03,17.4,17.4,17.05,17.4,40.0
2018-09-04,17.4,17.45,17.12,17.45,230.0
2018-09-05,17.45,17.5,17.15,17.3,760.0
2018-09-07,17.5,17.5,17.4,17.4,480.0
2018-09-10,17.2,17.2,17.2,17.2,10.0
2018-09-11,17.2,17.2,17.2,17.2,0.0
2018-09-12,17.2,17.2,17.2,17.2,0.0
2018-09-13,17.2,17.2,17.2,17.2,0.0
2018-09-14,17.2,17.2,17.2,17.2,0.0
2018-09-17,17.1,17.1,16.4,17.1,370.0
2018-09-18,17.1,17.1,17.1,17.1,0.0
2018-09-19,17.0,17.0,17.0,17.0,0.0
2018-09-20,17.0,17.0,17.0,17.0,0.0
2018-09-21,17.1,17.1,15.88,16.8,1220.0
2018-09-24,16.8,16.8,16.8,16.8,0.0
2018-09-25,16.8,16.8,16.3,16.3,730.0
2018-09-26,16.8,16.8,15.9,16.8,20.0
2018-09-27,16.8,16.8,16.8,16.8,0.0
2018-09-28,16.8,16.8,16.8,16.8,0.0
2018-10-01,16.8,16.8,16.4,16.8,550.0
2018-10-02,16.8,17.1,16.8,17.1,3320.0
2018-10-03,17.1,17.2,17.09,17.09,2550.0
2018-10-04,16.99,17.0,16.21,17.0,1020.0
2018-10-05,17.0,17.0,17.0,17.0,0.0
2018-10-08,17.0,17.01,17.0,17.01,0.0
2018-10-09,16.25,16.9,16.25,16.9,210.0
2018-10-10,16.9,16.9,16.9,16.9,0.0
2018-10-11,16.9,17.0,16.9,17.0,0.0
2018-10-12,17.0,17.0,17.0,17.0,0.0
2018-10-15,17.0,17.0,17.0,17.0,0.0
2018-10-16,17.0,17.0,17.0,17.0,0.0
2018-10-17,17.0,17.0,17.0,17.0,0.0
2018-10-18,17.0,17.0,17.0,17.0,0.0
2018-10-19,17.0,17.0,17.0,17.0,0.0
2018-10-22,17.0,17.0,17.0,17.0,0.0
2018-10-23,16.5,17.0,16.5,17.0,190.0
2018-10-24,17.0,17.0,16.0,17.0,280.0
2018-10-25,17.0,17.0,16.21,17.0,550.0
2018-10-26,17.0,17.0,17.0,17.0,0.0
2018-10-30,17.0,17.0,17.0,17.0,0.0
2018-10-31,17.0,17.0,17.0,17.0,0.0
2018-11-02,17.0,17.0,17.0,17.0,0.0
2018-11-05,17.0,17.0,17.0,17.0,0.0
2018-11-06,17.0,17.0,17.0,17.0,0.0
2018-11-07,17.0,17.0,17.0,17.0,0.0
2018-11-08,17.0,17.0,17.0,17.0,0.0
2018-11-09,17.0,17.0,17.0,17.0,0.0
2018-11-13,17.0,17.0,17.0,17.0,10.0
2018-11-14,17.0,17.0,17.0,17.0,10.0
2018-11-15,17.0,17.0,17.0,17.0,0.0
2018-11-16,17.0,17.0,17.0,17.0,10.0
2018-11-19,17.0,17.0,17.0,17.0,10.0
2018-11-20,17.0,17.0,17.0,17.0,10.0
2018-11-21,17.0,17.0,17.0,17.0,10.0
2018-11-22,17.0,17.0,17.0,17.0,0.0
2018-11-23,17.0,17.0,15.3,17.0,400.0
2018-11-26,17.0,17.0,17.0,17.0,0.0
2018-11-27,17.0,17.0,17.0,17.0,0.0
2018-11-28,17.0,17.0,17.0,17.0,0.0
2018-11-29,17.0,17.0,17.0,17.0,0.0
2018-11-30,17.0,17.0,17.0,17.0,0.0
2018-12-03,17.0,17.0,17.0,17.0,0.0
2018-12-04,17.0,17.0,17.0,17.0,0.0
2018-12-05,17.0,17.0,17.0,17.0,10.0
2018-12-06,17.0,17.0,17.0,17.0,10.0
2018-12-07,17.0,17.0,17.0,17.0,0.0
2018-12-10,17.0,17.0,17.0,17.0,10.0
2018-12-11,17.0,17.0,16.5,16.5,60.0
2018-12-12,16.5,16.5,16.5,16.5,0.0
2018-12-13,17.0,17.0,15.78,17.0,60.0
2018-12-14,17.0,17.0,17.0,17.0,0.0
2018-12-18,16.52,17.0,16.52,17.0,490.0
2018-12-20,16.9,16.9,16.1,16.5,1360.0
