Date,Open,High,Low,Close,Volume
2014-09-01,1.57,1.65,1.57,1.64,83990.0
2014-09-02,1.69,1.79,1.63,1.7,20250.0
2014-09-03,1.7,1.7,1.67,1.69,1450.0
2014-09-04,1.69,1.7,1.64,1.7,1550.0
2014-09-05,1.7,1.72,1.7,1.71,5100.0
2014-09-08,1.72,1.78,1.72,1.75,11210.0
2014-09-09,1.75,1.8,1.74,1.77,21220.0
2014-09-10,1.77,1.91,1.74,1.9,80640.0
2014-09-11,1.9,1.9,1.81,1.82,11050.0
2014-09-12,1.87,1.87,1.74,1.74,3080.0
2014-09-15,1.85,1.85,1.72,1.83,5720.0
2014-09-16,1.84,1.87,1.71,1.74,27530.0
2014-09-17,1.75,1.8,1.72,1.79,5190.0
2014-09-18,1.79,1.79,1.71,1.75,3020.0
2014-09-19,1.75,1.75,1.74,1.74,1810.0
2014-09-22,1.74,1.74,1.69,1.69,20370.0
2014-09-23,1.7,1.74,1.7,1.71,1940.0
2014-09-24,1.71,1.72,1.71,1.72,300.0
2014-09-25,1.69,1.73,1.67,1.73,930.0
2014-09-26,1.73,1.73,1.71,1.71,3110.0
2014-09-29,1.74,1.74,1.67,1.73,220.0
2014-09-30,1.71,1.73,1.71,1.73,910.0
2014-10-01,1.73,1.73,1.69,1.72,940.0
2014-10-02,1.69,1.73,1.67,1.73,6510.0
2014-10-03,1.74,1.74,1.68,1.72,6280.0
2014-10-06,1.72,1.72,1.67,1.67,1600.0
2014-10-07,1.65,1.75,1.6,1.75,19420.0
2014-10-08,1.73,1.73,1.73,1.73,1400.0
2014-10-09,1.75,1.78,1.73,1.73,480.0
2014-10-10,1.68,1.73,1.68,1.7,650.0
2014-10-13,1.75,1.75,1.75,1.75,440.0
2014-10-15,1.75,1.75,1.64,1.73,460.0
2014-10-20,1.65,1.69,1.62,1.62,1060.0
2014-10-21,1.63,1.65,1.6,1.65,8970.0
2014-10-22,1.61,1.61,1.58,1.6,7150.0
2014-10-23,1.59,1.6,1.58,1.6,3850.0
2014-10-24,1.66,1.69,1.61,1.61,760.0
2014-10-27,1.63,1.63,1.56,1.56,4590.0
2014-10-28,1.56,1.61,1.56,1.61,7390.0
2014-10-29,1.63,1.63,1.6,1.63,3010.0
2014-10-30,1.62,1.63,1.62,1.63,1300.0
2014-10-31,1.64,1.64,1.6,1.6,3750.0
2014-11-03,1.63,1.63,1.6,1.63,5730.0
2014-11-04,1.57,1.63,1.57,1.62,1090.0
2014-11-05,1.6,1.6,1.59,1.59,3370.0
2014-11-06,1.56,1.56,1.53,1.54,23030.0
2014-11-07,1.54,1.54,1.53,1.53,4940.0
2014-11-10,1.53,1.55,1.53,1.55,500.0
2014-11-12,1.53,1.53,1.51,1.51,4430.0
2014-11-13,1.52,1.52,1.49,1.51,4820.0
2014-11-14,1.55,1.61,1.55,1.6,74160.0
2014-11-17,1.61,1.64,1.59,1.6,54300.0
2014-11-18,1.56,1.62,1.56,1.58,45610.0
2014-11-19,1.6,1.6,1.55,1.6,4220.0
2014-11-21,1.6,1.6,1.54,1.57,18210.0
2014-11-24,1.56,1.56,1.56,1.56,1050.0
2014-11-25,1.55,1.55,1.51,1.51,5970.0
2014-11-26,1.53,1.53,1.47,1.48,19970.0
2014-11-27,1.5,1.5,1.45,1.47,19250.0
2014-11-28,1.5,1.5,1.5,1.5,20.0
2014-12-01,1.48,1.48,1.44,1.46,7800.0
2014-12-02,1.48,1.5,1.44,1.48,6250.0
2014-12-03,1.5,1.5,1.5,1.5,10.0
2014-12-04,1.5,1.54,1.48,1.54,10450.0
2014-12-05,1.54,1.54,1.54,1.54,0.0
2014-12-08,1.53,1.53,1.44,1.48,13220.0
2014-12-09,1.45,1.48,1.44,1.48,5040.0
2014-12-10,1.45,1.48,1.44,1.48,2480.0
2014-12-11,1.42,1.45,1.39,1.45,12890.0
2014-12-12,1.4,1.44,1.4,1.42,6090.0
2014-12-15,1.39,1.39,1.33,1.35,9050.0
2014-12-16,1.35,1.41,1.31,1.31,11900.0
2014-12-17,1.35,1.4,1.33,1.4,14360.0
2014-12-18,1.4,1.5,1.4,1.46,8550.0
2014-12-19,1.46,1.49,1.37,1.46,5040.0
2014-12-22,1.47,1.47,1.35,1.44,2730.0
2014-12-23,1.44,1.44,1.35,1.4,60910.0
2014-12-29,1.37,1.4,1.37,1.4,11050.0
2014-12-30,1.4,1.4,1.35,1.4,8370.0
2015-01-02,1.34,1.49,1.34,1.48,6060.0
2015-01-05,1.46,1.53,1.46,1.52,16690.0
2015-01-07,1.53,1.58,1.5,1.58,11280.0
