company,ticker,isin
Alior Bank SA,KRC,
Allegro.eu S.A.,KRC,
Bank Pekao SA,PRT,
Budimex SA,PRT,
CCC SA,,
CD Projekt SA,,
Dino Polska SA,,
Grupa Kęty SA,,
KGHM Polska Miedź SA,,
Kruk SA,,
LPP SA,,
Orange Polska SA,,
Orlen SA,,
PGE SA,,
PKO BP SA,,
PZU SA,,
Pepco Group NV,,
Santander Bank Polska SA,,
Zabka Group SA (Żabka),,
mBank SA,,
11 bit studios SA,,
AB SA,,
ASBISc Enterprises plc,,
AmRest Holdings SE,,
Asseco Poland SA,,
Asseco SEE SA,,
Auto Partner SA,,
BNP Paribas Bank Polska SA,,
Bank Handlowy w Warszawie SA,,
Bank Millennium SA,,
Benefit Systems SA,,
Cyber_Folks SA,,
Cyfrowy Polsat SA,,
Develia SA,,
Diagnostyka SA,,
Dom Development SA,,
Enea SA,,
Eurocash SA,,
GPW SA,,
Grupa Azoty SA,,
Grupa Pracuj SA,,
"Huuuge, Inc.",,
ING Bank Śląski SA,,
Inter Cars SA,,
JSW  SA,,
Lubawa SA,,
Mirbud SA,,
Mo-Bruk SA,,
Neuca SA,,
Newag SA,,
Polenergia SA,,
Rainbow Tours SA,,
Synektik SA,,
Tauron PE SA,,
Ten Square Games SA,,
Text SA,,
Vercom SA,,
Voxel SA,,
WP Holding SA,,
XTB SA,,
AC SA,,
Agora SA,,
Ailleron SA,,
Ambra SA,,
Amica SA,,
Apator SA,,
Archicom SA,,
Arctic Paper SA,,
Asseco BS SA,,
Astarta Holding PLC,,
Atal SA,,
BOŚ SA,,
Bioceltix SA,,
Bioton SA,,
Bloober Team SA,,
Boryszew SA,,
Bumech SA,,
CI Games SE,,
Captor Therapeutics SA,,
Celon Pharma SA,,
Cognor Holding SA,,
Columbus Energy SA,,
Comp SA,,
Creepy Jar SA,,
Creotech Instruments SA,,
Dadelo SA,,
DataWalk SA,,
Decora SA,,
Echo Investment SA,,
Elektrotim SA,,
Enter Air SA,,
Erbud SA,,
Fabryki Mebli Forte SA,,
Ferro SA,,
GreenX Metals Ltd.,,
Grenevia SA,,
Kogeneracja SA,,
LW Bogdanka SA,,
MCI Capital ASI SA,,
ML System SA,,
Mabion SA,,
Medicalgorithmics SA,,
Mennica Polska SA,,
Mercator Medical SA,,
Mercor SA,,
Molecure SA,,
Mostostal Zabrze SA,,
Murapol SA,,
Onde SA,,
Oponeo.pl SA,,
PCC Rokita SA,,
Pekabex SA,,
PlayWay SA,,
Polimex Mostostal SA,,
Quercus TFI SA,,
Rank Progress SA,,
Ryvu Therapeutics SA,,
Sanok Rubber Company SA,,
Scope Fluidics SA,,
Selena FM SA,,
Selvita SA,,
Shoper SA,,
Stalexport Autostrady SA,,
Stalprodukt SA,,
Sygnity SA,,
Synthaverse SA,,
Tarczyński SA,,
Torpol SA,,
Toya SA,,
Unibep SA,,
Unimot SA,,
VRG SA,,
Vigo Photonics SA,,
Votum SA,,
Wawel SA,,
Wielton SA,,
Wittchen SA,,
XTPL SA,,
ZE PAK SA,,
Śnieżka SA,,
