k,coef,std_err,ci_lower,ci_upper,p_value,n_obs
-9,-3.7130456982432626e-06,2.5105883349469117e-06,-8.633708414745592e-06,1.207617018259066e-06,0.13915249895407258,18
-8,-4.166599736725261e-06,2.444309254021293e-06,-8.957357841684962e-06,6.241583682344397e-07,0.08826674687631837,18
-7,-3.594818205897845e-06,1.906604562437436e-06,-7.331694481034968e-06,1.4205806923927847e-07,0.05936835657561386,18
-6,-4.773715963315755e-06,2.261081747373584e-06,-9.205354754268873e-06,-3.4207717236263795e-07,0.03475055854568492,19
-5,-4.443300556246148e-06,4.348341907437199e-06,-1.296589408728926e-05,4.079292974796963e-06,0.3068576288730197,20
-4,5.684714826882604e-06,6.635978454902389e-06,-7.321563946909833e-06,1.8690993600675043e-05,0.39163802042061324,20
-3,-7.817990993634264e-08,2.9056928952619154e-06,-5.773233334783612e-06,5.616873514910927e-06,0.9785348899613162,20
-2,-2.9173982803778605e-06,2.382557465327238e-06,-7.587125103516286e-06,1.752328542760565e-06,0.22077052370290806,19
-1,0.0,0.0,0.0,0.0,,19
0,-2.2452801566495658e-06,1.3781696574024283e-06,-4.946443049744231e-06,4.5588273644509866e-07,0.10327588480890258,20
1,-3.30585483872018e-06,1.9521658346004422e-06,-7.1320295663866235e-06,5.203198889462633e-07,0.0903737801372848,20
2,-3.6803970679640764e-07,2.2180823823323273e-06,-4.7154012909105714e-06,3.979321877317756e-06,0.8682144163523291,19
3,-2.92471489811242e-06,2.0530589396669623e-06,-6.948636477997658e-06,1.0992066817728176e-06,0.15428312566894703,18
4,-6.443323302566086e-06,4.531020534375707e-06,-1.5323960363153902e-05,2.4373137580217286e-06,0.15501266199620795,17
5,-2.2198126662347763e-06,2.1061000558837086e-06,-6.347692923604641e-06,1.908067591135088e-06,0.29188656761582776,17
6,-4.788185867650527e-06,2.472117028527685e-06,-9.633446209132967e-06,5.707447383191245e-08,0.05276041748085719,17
7,-5.070891842058482e-06,3.5965110306689114e-06,-1.2119923932170579e-05,1.978140248053614e-06,0.15855517684933707,17
8,-3.4771438141034422e-06,3.392926113838914e-06,-1.0127156799433162e-05,3.172869171226277e-06,0.30544739408359156,17
9,-2.8579157891675823e-06,2.0397300436959358e-06,-6.8557132129959264e-06,1.1398816346607623e-06,0.16117683883421519,17
