company,ticker,isin,announcement_url,announcement_date,join_date,effective_date,snippet,source
Alior Bank SA,KRC,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Alior Bank SA,KRC,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Allegro.eu S.A.,KRC,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Allegro.eu S.A.,KRC,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Bank Pekao SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Bank Pekao SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Budimex SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Budimex SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
CCC SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
CCC SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
CD Projekt SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
CD Projekt SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Dino Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Dino Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Grupa Kęty SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Grupa Kęty SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
KGHM Polska Miedź SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
KGHM Polska Miedź SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Kruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Kruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
LPP SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
LPP SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Orange Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Orange Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Orlen SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Orlen SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
PGE SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
PGE SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
PKO BP SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
PKO BP SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
PZU SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
PZU SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Pepco Group NV,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Pepco Group NV,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Santander Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Santander Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Zabka Group SA (Żabka),,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Zabka Group SA (Żabka),,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
mBank SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
mBank SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
11 bit studios SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
11 bit studios SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
AB SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
AB SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
ASBISc Enterprises plc,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
ASBISc Enterprises plc,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
AmRest Holdings SE,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
AmRest Holdings SE,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Asseco Poland SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Asseco Poland SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Asseco SEE SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Asseco SEE SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Auto Partner SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Auto Partner SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
BNP Paribas Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
BNP Paribas Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Bank Handlowy w Warszawie SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Bank Handlowy w Warszawie SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Bank Millennium SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Bank Millennium SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Benefit Systems SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Benefit Systems SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Cyber_Folks SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Cyber_Folks SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Cyfrowy Polsat SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Cyfrowy Polsat SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Develia SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Develia SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Diagnostyka SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Diagnostyka SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Dom Development SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Dom Development SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Enea SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Enea SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Eurocash SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Eurocash SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
GPW SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
GPW SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci2,,,,Program wspierania płynności,GPW
ING Bank Śląski SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,,,,Program Wspierania Płynności,GPW
