company,ticker,isin,announcement_url,source,t0_announcement,t0_effective
Alior Bank SA,KRC,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Alior Bank SA,KRC,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Allegro.eu S.A.,KRC,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Allegro.eu S.A.,KRC,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Bank Pekao SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Bank Pekao SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Budimex SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Budimex SA,PRT,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
CCC SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
CCC SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
CD Projekt SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
CD Projekt SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Dino Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Dino Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Grupa Kęty SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Grupa Kęty SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
KGHM Polska Miedź SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
KGHM Polska Miedź SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Kruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Kruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
LPP SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
LPP SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Orange Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Orange Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Orlen SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Orlen SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
PGE SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
PGE SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
PKO BP SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
PKO BP SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
PZU SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
PZU SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Pepco Group NV,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Pepco Group NV,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Santander Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Santander Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Zabka Group SA (Żabka),,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Zabka Group SA (Żabka),,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
mBank SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
mBank SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
11 bit studios SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
11 bit studios SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
AB SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
AB SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
ASBISc Enterprises plc,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
ASBISc Enterprises plc,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
AmRest Holdings SE,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
AmRest Holdings SE,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Asseco Poland SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Asseco Poland SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Asseco SEE SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Asseco SEE SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Auto Partner SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Auto Partner SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
BNP Paribas Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
BNP Paribas Bank Polska SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Bank Handlowy w Warszawie SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Bank Handlowy w Warszawie SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Bank Millennium SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Bank Millennium SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Benefit Systems SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Benefit Systems SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Cyber_Folks SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Cyber_Folks SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Cyfrowy Polsat SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Cyfrowy Polsat SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Develia SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Develia SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Diagnostyka SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Diagnostyka SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Dom Development SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Dom Development SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Enea SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Enea SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Eurocash SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Eurocash SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
GPW SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
GPW SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Grupa Azoty SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Grupa Pracuj SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
"Huuuge, Inc.",,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
ING Bank Śląski SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
ING Bank Śląski SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Inter Cars SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Inter Cars SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
JSW  SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
JSW  SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Lubawa SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Lubawa SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mirbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mirbud SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Mo-Bruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Mo-Bruk SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Neuca SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Neuca SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Newag SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Newag SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Polenergia SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Polenergia SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Rainbow Tours SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Rainbow Tours SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
Synektik SA,,,https://www.gpw.pl/program-wspierania-plynnosci-notowania,GPW,,
Synektik SA,,,https://www.gpw.pl/program-wspierania-plynnosci2,GPW,,
