"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","0.1700","0.1700","0.1700","0.1700","0.99K","4.94%"
"29/09/2025","0.1620","0.1700","0.1700","0.1620","0.46K","-4.71%"
"25/09/2025","0.1700","0.1700","0.1700","0.1700","2.00K","0.00%"
"24/09/2025","0.1700","0.1700","0.1700","0.1700","16.19K","0.00%"
"23/09/2025","0.1700","0.1700","0.1700","0.1700","79.32K","8.28%"
"22/09/2025","0.1570","0.1570","0.1570","0.1570","9.15K","-3.68%"
"18/09/2025","0.1630","0.1570","0.1630","0.1570","7.80K","0.00%"
"17/09/2025","0.1630","0.1630","0.1630","0.1630","0.50K","0.00%"
"16/09/2025","0.1630","0.1630","0.1630","0.1630","22.62K","5.16%"
"15/09/2025","0.1550","0.1550","0.1550","0.1550","53.20K","0.00%"
"12/09/2025","0.1550","0.1610","0.1610","0.1550","41.22K","-3.73%"
"11/09/2025","0.1610","0.1610","0.1610","0.1610","17.33K","-0.62%"
"08/09/2025","0.1620","0.1620","0.1620","0.1620","0.82K","-0.61%"
"05/09/2025","0.1630","0.1630","0.1630","0.1630","0.24K","5.16%"
"04/09/2025","0.1550","0.1550","0.1550","0.1550","1.00K","-4.91%"
"03/09/2025","0.1630","0.1640","0.1640","0.1630","5.65K","-0.61%"
"02/09/2025","0.1640","0.1640","0.1640","0.1640","0.01K","6.49%"
"01/09/2025","0.1540","0.1530","0.1540","0.1530","4.00K","-5.52%"
"29/08/2025","0.1630","0.1630","0.1630","0.1630","0.31K","-0.61%"
"28/08/2025","0.1640","0.1640","0.1640","0.1640","5.00K","0.00%"
"27/08/2025","0.1640","0.1640","0.1640","0.1640","2.34K","5.81%"
"26/08/2025","0.1550","0.1540","0.1550","0.1540","2.96K","-4.91%"
"19/08/2025","0.1630","0.1630","0.1630","0.1630","1.00K","0.00%"
"18/08/2025","0.1630","0.1520","0.1630","0.1520","4.98K","0.00%"
"13/08/2025","0.1630","0.1510","0.1630","0.1510","12.01K","0.62%"
"12/08/2025","0.1620","0.1500","0.1620","0.1500","61.00K","-0.61%"
"11/08/2025","0.1630","0.1630","0.1630","0.1630","0.11K","0.00%"
"08/08/2025","0.1630","0.1630","0.1630","0.1630","1.00K","-0.61%"
"05/08/2025","0.1640","0.1640","0.1640","0.1640","0.95K","0.61%"
"01/08/2025","0.1630","0.1510","0.1630","0.1510","20.01K","-0.61%"
"31/07/2025","0.1640","0.1530","0.1640","0.1530","2.01K","7.89%"
"30/07/2025","0.1520","0.1520","0.1520","0.1520","10.00K","0.00%"
"29/07/2025","0.1520","0.1520","0.1520","0.1520","10.00K","-7.32%"
"28/07/2025","0.1640","0.1640","0.1640","0.1640","3.60K","0.00%"
"25/07/2025","0.1640","0.1640","0.1640","0.1640","1.83K","0.00%"
"23/07/2025","0.1640","0.1590","0.1640","0.1590","7.71K","3.14%"
"22/07/2025","0.1590","0.1590","0.1590","0.1590","3.00K","0.00%"
"21/07/2025","0.1590","0.1520","0.1590","0.1520","12.60K","-1.85%"
"18/07/2025","0.1620","0.1620","0.1620","0.1620","4.00K","-1.22%"
"17/07/2025","0.1640","0.1510","0.1640","0.1510","2.30K","-0.61%"
"16/07/2025","0.1650","0.1650","0.1650","0.1650","6.00K","-1.20%"
"15/07/2025","0.1670","0.1680","0.1680","0.1670","12.39K","12.08%"
"14/07/2025","0.1490","0.1480","0.1490","0.1480","24.93K","0.00%"
"11/07/2025","0.1490","0.1490","0.1490","0.1490","29.62K","-1.32%"
"10/07/2025","0.1510","0.1490","0.1510","0.1490","20.00K","-2.58%"
"09/07/2025","0.1550","0.1540","0.1550","0.1540","121.18K","-8.28%"
"04/07/2025","0.1690","0.1690","0.1690","0.1690","17.19K","5.63%"
"03/07/2025","0.1600","0.1600","0.1600","0.1600","29.00K","-5.88%"
"02/07/2025","0.1700","0.1700","0.1700","0.1700","1.04K","6.25%"
"01/07/2025","0.1600","0.1660","0.1660","0.1600","24.94K","-3.61%"
"30/06/2025","0.1660","0.1660","0.1660","0.1660","9.06K","0.00%"
"25/06/2025","0.1660","0.1660","0.1660","0.1660","12.05K","-2.35%"
"23/06/2025","0.1700","0.1700","0.1700","0.1700","5.88K","0.00%"
"20/06/2025","0.1700","0.1700","0.1700","0.1700","0.30K","0.59%"
"18/06/2025","0.1690","0.1690","0.1690","0.1690","6.91K","0.00%"
"17/06/2025","0.1690","0.1690","0.1690","0.1690","5.09K","0.00%"
"16/06/2025","0.1690","0.1690","0.1690","0.1690","0.16K","0.00%"
"13/06/2025","0.1690","0.1690","0.1690","0.1690","0.07K","-0.59%"
"12/06/2025","0.1700","0.1700","0.1700","0.1700","2.00K","0.00%"
"11/06/2025","0.1700","0.1700","0.1700","0.1700","4.00K","0.00%"
"09/06/2025","0.1700","0.1700","0.1700","0.1700","3.03K","0.00%"
"06/06/2025","0.1700","0.1690","0.1700","0.1690","26.83K","0.59%"
"05/06/2025","0.1690","0.1660","0.1690","0.1660","5.88K","2.42%"
"04/06/2025","0.1650","0.1650","0.1650","0.1650","7.65K","0.00%"
"03/06/2025","0.1650","0.1650","0.1650","0.1650","0.22K","0.00%"
"02/06/2025","0.1650","0.1660","0.1660","0.1650","6.82K","-0.60%"
"29/05/2025","0.1660","0.1670","0.1670","0.1660","15.00K","-1.78%"
"28/05/2025","0.1690","0.1690","0.1690","0.1690","0.80K","0.00%"
"26/05/2025","0.1690","0.1690","0.1690","0.1690","0.14K","-0.59%"
"22/05/2025","0.1700","0.1700","0.1700","0.1700","12.65K","0.59%"
"21/05/2025","0.1690","0.1630","0.1690","0.1630","28.80K","-0.59%"
"20/05/2025","0.1700","0.1700","0.1700","0.1700","14.38K","0.00%"
"19/05/2025","0.1700","0.1700","0.1700","0.1700","20.43K","0.00%"
"16/05/2025","0.1700","0.1700","0.1700","0.1700","36.00K","0.00%"
"15/05/2025","0.1700","0.1700","0.1700","0.1700","13.00K","0.00%"
"14/05/2025","0.1700","0.1700","0.1700","0.1700","11.00K","0.00%"
"13/05/2025","0.1700","0.1700","0.1700","0.1700","34.06K","0.00%"
"12/05/2025","0.1700","0.1700","0.1700","0.1700","186.20K","0.00%"
"09/05/2025","0.1700","0.1670","0.1700","0.1670","91.63K","4.94%"
"08/05/2025","0.1620","0.1620","0.1620","0.1620","66.80K","2.53%"
"07/05/2025","0.1580","0.1670","0.1670","0.1580","6.10K","-5.39%"
