"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","3.90","3.90","3.90","3.90","0.27K","-3.94%"
"29/09/2025","4.06","4.06","4.06","4.06","0.00K","4.10%"
"26/09/2025","3.90","3.90","3.90","3.90","2.54K","0.00%"
"25/09/2025","3.90","4.08","4.08","3.90","0.10K","-4.41%"
"24/09/2025","4.08","4.10","4.10","4.00","1.63K","3.55%"
"23/09/2025","3.94","3.96","3.96","3.90","2.02K","-1.01%"
"22/09/2025","3.98","4.10","4.10","3.92","4.60K","-2.93%"
"19/09/2025","4.10","3.98","4.10","3.98","4.84K","2.50%"
"18/09/2025","4.00","4.00","4.00","4.00","0.00K","0.00%"
"17/09/2025","4.00","4.00","4.00","3.88","0.03K","0.00%"
"16/09/2025","4.00","4.00","4.00","3.90","0.56K","0.00%"
"15/09/2025","4.00","4.00","4.00","3.90","1.87K","0.00%"
"12/09/2025","4.00","4.00","4.00","4.00","0.00K","0.00%"
"11/09/2025","4.00","4.00","4.00","4.00","0.00K","0.00%"
"10/09/2025","4.00","4.00","4.00","3.82","2.92K","0.00%"
"09/09/2025","4.00","4.00","4.00","3.90","3.60K","0.00%"
"08/09/2025","4.00","4.00","4.00","4.00","0.00K","0.00%"
"05/09/2025","4.00","4.00","4.00","4.00","0.01K","-1.96%"
"04/09/2025","4.08","3.90","4.08","3.90","0.00K","4.62%"
"03/09/2025","3.90","3.90","3.90","3.90","0.35K","0.00%"
"02/09/2025","3.90","4.10","4.10","3.90","2.20K","-1.02%"
"01/09/2025","3.94","4.00","4.00","3.90","4.09K","-3.90%"
"29/08/2025","4.10","4.08","4.10","4.00","2.31K","2.50%"
"28/08/2025","4.00","4.10","4.10","3.92","6.08K","-2.44%"
"27/08/2025","4.10","4.10","4.10","4.06","2.00K","0.00%"
"26/08/2025","4.10","4.16","4.16","3.90","0.30K","4.06%"
"25/08/2025","3.94","3.94","3.94","3.90","1.57K","0.00%"
"21/08/2025","3.94","3.94","3.94","3.94","0.33K","0.00%"
"20/08/2025","3.94","3.94","3.94","3.94","2.30K","0.00%"
"19/08/2025","3.94","4.16","4.16","3.94","0.25K","0.00%"
"18/08/2025","3.94","4.16","4.16","3.94","2.50K","-1.50%"
"14/08/2025","4.00","3.94","4.00","3.94","0.20K","1.52%"
"13/08/2025","3.94","3.92","3.94","3.92","0.86K","-0.51%"
"12/08/2025","3.96","4.10","4.10","3.96","1.24K","-2.46%"
"11/08/2025","4.06","4.02","4.14","3.94","4.44K","1.00%"
"08/08/2025","4.02","4.04","4.20","3.92","16.51K","1.52%"
"07/08/2025","3.96","4.00","4.00","3.96","0.00K","-1.00%"
"06/08/2025","4.00","4.00","4.00","4.00","0.65K","-0.99%"
"05/08/2025","4.04","4.04","4.04","4.04","0.00K","0.00%"
"04/08/2025","4.04","4.04","4.04","3.96","1.22K","1.00%"
"01/08/2025","4.00","4.00","4.00","4.00","0.00K","0.00%"
"31/07/2025","4.00","4.00","4.00","4.00","0.00K","2.04%"
"30/07/2025","3.92","4.00","4.00","3.92","0.05K","-0.51%"
"29/07/2025","3.94","3.94","3.94","3.94","0.23K","0.00%"
"28/07/2025","3.94","3.94","3.94","3.92","0.52K","-0.51%"
"25/07/2025","3.96","3.96","3.96","3.96","0.31K","0.00%"
"24/07/2025","3.96","3.96","3.96","3.92","0.81K","-0.50%"
"23/07/2025","3.98","3.96","4.32","3.94","8.77K","0.51%"
"22/07/2025","3.96","4.00","4.00","3.96","1.42K","-1.00%"
"21/07/2025","4.00","3.96","4.00","3.96","9.63K","0.00%"
"18/07/2025","4.00","4.00","4.00","3.96","6.74K","0.00%"
"17/07/2025","4.00","4.84","5.20","3.94","37.26K","-17.70%"
"16/07/2025","4.86","5.95","5.95","4.86","12.25K","-12.43%"
"15/07/2025","5.55","5.25","5.55","5.25","0.50K","2.78%"
"14/07/2025","5.40","5.75","5.75","5.40","1.01K","-6.09%"
"11/07/2025","5.75","5.75","5.75","5.40","0.21K","0.00%"
"10/07/2025","5.75","5.75","5.75","5.25","0.01K","0.00%"
"09/07/2025","5.75","5.75","5.75","5.25","1.30K","0.00%"
"08/07/2025","5.75","5.80","5.80","5.75","0.12K","-0.86%"
"07/07/2025","5.80","5.80","5.80","5.75","0.01K","-2.52%"
"04/07/2025","5.95","5.80","5.95","5.80","0.14K","2.59%"
"03/07/2025","5.80","5.60","5.80","5.45","0.04K","0.00%"
"02/07/2025","5.80","5.80","5.80","5.80","0.00K","0.00%"
"01/07/2025","5.80","5.80","5.80","5.65","0.36K","0.00%"
"30/06/2025","5.80","5.50","5.80","5.50","1.98K","3.57%"
"27/06/2025","5.60","5.60","5.60","5.60","0.00K","0.00%"
"26/06/2025","5.60","5.60","5.60","5.30","0.32K","0.00%"
"25/06/2025","5.60","5.60","5.60","5.60","0.00K","0.00%"
"24/06/2025","5.60","5.60","5.60","5.60","0.00K","0.00%"
"23/06/2025","5.60","5.60","5.60","5.60","0.30K","0.00%"
"20/06/2025","5.60","5.80","5.80","5.60","1.50K","-3.45%"
"18/06/2025","5.80","5.80","5.80","5.55","2.00K","0.00%"
"17/06/2025","5.80","5.95","5.95","5.40","4.24K","2.65%"
"16/06/2025","5.65","6.10","6.10","5.65","0.00K","-7.38%"
"13/06/2025","6.10","5.40","6.10","5.40","0.70K","6.09%"
"12/06/2025","5.75","5.50","5.75","5.50","0.03K","3.60%"
"11/06/2025","5.55","5.50","5.70","5.50","0.02K","0.91%"
"10/06/2025","5.50","6.10","6.10","5.50","2.20K","-2.65%"
"09/06/2025","5.65","6.10","6.10","5.65","0.50K","-6.61%"
"06/06/2025","6.05","6.05","6.05","6.05","0.00K","0.00%"
"05/06/2025","6.05","6.05","6.05","6.05","0.00K","0.00%"
"04/06/2025","6.05","6.05","6.05","6.05","0.00K","0.00%"
"03/06/2025","6.05","6.05","6.05","6.05","0.01K","0.00%"
"02/06/2025","6.05","6.05","6.05","6.05","0.00K","0.00%"
"30/05/2025","6.05","6.05","6.05","6.05","0.00K","0.00%"
"29/05/2025","6.05","5.70","6.05","5.55","3.38K","6.14%"
"28/05/2025","5.70","6.20","6.20","5.65","3.68K","-5.00%"
"27/05/2025","6.00","5.75","6.20","5.45","6.23K","10.09%"
