"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","12.05","13.20","13.20","11.90","167.09K","-7.31%"
"29/09/2025","13.00","12.10","13.50","12.00","108.39K","11.11%"
"26/09/2025","11.70","11.75","11.75","11.65","6.73K","-0.43%"
"25/09/2025","11.75","11.75","11.85","11.75","1.23K","-0.42%"
"24/09/2025","11.80","12.00","12.00","11.75","1.31K","-1.67%"
"23/09/2025","12.00","12.00","12.00","12.00","2.63K","0.00%"
"22/09/2025","12.00","12.00","12.00","12.00","1.87K","0.00%"
"19/09/2025","12.00","12.00","12.00","11.90","0.17K","0.00%"
"18/09/2025","12.00","12.00","12.00","11.90","1.70K","0.00%"
"17/09/2025","12.00","12.00","12.00","12.00","0.09K","0.00%"
"16/09/2025","12.00","12.00","12.00","12.00","2.17K","0.00%"
"15/09/2025","12.00","12.00","12.00","12.00","1.71K","0.00%"
"12/09/2025","12.00","12.00","12.00","12.00","5.09K","0.00%"
"11/09/2025","12.00","12.00","12.05","11.90","31.58K","0.00%"
"10/09/2025","12.00","12.00","12.30","12.00","10.77K","0.00%"
"09/09/2025","12.00","11.80","12.00","11.80","6.35K","1.69%"
"08/09/2025","11.80","12.00","12.00","11.80","2.83K","-1.26%"
"05/09/2025","11.95","12.30","12.30","11.95","26.60K","-0.42%"
"04/09/2025","12.00","12.00","12.15","11.95","23.26K","0.00%"
"03/09/2025","12.00","12.00","12.00","11.95","19.86K","0.00%"
"02/09/2025","12.00","11.80","12.10","11.80","35.59K","0.00%"
"01/09/2025","12.00","12.95","12.95","12.00","9.76K","-7.69%"
"29/08/2025","13.00","13.10","13.10","13.00","1.55K","0.00%"
"28/08/2025","13.00","13.40","13.40","13.00","10.10K","-3.70%"
"27/08/2025","13.50","13.90","13.90","13.50","7.03K","-2.88%"
"26/08/2025","13.90","13.90","13.95","13.90","0.10K","0.00%"
"25/08/2025","13.90","13.90","13.90","13.90","0.00K","-0.36%"
"22/08/2025","13.95","13.95","13.95","13.95","0.16K","0.00%"
"21/08/2025","13.95","13.80","13.95","13.80","0.04K","1.45%"
"20/08/2025","13.75","13.75","13.95","13.75","0.06K","0.00%"
"19/08/2025","13.75","13.70","14.00","13.70","0.01K","0.36%"
"18/08/2025","13.70","13.75","13.75","13.70","0.66K","-0.72%"
"14/08/2025","13.80","13.80","13.80","13.80","0.01K","0.00%"
"13/08/2025","13.80","13.80","13.85","13.80","0.08K","0.36%"
"12/08/2025","13.75","14.20","14.20","13.75","0.46K","-5.17%"
"11/08/2025","14.50","14.00","14.50","14.00","0.29K","2.84%"
"08/08/2025","14.10","14.00","14.10","14.00","1.08K","0.00%"
"07/08/2025","14.10","14.50","14.75","14.10","2.05K","-1.05%"
"06/08/2025","14.25","14.25","14.25","14.25","0.01K","0.35%"
"05/08/2025","14.20","14.20","14.20","14.20","0.60K","0.00%"
"04/08/2025","14.20","14.25","14.25","14.20","0.01K","0.00%"
"31/07/2025","14.20","14.20","14.60","14.20","0.17K","-1.05%"
