"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","6.450","6.600","6.600","6.400","5.59K","-5.84%"
"29/09/2025","6.850","6.400","6.900","6.400","10.42K","7.03%"
"26/09/2025","6.400","6.400","6.400","6.400","0.01K","1.59%"
"25/09/2025","6.300","6.300","6.600","6.300","3.36K","-0.79%"
"24/09/2025","6.350","6.450","6.600","6.350","2.76K","-2.31%"
"23/09/2025","6.500","6.300","7.200","6.300","29.53K","2.36%"
"22/09/2025","6.350","5.750","6.800","5.750","48.30K","11.40%"
"19/09/2025","5.700","5.000","6.000","5.000","57.70K","18.75%"
"18/09/2025","4.800","4.800","4.800","4.800","1.25K","0.00%"
"17/09/2025","4.800","4.600","4.800","4.600","5.00K","0.00%"
"16/09/2025","4.800","4.620","4.800","4.600","4.38K","2.56%"
"15/09/2025","4.680","4.680","4.680","4.680","0.02K","-2.50%"
"12/09/2025","4.800","4.600","4.800","4.600","3.91K","4.35%"
"10/09/2025","4.600","4.600","4.600","4.600","6.00K","0.00%"
"09/09/2025","4.600","4.600","4.600","4.600","0.00K","-4.17%"
"08/09/2025","4.800","4.900","4.900","4.800","1.71K","0.00%"
"05/09/2025","4.800","4.800","4.800","4.800","1.60K","2.56%"
"03/09/2025","4.680","4.800","4.800","4.600","6.21K","-4.88%"
"29/08/2025","4.920","4.920","4.920","4.920","0.01K","2.50%"
"28/08/2025","4.800","4.800","4.800","4.800","4.57K","-2.83%"
"27/08/2025","4.940","4.800","4.940","4.800","1.19K","0.00%"
"26/08/2025","4.940","4.800","4.940","4.800","1.98K","0.82%"
"25/08/2025","4.900","4.800","4.940","4.800","1.65K","2.08%"
"22/08/2025","4.800","4.800","4.800","4.800","0.03K","0.00%"
"21/08/2025","4.800","4.800","4.800","4.800","0.20K","0.00%"
"20/08/2025","4.800","4.800","4.940","4.800","3.20K","4.35%"
"19/08/2025","4.600","4.800","4.800","4.600","0.46K","-4.17%"
"18/08/2025","4.800","4.800","4.800","4.800","0.01K","-3.61%"
"14/08/2025","4.980","4.600","4.980","4.600","1.70K","8.26%"
"13/08/2025","4.600","4.600","4.640","4.600","1.81K","-4.17%"
"12/08/2025","4.800","4.600","4.980","4.600","2.70K","4.35%"
"11/08/2025","4.600","4.600","4.640","4.600","4.80K","0.00%"
"07/08/2025","4.600","4.600","4.600","4.600","3.90K","0.00%"
"04/08/2025","4.600","4.500","4.600","4.500","4.00K","0.00%"
"01/08/2025","4.600","4.600","4.600","4.600","7.70K","0.00%"
"31/07/2025","4.600","4.600","4.600","4.600","5.20K","0.00%"
"28/07/2025","4.600","4.800","4.980","4.520","12.01K","-2.13%"
"25/07/2025","4.700","4.600","4.700","4.600","4.97K","2.17%"
"24/07/2025","4.600","4.600","4.600","4.600","1.70K","0.00%"
"23/07/2025","4.600","4.800","4.800","4.600","10.54K","-7.63%"
"22/07/2025","4.980","4.600","4.980","4.600","8.24K","10.67%"
"21/07/2025","4.500","4.600","4.800","4.500","4.59K","-2.17%"
"18/07/2025","4.600","4.600","4.600","4.600","2.30K","-4.17%"
"17/07/2025","4.800","4.600","4.800","4.600","4.40K","0.00%"
"15/07/2025","4.800","4.800","4.800","4.800","1.50K","0.00%"
"09/07/2025","4.800","4.800","4.800","4.800","0.05K","-3.61%"
"07/07/2025","4.980","4.800","4.980","4.800","2.60K","3.75%"
"02/07/2025","4.800","4.800","4.980","4.800","2.45K","0.00%"
