"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","12.70","12.40","12.80","12.40","0.57K","-0.78%"
"29/09/2025","12.80","12.60","12.80","12.50","4.04K","0.00%"
"26/09/2025","12.80","12.70","12.80","12.70","6.58K","0.79%"
"25/09/2025","12.70","12.60","12.70","12.50","3.83K","0.00%"
"24/09/2025","12.70","12.50","12.70","12.40","18.94K","-0.78%"
"23/09/2025","12.80","12.90","12.90","12.50","14.75K","-0.78%"
"22/09/2025","12.90","12.90","12.90","12.70","0.32K","-1.53%"
"19/09/2025","13.10","12.70","13.10","12.60","4.14K","0.77%"
"18/09/2025","13.00","13.00","13.00","12.70","0.65K","-0.76%"
"17/09/2025","13.10","12.90","13.10","12.80","0.30K","0.77%"
"16/09/2025","13.00","13.00","13.00","13.00","0.01K","-0.76%"
"15/09/2025","13.10","13.00","13.10","12.80","0.89K","0.77%"
"12/09/2025","13.00","12.90","13.20","12.50","4.44K","-1.52%"
"11/09/2025","13.20","13.00","13.20","13.00","1.50K","0.76%"
"10/09/2025","13.10","12.80","13.10","12.80","0.05K","-0.76%"
"09/09/2025","13.20","12.80","13.30","12.60","3.90K","3.12%"
"08/09/2025","12.80","12.70","12.80","12.70","0.30K","0.79%"
"04/09/2025","12.70","12.70","12.70","12.30","1.03K","0.00%"
"03/09/2025","12.70","12.70","12.70","12.70","0.01K","0.00%"
"02/09/2025","12.70","12.70","12.70","12.70","0.03K","0.00%"
"01/09/2025","12.70","12.70","12.70","12.60","0.92K","-0.78%"
"29/08/2025","12.80","12.90","12.90","12.80","0.07K","-1.54%"
"28/08/2025","13.00","12.90","13.00","12.90","0.01K","0.00%"
"27/08/2025","13.00","12.80","13.00","12.80","0.02K","0.00%"
"26/08/2025","13.00","13.00","13.00","13.00","0.10K","0.00%"
"25/08/2025","13.00","12.90","13.00","12.70","0.57K","-0.76%"
"22/08/2025","13.10","12.90","13.20","12.90","0.17K","-1.50%"
"21/08/2025","13.30","12.90","13.30","12.90","8.81K","2.31%"
"20/08/2025","13.00","12.90","13.00","12.80","0.51K","0.78%"
"19/08/2025","12.90","12.60","12.90","12.60","0.23K","0.78%"
"18/08/2025","12.80","12.50","12.80","12.50","20.59K","0.00%"
"14/08/2025","12.80","12.70","12.80","12.60","0.10K","1.59%"
"13/08/2025","12.60","12.60","12.80","12.60","0.98K","-1.56%"
"12/08/2025","12.80","12.90","12.90","12.50","4.40K","-0.78%"
"11/08/2025","12.90","12.80","12.90","12.70","0.13K","0.00%"
"08/08/2025","12.90","12.80","12.90","12.70","0.80K","-0.77%"
"07/08/2025","13.00","13.20","13.20","12.80","9.61K","-0.76%"
"06/08/2025","13.10","12.90","13.40","12.80","22.56K","0.77%"
"05/08/2025","13.00","12.90","13.20","12.60","18.94K","0.78%"
"04/08/2025","12.90","11.90","12.90","11.70","4.72K","8.40%"
"01/08/2025","11.90","11.80","11.90","11.60","0.60K","-2.46%"
"31/07/2025","12.20","12.10","12.20","11.80","0.19K","0.83%"
"30/07/2025","12.10","12.10","12.10","11.80","0.01K","0.00%"
"29/07/2025","12.10","11.60","12.10","11.60","0.09K","4.31%"
"28/07/2025","11.60","12.00","12.00","11.60","0.36K","-3.33%"
"25/07/2025","12.00","12.00","12.00","12.00","0.40K","0.00%"
"23/07/2025","12.00","11.60","12.00","11.60","0.10K","0.00%"
"22/07/2025","12.00","11.50","12.00","11.50","0.30K","2.56%"
"21/07/2025","11.70","11.40","11.70","11.30","0.17K","0.00%"
"18/07/2025","11.70","11.70","11.70","11.70","0.23K","-0.85%"
"16/07/2025","11.80","11.60","11.90","11.40","0.52K","-1.67%"
"15/07/2025","12.00","11.60","12.00","11.60","0.28K","0.00%"
"14/07/2025","12.00","11.60","12.00","11.60","0.09K","0.00%"
"11/07/2025","12.00","12.00","12.00","12.00","0.01K","-0.83%"
"10/07/2025","12.10","11.60","12.10","11.60","0.06K","0.00%"
"08/07/2025","12.10","11.90","12.10","11.90","0.21K","0.00%"
"07/07/2025","12.10","12.10","12.10","12.10","0.01K","0.00%"
"04/07/2025","12.10","12.10","12.10","12.10","0.00K","0.83%"
"03/07/2025","12.00","12.00","12.00","12.00","0.01K","-0.83%"
"02/07/2025","12.10","11.60","12.10","11.60","1.17K","2.54%"
"01/07/2025","11.80","11.60","11.80","11.50","0.20K","0.00%"
"30/06/2025","11.80","11.80","11.80","11.80","0.10K","0.00%"
"27/06/2025","11.80","11.80","11.80","11.70","0.54K","0.00%"
"26/06/2025","11.80","11.50","12.10","11.50","2.93K","-2.48%"
"25/06/2025","12.10","11.60","12.10","11.60","0.25K","0.83%"
"24/06/2025","12.00","12.10","12.10","11.80","1.03K","1.69%"
"23/06/2025","11.80","12.10","12.10","11.80","0.22K","-1.67%"
"20/06/2025","12.00","12.00","12.00","12.00","0.01K","-0.83%"
"17/06/2025","12.10","11.90","12.10","11.70","1.45K","1.68%"
"16/06/2025","11.90","12.00","12.60","11.90","0.88K","-5.56%"
"13/06/2025","12.60","12.90","12.90","12.30","0.36K","-2.33%"
"12/06/2025","12.90","11.90","12.90","11.90","8.67K","8.40%"
"11/06/2025","11.90","11.90","11.90","11.90","0.18K","-0.83%"
"10/06/2025","12.00","12.00","12.00","11.50","1.00K","0.00%"
"09/06/2025","12.00","11.40","12.00","11.40","0.84K","1.69%"
"04/06/2025","11.80","11.80","11.80","11.80","0.38K","1.72%"
"03/06/2025","11.60","11.40","11.60","11.40","1.20K","0.87%"
"02/06/2025","11.50","11.20","11.50","11.20","0.51K","-0.86%"
"30/05/2025","11.60","11.40","11.60","11.40","0.44K","3.57%"
"29/05/2025","11.20","11.20","11.20","11.20","0.05K","0.00%"
"28/05/2025","11.20","11.40","11.40","11.20","0.12K","-1.75%"
"27/05/2025","11.40","11.40","11.40","11.40","0.10K","0.00%"
"26/05/2025","11.40","11.00","11.40","11.00","0.67K","2.70%"
"23/05/2025","11.10","11.30","11.30","11.10","3.02K","0.91%"
"22/05/2025","11.00","11.40","11.40","11.00","0.21K","-2.65%"
"20/05/2025","11.30","11.10","11.30","11.00","0.93K","0.89%"
"19/05/2025","11.20","11.30","11.30","11.20","0.85K","0.00%"
"15/05/2025","11.20","11.30","11.30","11.20","1.22K","-0.88%"
"14/05/2025","11.30","11.50","11.50","11.30","0.72K","-2.59%"
"13/05/2025","11.60","11.30","11.60","11.20","0.21K","0.00%"
"12/05/2025","11.60","11.70","11.70","11.30","1.80K","0.87%"
"09/05/2025","11.50","11.40","11.50","11.30","1.06K","0.88%"
"08/05/2025","11.40","11.40","11.50","11.40","0.51K","0.88%"
"07/05/2025","11.30","11.40","11.80","11.30","0.43K","-1.74%"
"06/05/2025","11.50","11.50","11.70","11.40","6.16K","-4.17%"
"05/05/2025","12.00","12.00","12.00","12.00","0.01K","3.45%"
"02/05/2025","11.60","11.70","12.00","11.60","3.60K","-1.69%"
"30/04/2025","11.80","11.80","11.80","11.80","0.64K","1.72%"
"29/04/2025","11.60","12.10","12.10","11.60","2.16K","-3.33%"
"28/04/2025","12.00","12.00","12.10","12.00","0.11K","0.00%"
"25/04/2025","12.00","11.80","12.10","11.80","1.43K","3.45%"
"23/04/2025","11.60","11.50","11.90","11.50","1.20K","0.87%"
"22/04/2025","11.50","11.50","11.50","11.50","0.11K","-2.54%"
"17/04/2025","11.80","11.40","11.80","11.40","0.01K","1.72%"
"15/04/2025","11.60","11.60","11.60","11.60","1.36K","-2.52%"
"14/04/2025","11.90","12.30","12.30","11.90","1.56K","1.71%"
"11/04/2025","11.70","11.80","11.80","11.40","1.21K","-4.88%"
"08/04/2025","12.30","12.30","12.30","12.30","0.06K","0.82%"
"07/04/2025","12.20","12.40","12.40","12.20","0.65K","-2.40%"
"28/03/2025","12.50","12.40","12.50","12.40","0.02K","0.81%"
"27/03/2025","12.40","12.30","12.40","12.30","1.56K","0.81%"
"26/03/2025","12.30","12.50","12.50","12.30","0.55K","-1.60%"
"25/03/2025","12.50","12.50","12.50","12.50","0.32K","0.00%"
"24/03/2025","12.50","12.80","12.80","12.50","0.41K","-3.85%"
"20/03/2025","13.00","13.00","13.00","13.00","0.01K","0.00%"
"19/03/2025","13.00","13.00","13.00","13.00","0.01K","-1.52%"
"18/03/2025","13.20","13.20","13.20","13.20","0.01K","-0.75%"
"13/03/2025","13.30","13.30","13.30","13.30","0.00K","3.10%"
"12/03/2025","12.90","12.90","13.10","12.90","3.20K","-0.77%"
"11/03/2025","13.00","13.00","13.00","13.00","0.02K","-0.76%"
"10/03/2025","13.10","13.20","13.20","12.70","5.19K","-1.50%"
"07/03/2025","13.30","13.00","13.30","12.80","2.97K","2.31%"
"06/03/2025","13.00","12.80","13.00","12.70","0.95K","1.56%"
"05/03/2025","12.80","12.60","12.80","12.20","0.97K","-1.54%"
"04/03/2025","13.00","12.60","13.00","12.50","0.76K","0.78%"
"03/03/2025","12.90","12.90","12.90","12.50","0.96K","0.00%"
"28/02/2025","12.90","12.70","12.90","12.70","0.23K","-0.77%"
"27/02/2025","13.00","12.80","13.00","12.80","0.26K","0.00%"
"21/02/2025","13.00","13.00","13.00","13.00","0.02K","0.00%"
"20/02/2025","13.00","13.00","13.00","13.00","0.01K","2.36%"
"19/02/2025","12.70","13.20","13.20","12.70","2.14K","-3.79%"
"17/02/2025","13.20","13.20","13.20","13.20","0.26K","0.00%"
"14/02/2025","13.20","13.10","13.20","13.10","0.28K","1.54%"
"13/02/2025","13.00","13.00","13.10","13.00","0.77K","-2.99%"
"12/02/2025","13.40","13.40","13.40","12.70","7.83K","0.00%"
"11/02/2025","13.40","12.70","13.40","12.60","5.31K","4.69%"
"10/02/2025","12.80","12.50","12.80","12.50","0.49K","0.00%"
"07/02/2025","12.80","12.80","12.80","12.80","0.09K","0.00%"
"05/02/2025","12.80","12.80","12.80","12.80","0.06K","-2.29%"
"04/02/2025","13.10","12.30","13.10","12.30","1.97K","3.97%"
"03/02/2025","12.60","12.10","12.60","12.10","4.57K","3.28%"
"31/01/2025","12.20","12.20","12.60","12.20","0.74K","0.00%"
"30/01/2025","12.20","11.90","12.30","11.90","0.86K","0.83%"
"29/01/2025","12.10","11.70","12.10","11.70","0.74K","3.42%"
"28/01/2025","11.70","11.90","11.90","11.70","1.10K","-3.31%"
"27/01/2025","12.10","12.10","12.10","12.10","0.02K","-0.82%"
"24/01/2025","12.20","12.10","12.20","11.80","0.19K","1.67%"
"23/01/2025","12.00","12.00","12.00","12.00","0.11K","-0.83%"
"20/01/2025","12.10","12.10","12.10","12.10","0.01K","0.00%"
"17/01/2025","12.10","11.90","12.30","11.80","1.42K","1.68%"
"15/01/2025","11.90","11.90","11.90","11.90","0.25K","0.00%"
"14/01/2025","11.90","11.90","12.10","11.90","3.21K","-0.83%"
"13/01/2025","12.00","11.90","12.00","11.90","1.07K","0.84%"
"10/01/2025","11.90","11.70","11.90","11.70","1.66K","3.48%"
"09/01/2025","11.50","11.50","11.50","11.50","0.76K","0.00%"
"08/01/2025","11.50","11.30","11.50","11.30","0.28K","0.88%"
"07/01/2025","11.40","11.40","11.40","11.10","2.40K","0.00%"
"03/01/2025","11.40","11.00","11.40","11.00","0.87K","0.88%"
"02/01/2025","11.30","11.20","11.30","11.20","0.52K","0.89%"
"30/12/2024","11.20","11.20","11.20","11.20","0.01K","0.00%"
"27/12/2024","11.20","11.20","11.20","10.90","0.09K","2.75%"
"23/12/2024","10.90","10.90","11.20","10.90","3.60K","-1.80%"
"20/12/2024","11.10","11.30","11.30","11.00","2.68K","-1.77%"
"19/12/2024","11.30","11.30","11.30","11.30","0.10K","0.00%"
"18/12/2024","11.30","11.40","11.50","11.10","6.17K","0.00%"
"17/12/2024","11.30","11.30","11.30","10.80","2.03K","-0.88%"
"16/12/2024","11.40","11.50","11.50","11.30","1.54K","-1.72%"
"13/12/2024","11.60","11.00","11.60","10.80","4.76K","2.65%"
"12/12/2024","11.30","11.80","11.90","11.30","2.42K","-5.83%"
"11/12/2024","12.00","11.90","12.00","11.80","0.13K","0.00%"
"10/12/2024","12.00","12.20","12.20","11.90","1.27K","-2.44%"
"09/12/2024","12.30","12.30","12.30","12.30","0.29K","0.00%"
"06/12/2024","12.30","12.30","12.30","12.30","0.76K","-0.81%"
"05/12/2024","12.40","12.40","12.40","12.40","0.12K","-0.80%"
"03/12/2024","12.50","12.00","12.50","12.00","0.84K","2.46%"
"02/12/2024","12.20","12.30","12.30","12.00","3.23K","-2.40%"
"29/11/2024","12.50","12.60","12.60","12.50","1.61K","-0.79%"
"26/11/2024","12.60","12.50","12.70","12.40","3.35K","0.80%"
"25/11/2024","12.50","12.30","12.50","12.20","0.30K","-0.79%"
"22/11/2024","12.60","12.40","12.60","12.30","0.10K","1.61%"
"21/11/2024","12.40","12.40","12.40","12.40","0.20K","-2.36%"
"20/11/2024","12.70","12.40","12.70","12.40","0.07K","1.60%"
"19/11/2024","12.50","12.40","12.50","12.40","0.59K","0.81%"
"18/11/2024","12.40","12.40","12.40","12.40","0.13K","-2.36%"
"15/11/2024","12.70","12.40","12.70","12.40","0.14K","0.00%"
"14/11/2024","12.70","12.70","12.70","12.70","0.09K","0.00%"
"12/11/2024","12.70","12.40","12.70","12.30","0.25K","0.00%"
"08/11/2024","12.70","12.60","12.70","12.60","0.10K","0.79%"
"07/11/2024","12.60","12.40","12.60","12.30","0.03K","-0.79%"
"06/11/2024","12.70","12.70","12.70","12.70","0.01K","-1.55%"
"04/11/2024","12.90","12.30","12.90","12.30","4.77K","0.78%"
"31/10/2024","12.80","12.90","12.90","12.80","0.02K","-0.78%"
"30/10/2024","12.90","12.60","12.90","12.60","0.24K","4.03%"
"29/10/2024","12.40","12.60","12.70","12.40","1.23K","2.48%"
"28/10/2024","12.10","12.30","12.70","12.10","0.54K","-4.72%"
"24/10/2024","12.70","12.30","12.70","12.30","1.05K","4.10%"
"23/10/2024","12.20","12.50","12.50","12.20","1.47K","-3.94%"
"22/10/2024","12.70","12.70","12.70","12.70","0.01K","0.00%"
"21/10/2024","12.70","12.50","12.70","12.20","0.15K","-0.78%"
"17/10/2024","12.80","12.50","12.80","12.50","0.13K","2.40%"
"16/10/2024","12.50","12.60","12.60","12.50","0.22K","-0.79%"
"15/10/2024","12.60","12.50","12.60","12.50","0.04K","0.80%"
"14/10/2024","12.50","12.50","12.80","12.50","0.64K","-1.57%"
"11/10/2024","12.70","12.30","12.70","12.20","0.13K","2.42%"
"10/10/2024","12.40","12.50","12.50","12.40","0.45K","-3.13%"
"09/10/2024","12.80","12.60","12.80","12.50","0.04K","1.59%"
"08/10/2024","12.60","12.60","12.60","12.60","0.31K","-0.79%"
"04/10/2024","12.70","12.70","12.70","12.70","1.10K","-2.31%"
"03/10/2024","13.00","12.90","13.00","12.90","0.17K","1.56%"
"02/10/2024","12.80","12.70","12.80","12.70","0.24K","-1.54%"
"01/10/2024","13.00","12.70","13.00","12.70","0.16K","0.00%"
"30/09/2024","13.00","12.70","13.00","12.70","2.95K","1.56%"
"27/09/2024","12.80","12.70","13.00","12.70","0.78K","0.00%"
"26/09/2024","12.80","12.80","12.80","12.80","0.52K","0.00%"
"25/09/2024","12.80","12.80","12.80","12.80","0.24K","-1.54%"
