"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","8.56","8.56","8.56","8.56","0.13K","0.71%"
"29/09/2025","8.50","8.58","8.62","8.50","3.23K","-1.16%"
"26/09/2025","8.60","8.54","8.62","8.54","1.47K","2.38%"
"25/09/2025","8.40","8.54","8.54","8.40","2.04K","-1.64%"
"24/09/2025","8.54","8.46","8.54","8.40","0.26K","0.95%"
"23/09/2025","8.46","8.42","8.54","8.40","0.97K","0.71%"
"22/09/2025","8.40","8.50","8.54","8.40","1.03K","-1.18%"
"19/09/2025","8.50","8.54","8.54","8.50","2.04K","-0.47%"
"18/09/2025","8.54","8.52","8.62","8.50","0.89K","-0.23%"
"17/09/2025","8.56","8.62","8.62","8.54","0.67K","-1.38%"
"16/09/2025","8.68","8.68","8.76","8.68","1.45K","0.00%"
"15/09/2025","8.68","8.70","8.70","8.52","1.48K","-0.23%"
"12/09/2025","8.70","8.60","8.70","8.42","0.77K","0.00%"
"11/09/2025","8.70","8.70","8.76","8.50","2.22K","0.00%"
"10/09/2025","8.70","8.50","8.76","8.50","1.21K","1.40%"
"09/09/2025","8.58","8.50","8.58","8.50","0.68K","0.94%"
"08/09/2025","8.50","8.58","8.58","8.50","0.43K","-0.23%"
"05/09/2025","8.52","8.50","8.58","8.50","0.47K","0.24%"
"04/09/2025","8.50","8.60","8.60","8.10","5.98K","-1.16%"
"03/09/2025","8.60","8.50","8.76","8.50","3.04K","-0.46%"
"02/09/2025","8.64","8.82","8.82","8.50","3.00K","-1.82%"
"01/09/2025","8.80","8.80","8.80","8.72","2.02K","-0.45%"
"29/08/2025","8.84","8.84","8.84","8.84","0.38K","0.00%"
"28/08/2025","8.84","8.88","8.88","8.78","1.18K","-0.45%"
"27/08/2025","8.88","8.80","8.88","8.80","1.21K","0.91%"
"26/08/2025","8.80","8.90","8.90","8.80","0.09K","-1.35%"
"25/08/2025","8.92","8.90","8.92","8.78","0.84K","0.22%"
"22/08/2025","8.90","8.90","8.94","8.84","0.34K","0.00%"
"20/08/2025","8.90","8.84","8.96","8.82","0.36K","-0.45%"
"19/08/2025","8.94","8.80","8.94","8.80","0.64K","1.59%"
