"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","0.7700","0.7540","0.7700","0.7240","0.59K","-1.03%"
"29/09/2025","0.7780","0.7700","0.7800","0.7500","9.17K","1.30%"
"26/09/2025","0.7680","0.7160","0.7680","0.7120","29.67K","6.37%"
"25/09/2025","0.7220","0.7200","0.7300","0.7200","4.39K","-1.37%"
"24/09/2025","0.7320","0.7320","0.7320","0.7220","1.65K","0.00%"
"23/09/2025","0.7320","0.7400","0.7400","0.7200","7.15K","-1.08%"
"22/09/2025","0.7400","0.7520","0.7520","0.7400","4.02K","-1.86%"
"19/09/2025","0.7540","0.7540","0.7540","0.7540","0.23K","-2.58%"
"18/09/2025","0.7740","0.7560","0.7780","0.7560","2.38K","2.38%"
"17/09/2025","0.7560","0.7260","0.7580","0.7260","5.08K","0.53%"
"16/09/2025","0.7520","0.7540","0.7540","0.7320","9.47K","-0.27%"
"15/09/2025","0.7540","0.7560","0.7780","0.7200","12.31K","0.00%"
"12/09/2025","0.7540","0.7780","0.7780","0.7540","0.11K","-3.08%"
"11/09/2025","0.7780","0.7560","0.7780","0.7560","2.01K","-0.26%"
"10/09/2025","0.7800","0.7780","0.7800","0.7580","3.50K","2.90%"
"09/09/2025","0.7580","0.7620","0.7620","0.7540","7.62K","-2.82%"
"08/09/2025","0.7800","0.7800","0.7800","0.7800","1.17K","0.00%"
"05/09/2025","0.7800","0.8080","0.8100","0.7540","15.39K","0.52%"
"04/09/2025","0.7760","0.8200","0.8200","0.7760","2.09K","-3.00%"
"03/09/2025","0.8000","0.8180","0.8200","0.8000","12.66K","0.76%"
"02/09/2025","0.7940","0.8200","0.8300","0.7860","6.40K","-3.17%"
"01/09/2025","0.8200","0.7860","0.8200","0.7860","0.89K","4.33%"
"28/08/2025","0.7860","0.8200","0.8200","0.7860","1.04K","-3.91%"
"27/08/2025","0.8180","0.8180","0.8180","0.8180","0.05K","-0.24%"
"26/08/2025","0.8200","0.7960","0.8200","0.7860","6.61K","3.54%"
"25/08/2025","0.7920","0.7900","0.8200","0.7900","2.94K","1.02%"
"22/08/2025","0.7840","0.7940","0.8100","0.7800","21.36K","-0.76%"
"21/08/2025","0.7900","0.7960","0.7960","0.7720","9.78K","-0.75%"
"20/08/2025","0.7960","0.8080","0.8080","0.7680","2.72K","2.05%"
