"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","0.810","0.810","0.810","0.794","20.09K","-1.22%"
"29/09/2025","0.820","0.820","0.820","0.798","0.19K","-0.73%"
"26/09/2025","0.826","0.820","0.826","0.820","3.67K","0.73%"
"25/09/2025","0.820","0.820","0.820","0.796","4.87K","0.00%"
"24/09/2025","0.820","0.794","0.820","0.794","0.14K","0.00%"
"23/09/2025","0.820","0.832","0.832","0.798","33.99K","-1.44%"
"22/09/2025","0.832","0.840","0.840","0.812","1.92K","-0.95%"
"19/09/2025","0.840","0.840","0.840","0.840","0.01K","0.72%"
"18/09/2025","0.834","0.846","0.846","0.820","7.52K","1.46%"
"17/09/2025","0.822","0.848","0.848","0.822","2.01K","-2.84%"
"16/09/2025","0.846","0.842","0.846","0.812","2.25K","0.24%"
"15/09/2025","0.844","0.834","0.844","0.834","1.56K","-0.47%"
"12/09/2025","0.848","0.848","0.848","0.848","0.01K","0.00%"
"11/09/2025","0.848","0.816","0.848","0.800","11.50K","0.00%"
"10/09/2025","0.848","0.876","0.876","0.828","10.02K","-3.20%"
"09/09/2025","0.876","0.876","0.876","0.876","0.54K","-0.23%"
"08/09/2025","0.878","0.860","0.878","0.860","2.85K","2.09%"
"05/09/2025","0.860","0.860","0.860","0.860","0.01K","0.00%"
"04/09/2025","0.860","0.876","0.876","0.848","1.33K","-1.83%"
"03/09/2025","0.876","0.876","0.876","0.876","0.01K","-0.45%"
"02/09/2025","0.880","0.880","0.880","0.844","5.93K","0.00%"
"01/09/2025","0.880","0.880","0.880","0.850","0.22K","0.00%"
"29/08/2025","0.880","0.880","0.880","0.880","0.01K","0.00%"
"28/08/2025","0.880","0.880","0.880","0.844","0.13K","-0.23%"
"27/08/2025","0.882","0.882","0.882","0.882","0.10K","0.00%"
"26/08/2025","0.882","0.854","0.882","0.844","16.82K","3.28%"
"25/08/2025","0.854","0.816","0.854","0.814","9.03K","1.43%"
"22/08/2025","0.842","0.812","0.842","0.812","0.01K","0.00%"
