"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","278.00","279.00","282.50","278.00","2.86K","-0.36%"
"29/09/2025","279.00","279.50","284.50","278.50","2.10K","-0.71%"
"26/09/2025","281.00","282.00","283.00","278.00","2.64K","0.36%"
"25/09/2025","280.00","279.50","284.50","279.00","3.42K","0.18%"
"24/09/2025","279.50","284.00","285.50","279.00","4.52K","-1.58%"
"23/09/2025","284.00","285.50","289.00","282.50","2.88K","-0.70%"
"22/09/2025","286.00","287.00","288.00","284.50","2.12K","-1.04%"
"19/09/2025","289.00","289.00","290.50","286.00","4.01K","-0.34%"
"18/09/2025","290.00","293.00","294.00","288.00","1.62K","-0.85%"
"17/09/2025","292.50","289.50","293.50","287.00","2.45K","1.21%"
"16/09/2025","289.00","293.00","296.00","288.00","2.24K","-0.52%"
"15/09/2025","290.50","292.00","295.00","290.00","1.91K","-0.34%"
"12/09/2025","291.50","291.00","294.00","289.50","2.17K","-0.85%"
"11/09/2025","294.00","290.50","294.00","289.50","1.70K","1.03%"
"10/09/2025","291.00","294.00","295.50","286.00","5.66K","-1.69%"
"09/09/2025","296.00","297.00","297.00","293.00","1.15K","-0.34%"
"08/09/2025","297.00","300.00","300.00","286.50","5.45K","-0.83%"
"05/09/2025","299.50","295.00","301.50","293.50","5.78K","2.22%"
"04/09/2025","293.00","295.00","296.50","293.00","1.79K","-0.17%"
"03/09/2025","293.50","295.00","296.00","291.00","2.29K","0.34%"
"02/09/2025","292.50","294.50","296.00","292.00","2.12K","-0.68%"
"01/09/2025","294.50","290.00","294.50","290.00","1.89K","2.43%"
"29/08/2025","287.50","292.50","293.00","286.00","3.21K","-0.86%"
"28/08/2025","290.00","295.50","296.00","290.00","1.61K","0.00%"
"27/08/2025","290.00","295.50","298.00","289.00","7.18K","-1.86%"
"26/08/2025","295.50","295.50","298.00","295.00","2.60K","-0.17%"
"25/08/2025","296.00","296.00","297.50","295.00","2.52K","0.00%"
"22/08/2025","296.00","301.00","302.00","287.50","9.14K","-1.82%"
"21/08/2025","301.50","294.00","303.00","289.00","36.08K","3.61%"
"20/08/2025","291.00","291.50","294.50","289.00","2.67K","0.34%"
"19/08/2025","290.00","290.00","294.00","289.00","12.71K","0.35%"
"18/08/2025","289.00","291.00","292.00","286.00","2.36K","0.70%"
"14/08/2025","287.00","290.00","292.50","285.00","2.79K","0.53%"
"13/08/2025","285.50","285.50","293.00","283.50","4.68K","1.24%"
"12/08/2025","282.00","283.50","286.00","282.00","2.73K","-0.53%"
"11/08/2025","283.50","281.00","289.00","281.00","9.93K","0.53%"
"08/08/2025","282.00","285.00","286.50","279.00","3.10K","0.18%"
"07/08/2025","281.50","284.00","286.00","281.00","3.40K","-0.88%"
"06/08/2025","284.00","282.50","284.50","280.50","6.84K","1.43%"
"05/08/2025","280.00","286.50","287.00","279.00","2.51K","-1.75%"
