"Date","Price","Open","High","Low","Vol.","Change %"
"29/09/2025","16.50","16.80","16.80","16.45","0.97K","-2.08%"
"26/09/2025","16.85","16.70","16.85","16.30","1.70K","0.00%"
"25/09/2025","16.85","16.65","16.90","16.50","1.18K","0.30%"
"24/09/2025","16.80","16.55","16.80","16.55","2.63K","1.51%"
"23/09/2025","16.55","16.25","16.60","16.20","2.67K","1.53%"
"22/09/2025","16.30","16.15","16.30","15.85","1.09K","0.00%"
"19/09/2025","16.30","16.45","16.45","16.20","2.13K","-1.81%"
"18/09/2025","16.60","16.85","16.85","16.20","0.93K","-2.35%"
"17/09/2025","17.00","16.95","17.00","16.65","1.36K","0.59%"
"16/09/2025","16.90","16.95","16.95","16.60","1.20K","-0.29%"
"15/09/2025","16.95","16.65","17.00","16.30","5.22K","2.11%"
"12/09/2025","16.60","16.40","16.80","16.20","1.80K","1.22%"
"11/09/2025","16.40","16.45","16.45","16.30","1.75K","-0.30%"
"10/09/2025","16.45","16.70","17.20","16.10","10.07K","-2.08%"
"09/09/2025","16.80","16.95","17.00","16.20","38.18K","2.13%"
"08/09/2025","16.45","16.10","16.45","15.70","3.96K","4.11%"
"05/09/2025","15.80","16.25","16.30","15.80","4.39K","-3.07%"
"04/09/2025","16.30","16.15","16.30","16.15","0.47K","1.87%"
"03/09/2025","16.00","16.25","16.25","16.00","0.64K","-1.54%"
"02/09/2025","16.25","15.80","16.25","15.80","0.61K","0.62%"
"01/09/2025","16.15","16.10","16.25","16.05","1.70K","-0.31%"
"29/08/2025","16.20","16.20","16.20","16.20","0.02K","0.00%"
"28/08/2025","16.20","16.10","16.20","16.10","0.11K","0.93%"
"27/08/2025","16.05","16.05","16.05","16.05","0.30K","-0.93%"
"26/08/2025","16.20","15.80","16.20","15.70","0.83K","0.31%"
"25/08/2025","16.15","16.15","16.15","16.15","0.02K","0.00%"
"22/08/2025","16.15","16.00","16.15","15.95","0.89K","1.89%"
"21/08/2025","15.85","15.85","15.85","15.85","0.00K","0.96%"
"20/08/2025","15.70","16.10","16.15","15.70","1.34K","-1.26%"
"19/08/2025","15.90","15.85","16.00","15.85","0.42K","0.32%"
"18/08/2025","15.85","15.85","15.85","15.85","0.09K","-1.55%"
"14/08/2025","16.10","15.90","16.10","15.85","0.12K","1.26%"
"13/08/2025","15.90","16.05","16.05","15.90","0.09K","-1.24%"
"12/08/2025","16.10","16.00","16.10","15.60","0.52K","0.63%"
"11/08/2025","16.00","16.00","16.00","16.00","0.06K","1.27%"
"08/08/2025","15.80","16.10","16.10","15.80","0.51K","-1.86%"
"07/08/2025","16.10","16.10","16.10","16.10","0.01K","1.90%"
"06/08/2025","15.80","15.80","15.80","15.80","0.10K","1.28%"
"05/08/2025","15.60","15.80","15.85","15.60","0.57K","-1.27%"
"04/08/2025","15.80","15.60","15.80","15.60","0.13K","1.28%"
"01/08/2025","15.60","15.70","15.80","15.60","0.82K","-2.19%"
"31/07/2025","15.95","15.80","15.95","15.70","0.93K","-0.31%"
"30/07/2025","16.00","16.00","16.00","16.00","0.09K","-1.23%"
"29/07/2025","16.20","16.05","16.20","15.90","2.92K","-1.22%"
"28/07/2025","16.40","16.40","16.40","16.00","1.69K","0.61%"
"25/07/2025","16.30","16.30","16.30","16.30","0.22K","0.62%"
"24/07/2025","16.20","16.30","16.30","16.20","0.73K","-0.61%"
"23/07/2025","16.30","16.40","16.40","16.30","1.18K","-1.21%"
"22/07/2025","16.50","16.65","16.70","16.50","0.39K","-0.30%"
"21/07/2025","16.55","15.80","16.55","15.75","20.32K","4.75%"
"18/07/2025","15.80","15.90","15.90","15.80","0.11K","-0.63%"
"17/07/2025","15.90","15.85","15.90","15.85","0.90K","0.32%"
"16/07/2025","15.85","15.85","15.85","15.85","0.07K","0.00%"
"15/07/2025","15.85","15.85","15.85","15.85","0.05K","1.28%"
"14/07/2025","15.65","15.80","15.80","15.65","0.02K","0.00%"
"11/07/2025","15.65","15.80","15.80","15.60","0.20K","-1.26%"
"10/07/2025","15.85","15.80","15.90","15.80","1.19K","0.00%"
"09/07/2025","15.85","15.90","15.90","15.85","0.15K","-0.31%"
"08/07/2025","15.90","15.90","15.90","15.90","0.12K","0.63%"
"07/07/2025","15.80","15.85","15.90","15.80","0.31K","-0.32%"
"04/07/2025","15.85","15.85","15.85","15.80","0.19K","-0.31%"
"03/07/2025","15.90","15.75","15.90","15.75","0.22K","0.95%"
"02/07/2025","15.75","15.70","15.90","15.60","0.44K","2.27%"
"01/07/2025","15.40","15.40","15.70","15.25","1.01K","0.00%"
"30/06/2025","15.40","15.40","15.40","15.40","0.00K","0.00%"
"27/06/2025","15.40","15.10","15.40","15.05","1.10K","2.67%"
"26/06/2025","15.00","15.30","15.30","15.00","0.07K","-1.96%"
"25/06/2025","15.30","15.00","15.30","15.00","0.08K","2.68%"
"24/06/2025","14.90","14.90","15.00","14.85","0.86K","0.00%"
"23/06/2025","14.90","14.90","15.00","14.90","0.05K","0.68%"
"20/06/2025","14.80","14.75","15.00","14.75","0.12K","0.00%"
"18/06/2025","14.80","15.05","15.05","14.45","4.41K","-1.66%"
"17/06/2025","15.05","15.25","15.70","15.05","1.54K","-0.66%"
"16/06/2025","15.15","15.30","15.30","15.15","0.34K","-0.98%"
"13/06/2025","15.30","15.70","15.70","15.30","0.56K","0.00%"
"12/06/2025","15.30","15.55","15.70","15.30","0.26K","-1.92%"
"11/06/2025","15.60","15.60","15.60","15.30","0.29K","0.00%"
"10/06/2025","15.60","15.30","15.60","15.25","0.15K","1.96%"
