"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","0.460","0.468","0.468","0.460","5.67K","0.00%"
"29/09/2025","0.460","0.470","0.470","0.450","3.83K","1.77%"
"26/09/2025","0.452","0.460","0.470","0.446","34.28K","-4.64%"
"25/09/2025","0.474","0.447","0.474","0.446","9.88K","1.94%"
"24/09/2025","0.465","0.467","0.467","0.448","0.19K","-0.43%"
"23/09/2025","0.467","0.460","0.472","0.444","25.30K","1.97%"
"22/09/2025","0.458","0.490","0.490","0.444","40.75K","-6.53%"
"19/09/2025","0.490","0.498","0.499","0.475","14.85K","3.16%"
"18/09/2025","0.475","0.498","0.498","0.475","21.86K","-1.04%"
"17/09/2025","0.480","0.500","0.500","0.480","82.80K","-4.00%"
"16/09/2025","0.500","0.483","0.500","0.483","28.99K","0.00%"
"15/09/2025","0.500","0.500","0.500","0.483","2.59K","2.04%"
"12/09/2025","0.490","0.506","0.506","0.490","8.72K","-3.16%"
"11/09/2025","0.506","0.504","0.510","0.490","14.10K","0.40%"
"10/09/2025","0.504","0.500","0.504","0.490","15.04K","0.80%"
"09/09/2025","0.500","0.522","0.522","0.490","16.28K","-4.21%"
"08/09/2025","0.522","0.499","0.522","0.499","1.48K","-0.38%"
"05/09/2025","0.524","0.526","0.526","0.494","14.44K","1.16%"
"04/09/2025","0.518","0.518","0.518","0.492","9.06K","0.00%"
"03/09/2025","0.518","0.508","0.518","0.481","33.34K","4.65%"
"02/09/2025","0.495","0.520","0.520","0.481","28.38K","-3.32%"
"01/09/2025","0.512","0.534","0.534","0.481","101.07K","-4.12%"
"29/08/2025","0.534","0.530","0.540","0.504","21.64K","0.75%"
"28/08/2025","0.530","0.512","0.530","0.504","5.75K","3.11%"
"27/08/2025","0.514","0.538","0.538","0.504","10.58K","-4.10%"
"26/08/2025","0.536","0.538","0.538","0.504","5.07K","-0.37%"
"25/08/2025","0.538","0.548","0.548","0.502","34.60K","-0.37%"
"22/08/2025","0.540","0.546","0.546","0.514","16.02K","-1.10%"
"21/08/2025","0.546","0.530","0.548","0.498","50.02K","3.02%"
"20/08/2025","0.530","0.550","0.550","0.520","14.23K","-3.64%"
"19/08/2025","0.550","0.570","0.570","0.530","16.69K","3.77%"
"18/08/2025","0.530","0.572","0.572","0.528","5.46K","-3.64%"
"14/08/2025","0.550","0.566","0.570","0.528","19.59K","0.00%"
"13/08/2025","0.550","0.566","0.568","0.540","14.92K","0.36%"
"12/08/2025","0.548","0.556","0.570","0.526","36.73K","2.62%"
"11/08/2025","0.534","0.558","0.558","0.522","12.45K","-0.37%"
"08/08/2025","0.536","0.546","0.560","0.520","63.56K","0.00%"
"07/08/2025","0.536","0.560","0.560","0.524","20.14K","-2.19%"
"06/08/2025","0.548","0.540","0.570","0.522","42.78K","1.86%"
"05/08/2025","0.538","0.530","0.546","0.514","30.13K","7.17%"
"04/08/2025","0.502","0.522","0.530","0.499","46.77K","-1.57%"
"01/08/2025","0.510","0.520","0.536","0.493","31.96K","1.59%"
"31/07/2025","0.502","0.497","0.538","0.490","88.34K","2.87%"
"30/07/2025","0.488","0.487","0.516","0.466","105.29K","-2.20%"
"29/07/2025","0.499","0.514","0.514","0.484","37.45K","-2.92%"
"28/07/2025","0.514","0.502","0.522","0.482","59.44K","-1.53%"
"25/07/2025","0.522","0.532","0.532","0.492","39.23K","-0.38%"
"24/07/2025","0.524","0.522","0.536","0.506","33.14K","-2.96%"
"23/07/2025","0.540","0.546","0.546","0.524","28.75K","3.05%"
"22/07/2025","0.524","0.548","0.548","0.524","36.15K","-4.03%"
"21/07/2025","0.546","0.524","0.550","0.522","112.61K","2.63%"
"18/07/2025","0.532","0.572","0.600","0.532","118.55K","-6.99%"
"17/07/2025","0.572","0.564","0.596","0.510","396.67K","-4.67%"
"16/07/2025","0.600","0.612","0.612","0.554","50.24K","3.09%"
"15/07/2025","0.582","0.592","0.650","0.556","96.01K","-3.00%"
"14/07/2025","0.600","0.620","0.672","0.558","392.85K","-1.64%"
"11/07/2025","0.610","0.598","0.610","0.550","405.71K","38.64%"
"10/07/2025","0.440","0.434","0.440","0.400","26.09K","25.71%"
"09/07/2025","0.350","0.386","0.386","0.350","96.18K","-14.63%"
"08/07/2025","0.410","0.432","0.432","0.410","23.09K","-5.53%"
"07/07/2025","0.434","0.436","0.436","0.434","51.24K","-16.54%"
"04/07/2025","0.520","0.544","0.544","0.520","22.83K","0.00%"
"03/07/2025","0.520","0.480","0.520","0.480","67.39K","-22.85%"
"02/05/2025","0.674","0.650","0.694","0.650","228.64K","-4.80%"
"30/04/2025","0.708","0.736","0.736","0.680","172.59K","-3.01%"
"29/04/2025","0.730","0.688","0.756","0.634","1.24M","8.63%"
"28/04/2025","0.672","0.660","0.710","0.650","321.58K","-1.18%"
"25/04/2025","0.680","0.702","0.724","0.650","584.04K","-6.85%"
"24/04/2025","0.730","0.742","0.780","0.700","576.16K","-1.35%"
"23/04/2025","0.740","0.660","0.764","0.632","1.12M","12.12%"
"22/04/2025","0.660","0.798","0.800","0.660","1.09M","-17.50%"
"17/04/2025","0.800","0.670","0.800","0.604","1.36M","26.98%"
"16/04/2025","0.630","0.480","0.630","0.480","1.01M","31.25%"
"15/04/2025","0.480","0.482","0.482","0.453","197.83K","-0.21%"
"14/04/2025","0.481","0.516","0.516","0.480","168.06K","-6.42%"
"11/04/2025","0.514","0.500","0.520","0.481","137.04K","-1.15%"
"10/04/2025","0.520","0.556","0.558","0.480","360.29K","-1.89%"
"09/04/2025","0.530","0.594","0.594","0.526","632.96K","-10.77%"
"08/04/2025","0.594","0.620","0.620","0.552","487.97K","-5.11%"
"07/04/2025","0.626","0.638","0.654","0.530","405.32K","-1.88%"
"04/04/2025","0.638","0.610","0.664","0.606","355.33K","3.57%"
"03/04/2025","0.616","0.566","0.648","0.566","569.13K","8.83%"
"02/04/2025","0.566","0.610","0.628","0.526","586.95K","-3.41%"
"01/04/2025","0.586","0.472","0.606","0.472","1.31M","24.15%"
"31/03/2025","0.472","0.516","0.530","0.470","473.80K","-7.81%"
"28/03/2025","0.512","0.668","0.670","0.504","1.47M","-17.15%"
"27/03/2025","0.618","0.466","0.618","0.440","2.53M","40.45%"
"26/03/2025","0.440","0.330","0.440","0.330","721.46K","33.33%"
"25/03/2025","0.330","0.342","0.342","0.330","7.69K","-2.94%"
"24/03/2025","0.340","0.345","0.349","0.340","24.34K","-1.45%"
"21/03/2025","0.345","0.344","0.345","0.344","14.02K","0.29%"
"20/03/2025","0.344","0.337","0.344","0.333","6.53K","-0.29%"
"19/03/2025","0.345","0.343","0.345","0.343","0.44K","0.58%"
"18/03/2025","0.343","0.334","0.350","0.333","14.76K","0.29%"
"17/03/2025","0.342","0.347","0.347","0.334","9.17K","-1.44%"
"14/03/2025","0.347","0.332","0.350","0.332","17.09K","-0.57%"
"13/03/2025","0.349","0.341","0.350","0.336","10.04K","2.35%"
