"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","15.00","15.00","15.25","15.00","3.98K","0.00%"
"29/09/2025","15.00","15.20","15.35","15.00","4.46K","-1.32%"
"26/09/2025","15.20","15.50","15.50","15.05","3.29K","0.00%"
"25/09/2025","15.20","15.40","15.40","15.15","6.13K","-1.30%"
"24/09/2025","15.40","15.55","15.60","15.35","4.04K","-0.96%"
"23/09/2025","15.55","15.60","15.60","15.45","4.28K","-0.64%"
"22/09/2025","15.65","15.75","15.75","15.15","8.33K","-0.95%"
"19/09/2025","15.80","15.50","15.80","15.25","15.78K","3.27%"
"18/09/2025","15.30","16.15","16.15","14.95","58.35K","-6.71%"
"17/09/2025","16.40","16.40","16.40","16.30","1.66K","0.00%"
"16/09/2025","16.40","16.45","16.60","16.30","3.32K","0.61%"
"15/09/2025","16.30","16.50","16.80","16.30","4.62K","-0.91%"
"12/09/2025","16.45","16.75","16.75","16.45","0.92K","-0.30%"
"11/09/2025","16.50","16.70","16.75","16.50","0.41K","0.61%"
"10/09/2025","16.40","16.90","16.90","16.40","1.51K","-2.96%"
"09/09/2025","16.90","16.60","16.90","16.60","2.80K","1.81%"
"08/09/2025","16.60","16.60","16.85","16.60","10.64K","-1.48%"
"05/09/2025","16.85","16.90","17.10","16.50","39.01K","2.12%"
"04/09/2025","16.50","16.75","16.90","16.35","6.85K","-1.20%"
"03/09/2025","16.70","16.85","16.85","16.45","5.98K","-0.89%"
"02/09/2025","16.85","16.80","16.85","16.60","1.49K","0.00%"
"01/09/2025","16.85","17.00","17.00","16.75","0.85K","-0.88%"
"29/08/2025","17.00","17.10","17.10","16.70","0.64K","0.89%"
"28/08/2025","16.85","17.00","17.05","16.80","0.49K","0.30%"
"27/08/2025","16.80","17.10","17.10","16.60","6.69K","0.60%"
"26/08/2025","16.70","16.95","16.95","16.70","2.51K","-0.60%"
"25/08/2025","16.80","17.25","17.25","16.75","0.76K","-0.59%"
"22/08/2025","16.90","17.05","17.35","16.85","2.66K","-2.87%"
"21/08/2025","17.40","17.70","17.70","17.00","2.19K","0.58%"
"20/08/2025","17.30","17.50","18.00","17.25","4.52K","-0.86%"
"19/08/2025","17.45","17.40","17.50","17.15","13.38K","0.58%"
"18/08/2025","17.35","17.50","17.50","17.00","1.33K","-0.29%"
"14/08/2025","17.40","16.80","18.00","16.80","8.49K","2.96%"
"13/08/2025","16.90","17.20","17.30","16.90","2.05K","-2.31%"
"12/08/2025","17.30","16.90","17.30","16.80","29.23K","3.59%"
"11/08/2025","16.70","16.25","16.90","16.25","6.86K","3.09%"
"08/08/2025","16.20","16.95","17.00","16.20","39.51K","-3.28%"
"07/08/2025","16.75","16.90","16.95","16.65","1.43K","-0.89%"
"06/08/2025","16.90","16.90","17.00","16.65","2.98K","1.50%"
"05/08/2025","16.65","17.00","17.00","16.65","1.96K","-0.60%"
"04/08/2025","16.75","16.80","17.00","16.75","5.90K","-2.05%"
"01/08/2025","17.10","17.00","17.10","16.60","10.05K","-1.16%"
"31/07/2025","17.30","17.35","17.40","17.20","0.36K","-0.57%"
"30/07/2025","17.40","17.20","17.40","17.00","1.10K","0.58%"
"29/07/2025","17.30","17.30","17.40","17.00","3.44K","1.17%"
"28/07/2025","17.10","18.00","18.20","16.75","17.40K","-5.00%"
"25/07/2025","18.00","17.75","18.20","17.65","17.63K","1.41%"
"24/07/2025","17.75","17.90","17.95","17.35","7.91K","-0.84%"
"23/07/2025","17.90","17.80","17.90","17.65","2.94K","0.28%"
"22/07/2025","17.85","18.00","18.00","17.50","12.63K","-2.46%"
"21/07/2025","18.30","18.25","18.30","18.00","1.75K","0.83%"
"18/07/2025","18.15","17.90","18.30","17.90","3.47K","0.83%"
"17/07/2025","18.00","18.30","18.30","18.00","1.03K","-1.10%"
"16/07/2025","18.20","17.85","18.20","17.75","14.28K","2.54%"
"15/07/2025","17.75","17.15","17.75","17.15","4.89K","3.50%"
"14/07/2025","17.15","17.45","17.45","16.55","24.44K","-1.72%"
"11/07/2025","17.45","17.45","17.50","17.25","2.00K","0.00%"
"10/07/2025","17.45","17.70","17.85","17.10","6.07K","0.29%"
"09/07/2025","17.40","17.70","18.00","17.40","4.21K","-1.69%"
"08/07/2025","17.70","17.95","17.95","17.50","7.29K","-1.39%"
"07/07/2025","17.95","17.85","18.00","17.60","0.81K","0.84%"
"04/07/2025","17.80","18.00","18.10","17.35","8.00K","-1.11%"
"03/07/2025","18.00","18.25","18.25","17.90","2.22K","-1.37%"
"02/07/2025","18.25","18.00","18.25","17.90","1.24K","1.39%"
"01/07/2025","18.00","18.35","18.35","18.00","80.30K","-1.10%"
"30/06/2025","18.20","18.10","18.40","18.10","1.78K","0.00%"
"27/06/2025","18.20","18.30","18.45","18.20","0.39K","-0.55%"
"26/06/2025","18.30","18.00","18.35","18.00","2.52K","-0.27%"
"25/06/2025","18.35","18.50","18.55","18.00","2.87K","0.27%"
"24/06/2025","18.30","18.30","18.45","18.10","2.57K","-1.35%"
"23/06/2025","18.55","18.40","18.60","18.25","16.08K","0.82%"
"20/06/2025","18.40","18.20","18.45","18.20","1.31K","-0.27%"
"18/06/2025","18.45","18.25","18.45","18.20","1.48K","0.00%"
"17/06/2025","18.45","18.45","18.45","18.25","0.95K","0.00%"
"16/06/2025","18.45","18.70","18.70","18.25","3.83K","-1.34%"
"13/06/2025","18.70","18.70","18.80","18.50","1.08K","-0.27%"
"12/06/2025","18.75","18.45","18.80","18.45","0.82K","0.81%"
"11/06/2025","18.60","18.45","18.80","18.40","5.80K","-0.27%"
"10/06/2025","18.65","18.80","18.80","18.40","1.86K","-0.53%"
"09/06/2025","18.75","18.50","18.80","18.40","44.94K","0.54%"
