"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","1.81","1.84","1.84","1.75","61.75K","-0.28%"
"29/09/2025","1.82","1.84","1.88","1.80","35.67K","0.00%"
"26/09/2025","1.82","1.80","1.86","1.79","95.10K","1.68%"
"25/09/2025","1.78","1.86","1.88","1.77","100.59K","-2.99%"
"24/09/2025","1.84","1.82","1.97","1.82","239.05K","3.37%"
"23/09/2025","1.78","1.84","1.84","1.75","118.43K","-3.26%"
"22/09/2025","1.84","1.83","1.91","1.80","86.44K","0.55%"
"19/09/2025","1.83","1.90","1.90","1.82","137.37K","-3.94%"
"18/09/2025","1.90","1.93","1.95","1.87","165.06K","-1.30%"
"17/09/2025","1.93","1.95","2.04","1.90","461.48K","-0.52%"
"16/09/2025","1.94","1.91","2.07","1.90","1.17M","6.01%"
"15/09/2025","1.83","1.78","1.85","1.75","397.24K","4.87%"
"12/09/2025","1.75","1.76","1.88","1.64","664.99K","-0.85%"
"11/09/2025","1.76","1.70","2.04","1.52","2.50M","7.32%"
"10/09/2025","1.64","1.30","1.65","1.30","1.38M","32.26%"
"09/09/2025","1.24","1.23","1.25","1.20","80.11K","0.81%"
"08/09/2025","1.23","1.21","1.23","1.19","57.02K","1.23%"
"05/09/2025","1.22","1.21","1.24","1.20","60.99K","0.00%"
"04/09/2025","1.21","1.23","1.25","1.21","134.35K","3.42%"
"03/09/2025","1.17","1.19","1.22","1.17","40.91K","-2.50%"
"02/09/2025","1.20","1.21","1.22","1.16","42.31K","-0.83%"
"01/09/2025","1.21","1.22","1.23","1.15","71.06K","0.00%"
"29/08/2025","1.22","1.25","1.25","1.16","90.92K","-1.22%"
"28/08/2025","1.23","1.32","1.33","1.21","200.06K","-1.99%"
"27/08/2025","1.25","1.33","1.39","1.25","329.63K","-1.18%"
"26/08/2025","1.27","1.27","1.30","1.25","35.27K","-1.93%"
"25/08/2025","1.29","1.32","1.33","1.26","46.53K","-1.15%"
"22/08/2025","1.31","1.30","1.35","1.26","162.64K","0.77%"
"21/08/2025","1.30","1.39","1.42","1.28","297.00K","-9.09%"
"20/08/2025","1.43","1.51","1.51","1.39","211.34K","-2.72%"
