"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","10.850","10.900","11.000","10.600","5.43K","-0.91%"
"29/09/2025","10.950","10.950","11.100","10.800","18.80K","0.00%"
"26/09/2025","10.950","11.100","11.100","10.600","28.63K","-1.35%"
"25/09/2025","11.100","11.150","11.150","11.000","8.29K","-0.45%"
"24/09/2025","11.150","11.200","11.200","10.900","9.23K","-0.45%"
"23/09/2025","11.200","11.300","11.350","11.000","43.80K","-1.75%"
"22/09/2025","11.400","11.700","11.700","11.350","8.93K","-2.56%"
"19/09/2025","11.700","11.450","11.700","11.350","13.08K","2.18%"
"18/09/2025","11.450","11.450","11.600","11.350","14.24K","2.23%"
"17/09/2025","11.200","11.600","11.600","11.200","158.42K","-3.45%"
"16/09/2025","11.600","11.550","11.600","11.300","12.46K","-0.85%"
"15/09/2025","11.700","11.650","11.700","11.500","13.76K","0.43%"
"12/09/2025","11.650","11.600","11.700","11.550","10.37K","2.19%"
"11/09/2025","11.400","11.500","11.550","11.100","4.35K","-0.44%"
"10/09/2025","11.450","11.700","11.700","10.900","5.89K","-2.14%"
"09/09/2025","11.700","11.700","11.700","11.500","16.97K","0.00%"
"08/09/2025","11.700","11.500","11.750","11.450","6.40K","1.74%"
"05/09/2025","11.500","11.400","11.550","11.200","8.75K","0.44%"
"04/09/2025","11.450","11.300","11.450","11.000","8.29K","1.33%"
"03/09/2025","11.300","11.400","11.450","11.150","7.89K","-0.88%"
"02/09/2025","11.400","11.400","11.500","10.850","28.66K","2.70%"
"01/09/2025","11.100","11.450","11.600","11.000","30.47K","-3.06%"
"29/08/2025","11.450","11.900","11.900","11.200","41.88K","-3.78%"
"28/08/2025","11.900","11.850","11.950","11.850","2.73K","0.00%"
"27/08/2025","11.900","11.900","12.000","11.850","15.13K","-0.83%"
"26/08/2025","12.000","12.100","12.100","11.900","5.73K","-1.23%"
"25/08/2025","12.150","12.000","12.150","11.900","5.48K","0.83%"
"22/08/2025","12.050","12.000","12.100","11.950","3.51K","0.00%"
"21/08/2025","12.050","11.850","12.100","11.850","7.96K","1.26%"
"20/08/2025","11.900","12.350","12.350","11.900","24.83K","-3.25%"
"19/08/2025","12.300","11.850","12.350","11.750","13.68K","4.24%"
"18/08/2025","11.800","11.900","12.000","11.800","31.44K","0.00%"
"14/08/2025","11.800","12.050","12.200","11.700","397.12K","-2.07%"
"13/08/2025","12.050","12.050","12.050","11.750","78.45K","0.42%"
"12/08/2025","12.000","11.650","12.250","11.250","45.68K","3.45%"
"11/08/2025","11.600","11.400","11.600","11.400","213.31K","1.75%"
"08/08/2025","11.400","11.500","11.500","11.000","10.86K","0.44%"
"07/08/2025","11.350","11.500","11.500","11.350","2.93K","-1.30%"
"06/08/2025","11.500","11.400","11.500","11.350","10.17K","1.32%"
"05/08/2025","11.350","10.950","11.500","10.950","32.75K","1.79%"
"04/08/2025","11.150","10.900","11.150","10.700","8.76K","4.21%"
"01/08/2025","10.700","10.750","11.100","10.700","13.21K","-3.60%"
