"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","7.10","7.45","7.85","6.80","31.19K","-4.70%"
"29/09/2025","7.45","6.35","7.45","6.35","13.78K","19.20%"
"26/09/2025","6.25","5.95","6.30","5.95","43.74K","12.61%"
"25/09/2025","5.55","5.90","5.90","5.55","10.35K","-5.93%"
"24/09/2025","5.90","5.50","5.90","5.50","11.12K","7.27%"
"23/09/2025","5.50","6.00","6.00","5.50","5.41K","-8.33%"
"22/09/2025","6.00","6.00","6.00","6.00","0.00K","0.84%"
"19/09/2025","5.95","5.95","5.95","5.95","0.01K","0.00%"
"18/09/2025","5.95","5.95","5.95","5.95","0.00K","-0.83%"
"17/09/2025","6.00","6.00","6.00","6.00","0.00K","3.45%"
"16/09/2025","5.80","5.90","5.90","5.80","1.17K","-3.33%"
"15/09/2025","6.00","5.50","6.00","5.50","9.69K","8.11%"
"12/09/2025","5.55","5.70","5.70","5.30","5.87K","-3.48%"
"11/09/2025","5.75","6.00","6.00","5.70","5.81K","-2.54%"
"10/09/2025","5.90","5.85","6.30","5.85","9.64K","0.00%"
"09/09/2025","5.90","5.80","5.90","5.80","0.54K","2.61%"
"08/09/2025","5.75","6.00","6.30","5.75","13.50K","1.77%"
"05/09/2025","5.65","5.70","5.90","5.65","1.92K","-2.59%"
"04/09/2025","5.80","5.55","5.95","5.55","6.56K","4.50%"
"03/09/2025","5.55","5.50","5.55","5.50","8.23K","0.00%"
"02/09/2025","5.55","5.65","5.80","5.50","7.22K","-3.48%"
"01/09/2025","5.75","5.70","5.75","5.55","4.08K","-0.86%"
"29/08/2025","5.80","5.90","5.90","5.80","4.09K","-3.33%"
"28/08/2025","6.00","6.25","6.25","6.00","9.68K","-4.76%"
"27/08/2025","6.30","6.30","6.30","6.25","3.66K","-1.56%"
"26/08/2025","6.40","6.45","6.50","6.40","2.59K","-5.19%"
"25/08/2025","6.75","6.80","6.80","6.30","2.15K","5.47%"
"22/08/2025","6.40","6.85","6.85","6.35","2.33K","-5.88%"
"21/08/2025","6.80","6.80","6.80","6.30","2.72K","5.43%"
