"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","98.000","100.000","101.500","96.200","3.09K","-2.00%"
"29/09/2025","100.000","102.500","103.000","99.000","4.64K","-1.96%"
"26/09/2025","102.000","104.500","104.500","100.000","2.11K","-0.97%"
"25/09/2025","103.000","106.000","106.500","103.000","3.24K","-2.83%"
"24/09/2025","106.000","107.000","107.000","103.000","4.92K","-1.40%"
"23/09/2025","107.500","108.000","108.000","106.500","0.75K","0.00%"
"22/09/2025","107.500","108.000","108.000","106.000","1.24K","-0.46%"
"19/09/2025","108.000","109.500","110.000","106.000","3.18K","-1.37%"
"18/09/2025","109.500","108.500","110.000","107.000","1.35K","0.92%"
"17/09/2025","108.500","109.000","110.000","106.000","1.95K","-0.46%"
"16/09/2025","109.000","109.500","110.000","107.500","1.14K","0.00%"
"15/09/2025","109.000","108.000","110.500","108.000","2.48K","0.93%"
"12/09/2025","108.000","109.500","111.500","107.000","3.26K","0.47%"
"11/09/2025","107.500","108.000","111.500","107.500","1.71K","-0.46%"
"10/09/2025","108.000","114.000","114.000","107.000","1.78K","-4.42%"
"09/09/2025","113.000","111.000","113.000","107.000","3.44K","2.73%"
"08/09/2025","110.000","114.000","114.500","110.000","2.54K","-1.79%"
"05/09/2025","112.000","110.000","117.500","109.500","6.86K","1.82%"
"04/09/2025","110.000","108.000","110.000","107.000","1.15K","1.85%"
"03/09/2025","108.000","105.500","109.500","105.500","1.08K","0.93%"
"02/09/2025","107.000","105.500","108.500","105.000","0.55K","1.42%"
"01/09/2025","105.500","107.000","108.500","105.000","2.14K","-2.76%"
"29/08/2025","108.500","109.000","109.000","107.000","0.37K","0.00%"
"28/08/2025","108.500","108.000","109.500","106.000","0.76K","-1.36%"
"27/08/2025","110.000","107.500","110.000","107.000","0.30K","2.33%"
"26/08/2025","107.500","110.000","111.000","103.500","1.11K","-3.15%"
"25/08/2025","111.000","110.000","111.000","109.500","1.49K","0.91%"
"22/08/2025","110.000","108.500","111.000","107.000","1.07K","0.92%"
"21/08/2025","109.000","108.000","110.000","106.000","1.47K","0.46%"
"20/08/2025","108.500","108.000","110.000","106.000","2.06K","0.46%"
"19/08/2025","108.000","104.000","108.000","98.400","6.52K","3.85%"
"18/08/2025","104.000","108.500","109.500","103.000","7.47K","-3.70%"
"14/08/2025","108.000","109.000","109.000","106.000","1.77K","-0.92%"
"13/08/2025","109.000","106.000","110.000","106.000","2.98K","2.35%"
"12/08/2025","106.500","107.500","109.000","106.000","2.89K","-4.05%"
"11/08/2025","111.000","111.500","113.000","105.000","2.05K","-1.33%"
"08/08/2025","112.500","111.000","113.000","110.000","3.81K","1.35%"
"07/08/2025","111.000","109.500","112.500","109.500","5.75K","2.78%"
"06/08/2025","108.000","107.000","108.500","106.000","1.17K","0.93%"
"05/08/2025","107.000","110.500","110.500","104.000","5.50K","-2.73%"
"04/08/2025","110.000","111.000","111.000","108.000","4.66K","-0.45%"
"01/08/2025","110.500","115.000","118.000","110.000","4.72K","-5.56%"
"31/07/2025","117.000","118.000","118.000","116.000","1.17K","-0.85%"
"30/07/2025","118.000","116.000","118.000","116.000","1.33K","1.72%"
"29/07/2025","116.000","115.000","117.000","113.500","5.05K","0.87%"
"28/07/2025","115.000","115.000","115.500","113.000","0.94K","0.00%"
"25/07/2025","115.000","115.000","115.500","113.000","1.76K","0.00%"
"24/07/2025","115.000","112.500","115.000","112.000","18.00K","2.22%"
"23/07/2025","112.500","107.000","112.500","106.000","7.98K","4.65%"
"22/07/2025","107.500","108.000","108.500","106.500","0.39K","-1.38%"
"21/07/2025","109.000","110.000","111.000","106.000","2.07K","-0.91%"
"18/07/2025","110.000","109.000","111.000","107.500","0.49K","0.46%"
"17/07/2025","109.500","111.000","112.000","109.500","1.45K","-1.35%"
"16/07/2025","111.000","108.500","111.000","108.000","1.76K","3.74%"
"15/07/2025","107.000","112.500","112.500","104.500","3.47K","-4.46%"
"14/07/2025","112.000","116.000","116.000","109.500","2.18K","-3.45%"
"11/07/2025","116.000","115.000","116.000","110.000","1.78K","0.00%"
"10/07/2025","116.000","113.000","119.000","110.000","2.99K","2.65%"
"09/07/2025","113.000","113.000","119.000","111.500","3.21K","-2.16%"
"08/07/2025","115.500","113.000","116.000","111.500","2.94K","2.21%"
"07/07/2025","113.000","109.500","114.000","109.500","3.94K","3.20%"
"04/07/2025","109.500","105.500","110.000","105.500","1.29K","3.79%"
"03/07/2025","105.500","112.000","112.000","105.000","4.46K","-5.38%"
"02/07/2025","111.500","111.500","114.000","110.000","3.71K","0.00%"
"01/07/2025","111.500","115.000","115.000","110.000","2.32K","-2.62%"
"30/06/2025","114.500","116.000","118.000","113.500","8.84K","-1.29%"
"27/06/2025","116.000","116.500","117.000","112.000","5.58K","-0.43%"
"26/06/2025","116.500","118.000","118.000","116.000","1.32K","0.00%"
"25/06/2025","116.500","117.500","119.000","116.000","2.77K","0.43%"
"24/06/2025","116.000","111.000","119.000","109.000","10.10K","4.98%"
"23/06/2025","110.500","105.500","110.500","104.000","4.62K","4.74%"
"20/06/2025","105.500","105.000","105.500","102.000","5.48K","2.43%"
"18/06/2025","103.000","101.000","105.500","101.000","4.46K","0.00%"
