"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","6.50","6.50","6.50","6.50","1.97K","0.00%"
"29/09/2025","6.50","6.30","6.50","6.24","0.18K","3.17%"
"26/09/2025","6.30","6.46","6.50","6.30","0.11K","-3.08%"
"24/09/2025","6.50","6.50","6.50","6.50","0.01K","0.00%"
"23/09/2025","6.50","6.46","6.50","6.32","1.03K","0.31%"
"22/09/2025","6.48","6.48","6.48","6.48","0.03K","0.00%"
"19/09/2025","6.48","6.44","6.48","6.44","0.07K","0.62%"
"18/09/2025","6.44","6.12","6.48","6.12","0.74K","5.57%"
"17/09/2025","6.10","6.12","6.12","6.10","0.14K","-1.61%"
"16/09/2025","6.20","6.20","6.20","6.20","0.02K","0.65%"
"11/09/2025","6.16","6.16","6.18","6.02","0.89K","0.00%"
"10/09/2025","6.16","6.38","6.38","6.16","1.23K","-3.45%"
"09/09/2025","6.38","6.38","6.38","6.38","0.01K","0.00%"
"08/09/2025","6.38","6.38","6.38","6.38","0.01K","0.00%"
"05/09/2025","6.38","6.38","6.38","6.38","0.01K","0.00%"
"04/09/2025","6.38","6.38","6.38","6.38","0.01K","1.27%"
"02/09/2025","6.30","6.34","6.38","6.30","0.68K","-0.63%"
"01/09/2025","6.34","6.46","6.48","6.34","0.21K","-0.94%"
"29/08/2025","6.40","6.44","6.44","6.40","0.43K","0.00%"
"28/08/2025","6.40","6.42","6.42","6.40","1.21K","0.00%"
"27/08/2025","6.40","6.34","6.40","6.34","1.51K","0.31%"
"26/08/2025","6.38","6.38","6.38","6.38","0.01K","0.00%"
"25/08/2025","6.38","6.20","6.38","6.20","0.16K","2.90%"
"22/08/2025","6.20","6.20","6.36","6.20","0.83K","0.00%"
"21/08/2025","6.20","6.24","6.24","6.20","0.13K","-2.52%"
"14/08/2025","6.36","6.36","6.36","6.22","0.01K","0.00%"
"13/08/2025","6.36","6.36","6.36","6.36","0.01K","2.25%"
"12/08/2025","6.22","6.22","6.22","6.22","0.00K","-1.27%"
"11/08/2025","6.30","6.42","6.44","6.30","0.10K","-1.87%"
"08/08/2025","6.42","6.24","6.42","6.24","0.02K","2.88%"
"07/08/2025","6.24","6.40","6.40","6.24","0.04K","-3.11%"
