"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","2.35","2.35","2.35","2.35","0.00K","0.00%"
"29/09/2025","2.35","2.35","2.35","2.33","0.26K","0.86%"
"26/09/2025","2.33","2.35","2.35","2.33","3.88K","-0.85%"
"25/09/2025","2.35","2.39","2.39","2.33","5.06K","0.43%"
"24/09/2025","2.34","2.39","2.40","2.34","3.27K","-0.43%"
"23/09/2025","2.35","2.41","2.41","2.34","2.92K","-2.49%"
"22/09/2025","2.41","2.37","2.44","2.37","20.02K","1.26%"
"19/09/2025","2.38","2.26","2.38","2.25","23.01K","5.78%"
"18/09/2025","2.25","2.26","2.26","2.25","4.50K","0.00%"
"17/09/2025","2.25","2.35","2.35","2.25","2.21K","0.90%"
"16/09/2025","2.23","2.29","2.35","2.21","15.16K","0.00%"
"15/09/2025","2.23","2.31","2.31","2.23","3.01K","-0.45%"
"12/09/2025","2.24","2.25","2.25","2.24","1.13K","-0.44%"
"11/09/2025","2.25","2.32","2.32","2.24","7.10K","0.00%"
"10/09/2025","2.25","2.36","2.36","2.25","12.74K","-3.85%"
"09/09/2025","2.34","2.36","2.36","2.29","5.26K","2.63%"
"08/09/2025","2.28","2.28","2.28","2.28","0.05K","0.44%"
"05/09/2025","2.27","2.36","2.36","2.26","3.86K","-2.16%"
"04/09/2025","2.32","2.30","2.32","2.27","0.84K","0.00%"
"03/09/2025","2.32","2.36","2.36","2.26","4.58K","0.87%"
"02/09/2025","2.30","2.36","2.36","2.30","0.09K","-3.36%"
"01/09/2025","2.38","2.38","2.38","2.38","0.00K","2.15%"
"29/08/2025","2.33","2.33","2.33","2.32","1.53K","0.00%"
"28/08/2025","2.33","2.38","2.38","2.32","3.49K","0.00%"
"27/08/2025","2.33","2.39","2.39","2.33","0.81K","-2.51%"
"26/08/2025","2.39","2.39","2.39","2.39","0.00K","2.58%"
"25/08/2025","2.33","2.39","2.39","2.33","4.29K","-2.10%"
"22/08/2025","2.38","2.38","2.38","2.38","0.00K","0.00%"
"21/08/2025","2.38","2.43","2.43","2.37","9.30K","-2.06%"
"20/08/2025","2.43","2.43","2.43","2.43","0.49K","0.00%"
"19/08/2025","2.43","2.43","2.43","2.43","0.00K","0.00%"
"18/08/2025","2.43","2.43","2.43","2.43","0.84K","1.67%"
"14/08/2025","2.39","2.39","2.39","2.39","0.55K","0.00%"
"13/08/2025","2.39","2.41","2.41","2.39","6.67K","0.00%"
"12/08/2025","2.39","2.44","2.44","2.39","10.64K","-0.42%"
"11/08/2025","2.40","2.38","2.44","2.34","25.14K","0.42%"
"08/08/2025","2.39","2.33","2.40","2.31","17.86K","2.14%"
"07/08/2025","2.34","2.35","2.35","2.34","0.59K","1.74%"
"06/08/2025","2.30","2.35","2.35","2.30","0.36K","-2.13%"
"05/08/2025","2.35","2.31","2.36","2.31","13.65K","3.98%"
"04/08/2025","2.26","2.31","2.31","2.26","2.10K","-2.16%"
"01/08/2025","2.31","2.27","2.35","2.27","8.61K","2.21%"
"31/07/2025","2.26","2.26","2.26","2.26","2.99K","0.44%"
"30/07/2025","2.25","2.26","2.26","2.20","2.45K","-0.44%"
"29/07/2025","2.26","2.26","2.26","2.23","0.16K","0.44%"
"28/07/2025","2.25","2.22","2.27","2.22","0.13K","-0.88%"
"25/07/2025","2.27","2.26","2.27","2.26","0.40K","0.44%"
"24/07/2025","2.26","2.26","2.27","2.26","1.26K","0.00%"
"23/07/2025","2.26","2.26","2.26","2.21","0.20K","0.00%"
"22/07/2025","2.26","2.25","2.27","2.22","12.94K","0.00%"
"21/07/2025","2.26","2.30","2.31","2.20","16.92K","-3.00%"
"18/07/2025","2.33","2.36","2.36","2.33","0.04K","1.30%"
"17/07/2025","2.30","2.37","2.37","2.30","1.90K","1.32%"
"16/07/2025","2.27","2.38","2.38","2.27","13.00K","-4.62%"
"15/07/2025","2.38","2.38","2.38","2.38","1.07K","0.00%"
"14/07/2025","2.38","2.39","2.39","2.36","0.77K","2.59%"
"11/07/2025","2.32","2.40","2.40","2.32","7.31K","-1.28%"
"10/07/2025","2.35","2.40","2.40","2.34","3.15K","0.86%"
"09/07/2025","2.33","2.40","2.40","2.33","5.31K","-2.92%"
"08/07/2025","2.40","2.40","2.40","2.40","0.02K","1.69%"
"07/07/2025","2.36","2.39","2.40","2.36","5.61K","-1.26%"
"04/07/2025","2.39","2.39","2.39","2.39","0.06K","-0.42%"
"03/07/2025","2.40","2.40","2.40","2.37","1.35K","2.13%"
"02/07/2025","2.35","2.40","2.40","2.35","0.01K","-2.08%"
"01/07/2025","2.40","2.27","2.43","2.27","8.55K","-0.83%"
"30/06/2025","2.42","2.45","2.45","2.42","3.59K","-0.41%"
"27/06/2025","2.43","2.49","2.49","2.43","1.93K","-0.82%"
"26/06/2025","2.45","2.45","2.45","2.45","0.01K","-1.61%"
"25/06/2025","2.49","2.49","2.49","2.49","0.01K","1.22%"
