"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","44.60","46.60","46.60","43.30","0.84K","-4.50%"
"29/09/2025","46.70","46.90","46.90","46.70","0.04K","-0.43%"
"26/09/2025","46.90","46.50","46.90","45.70","0.11K","0.86%"
"25/09/2025","46.50","46.50","46.60","46.50","0.11K","-0.21%"
"24/09/2025","46.60","46.70","46.70","46.60","0.02K","2.64%"
"23/09/2025","45.40","47.90","48.00","45.30","2.11K","-7.16%"
"22/09/2025","48.90","49.00","49.00","48.90","0.03K","-0.20%"
"19/09/2025","49.00","48.30","49.00","48.10","0.38K","1.45%"
"18/09/2025","48.30","47.40","49.00","46.90","0.14K","-1.02%"
"17/09/2025","48.80","48.80","48.80","48.00","0.06K","0.00%"
"16/09/2025","48.80","49.60","49.60","46.00","0.30K","-2.20%"
"15/09/2025","49.90","49.60","50.00","47.60","0.70K","-2.16%"
"12/09/2025","51.00","49.70","51.00","47.00","0.12K","4.08%"
"11/09/2025","49.00","49.20","49.20","45.10","0.66K","-1.61%"
"10/09/2025","49.80","49.80","49.80","49.80","0.05K","-2.73%"
"09/09/2025","51.20","51.00","51.40","49.80","0.18K","1.99%"
"08/09/2025","50.20","49.80","51.60","49.80","0.03K","-1.57%"
"05/09/2025","51.00","50.80","51.00","50.80","0.06K","0.39%"
"04/09/2025","50.80","50.00","50.80","49.60","0.26K","-0.39%"
"03/09/2025","51.00","51.00","51.00","51.00","0.01K","0.00%"
"02/09/2025","51.00","51.00","51.00","51.00","0.10K","-1.16%"
"01/09/2025","51.60","51.60","51.60","51.60","0.01K","0.00%"
"28/08/2025","51.60","50.40","52.00","50.40","0.02K","1.98%"
"27/08/2025","50.60","49.80","50.80","48.00","0.35K","-0.39%"
"26/08/2025","50.80","52.40","52.40","49.60","0.07K","-2.31%"
"25/08/2025","52.00","50.80","53.00","50.00","0.25K","-1.14%"
"22/08/2025","52.60","53.00","53.00","50.60","0.19K","-0.75%"
"21/08/2025","53.00","52.20","53.00","50.80","0.18K","1.53%"
"20/08/2025","52.20","52.20","52.20","52.00","0.01K","0.00%"
"19/08/2025","52.20","50.80","52.20","50.60","0.04K","0.77%"
"18/08/2025","51.80","52.40","52.60","50.60","0.07K","-1.52%"
"14/08/2025","52.60","51.80","52.60","50.60","0.05K","1.54%"
"13/08/2025","51.80","50.80","54.00","50.60","0.17K","1.97%"
"12/08/2025","50.80","51.80","51.80","50.80","0.03K","-2.31%"
"11/08/2025","52.00","52.40","52.40","51.00","0.08K","-0.76%"
"08/08/2025","52.40","52.80","52.80","50.80","0.14K","1.95%"
"07/08/2025","51.40","52.00","53.00","51.40","0.04K","-1.15%"
"06/08/2025","52.00","54.00","54.00","49.70","0.54K","-3.70%"
"05/08/2025","54.00","52.00","54.00","52.00","0.63K","8.00%"
"04/08/2025","50.00","51.20","52.60","50.00","0.05K","-3.47%"
"01/08/2025","51.80","52.00","52.60","51.40","0.11K","-0.38%"
"31/07/2025","52.00","52.40","52.40","51.00","0.21K","-0.76%"
"30/07/2025","52.40","52.40","52.40","52.40","0.00K","0.00%"
"29/07/2025","52.40","50.80","52.40","50.80","0.09K","0.00%"
"28/07/2025","52.40","54.00","54.00","52.40","0.37K","-2.96%"
"25/07/2025","54.00","51.60","55.00","51.20","0.67K","5.06%"
"24/07/2025","51.40","48.70","51.60","48.70","0.36K","5.11%"
"23/07/2025","48.90","49.40","49.60","46.50","0.26K","2.09%"
"22/07/2025","47.90","48.90","49.00","47.90","0.04K","-2.24%"
"21/07/2025","49.00","49.00","49.50","47.50","0.09K","-0.20%"
"18/07/2025","49.10","49.00","49.10","48.10","0.02K","-0.41%"
"17/07/2025","49.30","48.10","49.30","47.90","0.02K","0.61%"
"16/07/2025","49.00","48.30","49.00","48.10","0.03K","-1.01%"
"15/07/2025","49.50","48.00","49.50","47.80","0.08K","-0.20%"
"14/07/2025","49.60","49.60","50.00","49.60","0.35K","0.81%"
"11/07/2025","49.20","49.20","49.20","49.00","0.05K","-0.20%"
"10/07/2025","49.30","47.00","49.30","47.00","0.14K","3.57%"
"09/07/2025","47.60","47.90","47.90","46.50","0.15K","-2.86%"
"08/07/2025","49.00","48.80","49.20","47.40","0.26K","0.41%"
"07/07/2025","48.80","47.00","49.50","45.50","0.24K","6.09%"
"04/07/2025","46.00","46.00","46.00","45.00","0.39K","0.44%"
"03/07/2025","45.80","46.50","46.50","45.20","0.57K","-0.43%"
"02/07/2025","46.00","51.00","52.00","45.50","3.01K","-8.00%"
"01/07/2025","50.00","52.00","55.00","48.50","1.12K","-1.96%"
"30/06/2025","51.00","53.80","53.80","50.00","0.79K","-5.20%"
"27/06/2025","53.80","54.00","54.00","52.00","0.15K","0.00%"
"26/06/2025","53.80","54.00","54.00","52.00","0.40K","0.00%"
"25/06/2025","53.80","55.00","56.60","53.80","0.55K","-0.37%"
"24/06/2025","54.00","54.60","57.20","50.00","1.83K","-1.10%"
"23/06/2025","54.60","56.00","56.00","50.40","1.73K","1.11%"
"20/06/2025","54.00","53.60","54.00","53.60","0.18K","0.37%"
"18/06/2025","53.80","50.40","54.00","48.00","0.54K","2.67%"
"17/06/2025","52.40","55.00","59.00","52.40","0.61K","-6.43%"
"16/06/2025","56.00","51.60","58.00","48.00","0.54K","14.29%"
"13/06/2025","49.00","50.00","50.00","48.00","0.83K","-2.00%"
"12/06/2025","50.00","50.00","52.00","47.10","0.75K","-1.96%"
"11/06/2025","51.00","54.00","54.00","50.00","0.30K","-2.67%"
"10/06/2025","52.40","55.00","55.00","52.40","0.34K","0.00%"
"09/06/2025","52.40","53.00","53.00","51.00","0.42K","-1.13%"
"06/06/2025","53.00","58.00","58.00","52.40","0.27K","-3.64%"
"05/06/2025","55.00","58.00","63.00","52.80","1.51K","-3.85%"
"04/06/2025","57.20","61.00","61.00","55.00","1.40K","-6.23%"
"03/06/2025","61.00","67.80","67.80","61.00","0.97K","-10.03%"
"02/06/2025","67.80","66.80","68.00","64.20","0.10K","5.94%"
"30/05/2025","64.00","71.00","71.00","63.20","2.19K","-9.86%"
"29/05/2025","71.00","75.00","75.00","70.00","0.98K","-5.33%"
"28/05/2025","75.00","75.00","75.00","74.80","0.13K","0.00%"
"27/05/2025","75.00","79.00","79.00","74.00","0.87K","-5.06%"
"26/05/2025","79.00","76.00","81.60","76.00","0.12K","-2.47%"
"23/05/2025","81.00","78.00","81.00","76.00","0.07K","3.85%"
"22/05/2025","78.00","82.00","82.00","74.60","0.46K","-4.88%"
"21/05/2025","82.00","83.00","83.00","82.00","0.02K","-3.30%"
"20/05/2025","84.80","86.00","86.00","82.00","0.09K","-3.64%"
"19/05/2025","88.00","86.00","88.00","86.00","0.01K","2.33%"
"16/05/2025","86.00","86.00","86.00","86.00","0.00K","1.18%"
"15/05/2025","85.00","85.00","85.00","85.00","0.02K","-3.41%"
"14/05/2025","88.00","85.20","88.00","85.20","0.13K","6.02%"
"13/05/2025","83.00","83.00","83.00","82.00","0.05K","0.00%"
"12/05/2025","83.00","85.00","85.00","83.00","0.01K","1.22%"
"09/05/2025","82.00","85.40","87.00","82.00","0.10K","-4.43%"
"08/05/2025","85.80","85.80","85.80","85.80","0.01K","2.14%"
"07/05/2025","84.00","84.00","84.00","80.00","0.02K","-4.76%"
"06/05/2025","88.20","84.00","88.20","81.40","0.13K","5.00%"
"05/05/2025","84.00","84.00","84.00","82.00","0.03K","0.00%"
"30/04/2025","84.00","81.40","84.00","81.20","0.02K","-0.94%"
"29/04/2025","84.80","81.00","84.80","81.00","0.13K","6.00%"
"28/04/2025","80.00","78.60","86.40","75.80","0.95K","2.04%"
"25/04/2025","78.40","77.00","78.40","75.00","0.49K","2.62%"
"24/04/2025","76.40","77.00","77.00","76.40","0.22K","-0.78%"
"23/04/2025","77.00","78.40","78.40","77.00","0.34K","-1.03%"
"22/04/2025","77.80","79.20","79.20","77.80","0.20K","-3.71%"
"17/04/2025","80.80","81.00","81.00","79.00","0.07K","-2.42%"
"15/04/2025","82.80","83.00","83.20","81.00","0.13K","-0.24%"
"14/04/2025","83.00","82.00","83.00","82.00","0.08K","4.53%"
"11/04/2025","79.40","82.00","82.80","79.40","0.14K","-3.17%"
"10/04/2025","82.00","82.80","82.80","79.20","0.07K","-0.97%"
"09/04/2025","82.80","81.00","84.00","80.00","0.24K","-1.43%"
"08/04/2025","84.00","83.00","84.00","83.00","0.04K","1.20%"
"07/04/2025","83.00","81.60","83.00","80.00","0.34K","-2.35%"
"04/04/2025","85.00","82.20","85.00","82.20","0.02K","0.24%"
"03/04/2025","84.80","84.00","84.80","82.20","0.03K","0.95%"
"02/04/2025","84.00","85.00","85.00","81.60","0.27K","-1.18%"
"01/04/2025","85.00","86.00","86.00","85.00","0.03K","-0.47%"
"31/03/2025","85.40","86.00","86.00","85.40","0.03K","-4.04%"
"28/03/2025","89.00","87.60","89.00","87.60","0.07K","1.60%"
"27/03/2025","87.60","87.40","87.60","85.20","0.05K","1.86%"
"26/03/2025","86.00","86.40","87.00","83.00","0.86K","-4.23%"
"25/03/2025","89.80","89.20","90.60","86.20","0.18K","0.67%"
"24/03/2025","89.20","87.00","89.20","87.00","0.02K","-1.55%"
"21/03/2025","90.60","91.00","91.00","87.00","0.08K","1.80%"
"20/03/2025","89.00","86.80","89.00","86.80","0.12K","2.53%"
"19/03/2025","86.80","84.00","86.80","84.00","0.01K","0.00%"
"18/03/2025","86.80","87.00","88.00","83.00","0.41K","-0.23%"
"17/03/2025","87.00","88.00","88.00","85.00","0.19K","-1.14%"
"14/03/2025","88.00","88.00","88.00","88.00","0.12K","0.00%"
"13/03/2025","88.00","89.00","89.00","88.00","0.00K","-1.57%"
"12/03/2025","89.40","90.00","90.00","87.20","0.13K","-0.67%"
"11/03/2025","90.00","90.00","90.00","90.00","0.03K","0.00%"
"10/03/2025","90.00","88.60","90.00","88.00","0.03K","0.00%"
"07/03/2025","90.00","89.60","90.00","88.00","0.90K","0.00%"
"06/03/2025","90.00","90.00","90.00","88.00","0.03K","0.00%"
"05/03/2025","90.00","88.40","90.00","88.40","0.00K","-0.66%"
"04/03/2025","90.60","91.00","91.00","88.00","0.04K","-0.44%"
"03/03/2025","91.00","90.00","91.00","87.20","0.02K","0.44%"
"28/02/2025","90.60","90.00","90.60","90.00","0.07K","0.44%"
