"Date","Price","Open","High","Low","Vol.","Change %"
"30/09/2025","9.9700","9.8500","10.0400","9.7000","29.20K","1.22%"
"29/09/2025","9.8500","10.0000","10.1200","9.6400","38.50K","-0.91%"
"26/09/2025","9.9400","9.6000","9.9600","9.2800","124.99K","2.69%"
"25/09/2025","9.6800","10.0000","10.1000","9.5600","59.61K","-3.97%"
"24/09/2025","10.0800","10.0400","10.2200","9.9300","63.76K","0.00%"
"23/09/2025","10.0800","10.4400","10.6600","10.0000","127.06K","-3.45%"
"22/09/2025","10.4400","10.7000","11.2200","10.1000","136.37K","-0.38%"
"19/09/2025","10.4800","10.2000","10.4800","10.1000","41.56K","3.76%"
"18/09/2025","10.1000","10.2400","10.6600","9.8400","237.79K","-2.13%"
"17/09/2025","10.3200","10.9200","11.2200","10.3000","213.35K","-6.52%"
"16/09/2025","11.0400","10.8000","11.6400","10.5000","375.27K","3.18%"
"15/09/2025","10.7000","9.9900","10.7200","9.9500","174.71K","7.97%"
"12/09/2025","9.9100","9.4600","10.4000","9.3000","267.12K","4.87%"
"11/09/2025","9.4500","9.6200","9.7900","9.1900","202.69K","-1.77%"
"10/09/2025","9.6200","8.4800","9.7500","8.4800","534.21K","15.63%"
"09/09/2025","8.3200","8.1700","8.5900","8.0200","223.88K","1.59%"
"08/09/2025","8.1900","8.1200","8.4200","8.0000","132.28K","1.49%"
"05/09/2025","8.0700","7.8100","8.2000","7.7200","89.82K","3.20%"
"04/09/2025","7.8200","7.7800","7.8500","7.6300","27.59K","1.96%"
"03/09/2025","7.6700","7.8200","7.8500","7.6600","15.89K","-1.92%"
"02/09/2025","7.8200","7.8000","7.8500","7.6100","22.36K","-0.51%"
"01/09/2025","7.8600","7.7000","7.9000","7.7000","11.30K","2.08%"
"29/08/2025","7.7000","7.7600","7.9000","7.5100","123.32K","-0.77%"
"28/08/2025","7.7600","7.7800","8.0000","7.6900","35.83K","-1.15%"
"27/08/2025","7.8500","8.0800","8.1500","7.7200","41.43K","-3.09%"
"26/08/2025","8.1000","8.1200","8.1800","7.9300","47.26K","-1.22%"
"25/08/2025","8.2000","8.1500","8.3000","7.6000","275.29K","2.89%"
"22/08/2025","7.9700","6.9000","8.3400","6.8200","563.55K","14.18%"
"21/08/2025","6.9800","6.9900","7.0000","6.7500","16.53K","0.00%"
"20/08/2025","6.9800","6.9300","7.0000","6.8900","27.70K","-0.29%"
"19/08/2025","7.0000","7.2600","7.2600","7.0000","28.91K","-3.45%"
"18/08/2025","7.2500","7.0600","7.2500","6.9700","18.33K","3.57%"
"14/08/2025","7.0000","7.0300","7.1300","6.9500","11.38K","-1.82%"
"13/08/2025","7.1300","7.1300","7.2000","7.0400","7.34K","0.00%"
"12/08/2025","7.1300","7.0800","7.3700","7.0500","51.01K","0.71%"
