measure,k,coef,t_cluster,p_wild,n_boot
amihud,-9,-3.7130456982432626e-06,-1.4789544134171155,0.626,499
amihud,-8,-4.166599736725261e-06,-1.7046123479958664,0.642,499
amihud,-7,-3.594818205897845e-06,-1.8854555772709194,0.638,499
amihud,-6,-4.773715963315755e-06,-2.111253150780941,0.688,499
amihud,-5,-4.443300556246148e-06,-1.0218378984059502,0.632,499
amihud,-4,5.684714826882604e-06,0.8566505852174625,0.6,499
amihud,-3,-7.817990993634264e-08,-0.026905771791583502,0.974,499
amihud,-2,-2.9173982803778605e-06,-1.2244818111772862,0.632,499
amihud,0,-2.2452801566495658e-06,-1.6291754390250224,0.648,499
amihud,1,-3.30585483872018e-06,-1.6934293081698168,0.652,499
amihud,2,-3.6803970679640764e-07,-0.1659269780635522,0.884,499
amihud,3,-2.92471489811242e-06,-1.424564507917563,0.616,499
amihud,4,-6.443323302566086e-06,-1.4220468112387092,0.614,499
amihud,5,-2.2198126662347763e-06,-1.0539920266529572,0.594,499
amihud,6,-4.788185867650527e-06,-1.9368766981481536,0.686,499
amihud,7,-5.070891842058482e-06,-1.4099475293741424,0.602,499
amihud,8,-3.4771438141034422e-06,-1.0248215544455934,0.612,499
amihud,9,-2.8579157891675823e-06,-1.4011245252774314,0.608,499
