measure,k,coef,t_cluster,p_wild,n_boot
cs_spread,-9,-0.05196442488797415,-1.1228845264220475,0.632,499
cs_spread,-8,-0.024670752993331168,-0.5408970109801353,0.608,499
cs_spread,-7,-0.03469141408957299,-0.8133995894881029,0.652,499
cs_spread,-6,-0.04396248713766465,-1.0440215028759117,0.63,499
cs_spread,-5,-0.052635772360070804,-1.8932546287736705,0.45,499
cs_spread,-4,-0.022878168411274748,-0.47887862107286555,0.648,499
cs_spread,-3,0.04900629601525018,0.7945843632786115,0.624,499
cs_spread,-2,-0.020857751039339734,-0.5365385164440022,0.588,499
cs_spread,0,-0.032302392361038754,-0.8324471134769753,0.644,499
cs_spread,1,-0.04766279079248545,-1.041455474811206,0.666,499
cs_spread,2,-0.03676635352487815,-0.9278305706552364,0.606,499
cs_spread,3,-0.02445914027976815,-0.6422586123948466,0.562,499
cs_spread,4,-0.05938175653723722,-1.5587930086760322,0.646,499
cs_spread,5,-0.006186873286725902,-0.1752358881067074,0.852,499
cs_spread,6,-0.030754448572814355,-0.8170730283498365,0.518,499
cs_spread,7,-0.020449321777397,-0.465209954337319,0.724,499
cs_spread,8,-0.04659768181354422,-1.17256668312438,0.662,499
cs_spread,9,-0.034510499784352514,-0.7386558049251599,0.602,499
